PLZ4;Raumtyp_Lage_bez
0106;sehr zentral
0109;sehr zentral
0110;zentral
0112;sehr zentral
0113;sehr zentral
0115;zentral
0116;sehr zentral
0118;zentral
0121;sehr zentral
0123;sehr zentral
0125;zentral
0127;sehr zentral
0130;sehr zentral
0132;sehr zentral
0144;zentral
0145;peripher
0146;zentral
0147;peripher
0155;peripher
0156;peripher
0158;peripher
0159;peripher
0160;sehr peripher
0161;peripher
0162;peripher
0164;zentral
0166;peripher
0168;peripher
0170;zentral
0172;zentral
0173;zentral
0174;peripher
0176;peripher
0177;peripher
0179;peripher
0180;zentral
0181;peripher
0182;peripher
0183;peripher
0184;peripher
0185;peripher
0187;peripher
0189;peripher
0190;peripher
0191;peripher
0192;peripher
0193;peripher
0194;peripher
0196;peripher
0197;peripher
0198;peripher
0199;peripher
0262;peripher
0263;peripher
0268;peripher
0269;peripher
0270;peripher
0272;peripher
0273;peripher
0274;peripher
0276;peripher
0277;peripher
0278;peripher
0279;peripher
0282;peripher
0289;peripher
0290;sehr peripher
0292;peripher
0294;sehr peripher
0295;sehr peripher
0297;sehr peripher
0299;peripher
0304;peripher
0305;peripher
0309;sehr peripher
0310;sehr peripher
0311;peripher
0313;sehr peripher
0314;sehr peripher
0315;sehr peripher
0317;sehr peripher
0318;sehr peripher
0319;sehr peripher
0320;sehr peripher
0322;peripher
0323;sehr peripher
0324;sehr peripher
0325;sehr peripher
0410;sehr zentral
0412;sehr zentral
0415;sehr zentral
0417;sehr zentral
0420;sehr zentral
0422;sehr zentral
0424;zentral
0427;sehr zentral
0428;zentral
0429;sehr zentral
0431;sehr zentral
0432;sehr zentral
0434;sehr zentral
0435;zentral
0441;zentral
0442;zentral
0443;zentral
0444;zentral
0445;zentral
0446;zentral
0450;zentral
0451;zentral
0452;peripher
0453;peripher
0455;zentral
0456;zentral
0457;zentral
0460;peripher
0461;peripher
0462;zentral
0463;zentral
0464;peripher
0465;peripher
0466;peripher
0468;peripher
0470;peripher
0472;peripher
0473;peripher
0474;peripher
0475;peripher
0476;peripher
0477;peripher
0480;peripher
0482;zentral
0483;peripher
0484;peripher
0486;peripher
0487;sehr peripher
0488;sehr peripher
0489;sehr peripher
0491;sehr peripher
0492;sehr peripher
0493;sehr peripher
0610;sehr zentral
0611;sehr zentral
0612;zentral
0613;sehr zentral
0617;zentral
0618;zentral
0619;zentral
0621;zentral
0623;zentral
0624;peripher
0625;zentral
0626;peripher
0627;peripher
0629;peripher
0630;peripher
0631;peripher
0633;peripher
0634;peripher
0636;peripher
0638;peripher
0640;peripher
0642;peripher
0644;peripher
0645;peripher
0646;peripher
0648;peripher
0649;peripher
0650;peripher
0652;peripher
0653;peripher
0654;peripher
0655;sehr peripher
0656;sehr peripher
0657;sehr peripher
0661;peripher
0662;peripher
0663;peripher
0664;peripher
0666;zentral
0667;peripher
0668;zentral
0669;peripher
0671;peripher
0672;peripher
0674;zentral
0676;zentral
0677;peripher
0678;peripher
0679;zentral
0680;zentral
0684;peripher
0686;peripher
0688;peripher
0689;sehr peripher
0690;peripher
0691;sehr peripher
0692;sehr peripher
0695;sehr peripher
0699;sehr peripher
0731;sehr peripher
0733;sehr peripher
0734;sehr peripher
0735;peripher
0736;peripher
0738;peripher
0740;peripher
0742;sehr peripher
0754;zentral
0755;peripher
0757;peripher
0758;peripher
0760;peripher
0761;peripher
0762;peripher
0763;peripher
0764;peripher
0774;peripher
0775;peripher
0776;peripher
0777;peripher
0780;peripher
0781;peripher
0790;peripher
0791;peripher
0792;peripher
0793;peripher
0795;peripher
0797;peripher
0798;peripher
0805;zentral
0806;zentral
0810;zentral
0811;zentral
0813;zentral
0814;zentral
0820;peripher
0822;peripher
0823;peripher
0824;peripher
0825;peripher
0826;peripher
0828;zentral
0829;zentral
0830;peripher
0831;peripher
0832;peripher
0834;peripher
0835;peripher
0837;zentral
0839;zentral
0841;zentral
0842;zentral
0845;zentral
0846;zentral
0848;zentral
0849;peripher
0852;peripher
0853;peripher
0854;peripher
0860;peripher
0862;peripher
0864;peripher
0911;sehr zentral
0912;sehr zentral
0913;zentral
0921;zentral
0922;zentral
0923;zentral
0924;zentral
0930;peripher
0932;peripher
0933;zentral
0935;zentral
0936;zentral
0937;zentral
0938;zentral
0939;zentral
0940;peripher
0941;zentral
0942;peripher
0943;peripher
0945;peripher
0946;peripher
0947;peripher
0948;peripher
0949;peripher
0950;peripher
0951;peripher
0952;peripher
0954;peripher
0955;zentral
0956;peripher
0957;peripher
0959;peripher
0960;peripher
0961;peripher
0962;peripher
0963;peripher
0964;zentral
0966;zentral
1011;sehr zentral
1017;sehr zentral
1024;sehr zentral
1031;sehr zentral
1036;sehr zentral
1040;sehr zentral
1043;sehr zentral
1055;sehr zentral
1058;sehr zentral
1062;sehr zentral
1070;sehr zentral
1071;sehr zentral
1077;sehr zentral
1078;sehr zentral
1082;sehr zentral
1096;sehr zentral
1099;sehr zentral
1204;sehr zentral
1205;sehr zentral
1209;sehr zentral
1210;sehr zentral
1215;sehr zentral
1216;sehr zentral
1220;sehr zentral
1224;sehr zentral
1227;sehr zentral
1230;sehr zentral
1234;sehr zentral
1235;sehr zentral
1243;sehr zentral
1245;sehr zentral
1248;sehr zentral
1252;sehr zentral
1255;sehr zentral
1258;zentral
1261;sehr zentral
1262;sehr zentral
1267;sehr zentral
1268;sehr zentral
1305;sehr zentral
1308;sehr zentral
1312;sehr zentral
1315;sehr zentral
1318;sehr zentral
1334;sehr zentral
1335;sehr zentral
1340;sehr zentral
1343;sehr zentral
1346;sehr zentral
1350;sehr zentral
1358;sehr zentral
1359;sehr zentral
1362;sehr zentral
1405;sehr zentral
1408;sehr zentral
1410;sehr zentral
1412;sehr zentral
1416;sehr zentral
1419;sehr zentral
1446;sehr zentral
1447;sehr zentral
1448;sehr zentral
1451;sehr zentral
1453;sehr zentral
1454;zentral
1455;zentral
1461;zentral
1462;zentral
1464;sehr peripher
1465;zentral
1466;sehr peripher
1471;sehr peripher
1472;sehr peripher
1477;peripher
1478;sehr peripher
1479;peripher
1480;peripher
1482;peripher
1491;sehr peripher
1492;peripher
1494;peripher
1495;zentral
1497;sehr zentral
1523;peripher
1529;sehr peripher
1530;sehr peripher
1532;sehr peripher
1534;sehr peripher
1536;zentral
1537;sehr peripher
1551;peripher
1552;peripher
1553;zentral
1556;zentral
1571;zentral
1573;zentral
1574;peripher
1575;peripher
1580;zentral
1582;sehr zentral
1583;peripher
1584;sehr peripher
1585;peripher
1586;sehr peripher
1589;sehr peripher
1590;peripher
1591;peripher
1592;sehr peripher
1593;sehr peripher
1622;peripher
1623;peripher
1624;peripher
1625;sehr peripher
1626;sehr peripher
1627;peripher
1630;peripher
1632;zentral
1634;sehr zentral
1635;zentral
1651;zentral
1654;sehr zentral
1655;sehr zentral
1656;sehr zentral
1672;zentral
1676;zentral
1677;sehr peripher
1679;sehr peripher
1681;sehr peripher
1682;sehr peripher
1683;sehr peripher
1684;sehr peripher
1686;sehr peripher
1690;sehr peripher
1692;sehr peripher
1694;sehr peripher
1703;peripher
1708;sehr peripher
1709;sehr peripher
1710;sehr peripher
1711;sehr peripher
1712;sehr peripher
1713;sehr peripher
1715;sehr peripher
1716;sehr peripher
1717;sehr peripher
1719;sehr peripher
1720;sehr peripher
1721;sehr peripher
1723;sehr peripher
1724;sehr peripher
1725;sehr peripher
1726;sehr peripher
1727;sehr peripher
1729;sehr peripher
1730;sehr peripher
1732;peripher
1733;sehr peripher
1734;sehr peripher
1735;sehr peripher
1736;sehr peripher
1737;sehr peripher
1738;sehr peripher
1739;sehr peripher
1740;sehr peripher
1741;sehr peripher
1742;sehr peripher
1743;sehr peripher
1744;sehr peripher
1745;sehr peripher
1748;sehr peripher
1749;sehr peripher
1750;sehr peripher
1805;zentral
1806;zentral
1810;zentral
1811;zentral
1814;peripher
1818;peripher
1819;peripher
1820;peripher
1821;peripher
1822;sehr peripher
1823;sehr peripher
1824;sehr peripher
1825;peripher
1827;sehr peripher
1829;sehr peripher
1831;sehr peripher
1832;sehr peripher
1833;sehr peripher
1834;sehr peripher
1835;sehr peripher
1837;sehr peripher
1843;sehr peripher
1844;sehr peripher
1846;sehr peripher
1850;sehr peripher
1851;sehr peripher
1852;sehr peripher
1854;sehr peripher
1855;sehr peripher
1856;sehr peripher
1857;sehr peripher
1858;sehr peripher
1860;sehr peripher
1905;peripher
1906;peripher
1907;peripher
1908;sehr peripher
1920;peripher
1921;peripher
1923;sehr peripher
1924;peripher
1925;sehr peripher
1926;sehr peripher
1927;sehr peripher
1928;sehr peripher
1929;sehr peripher
1930;sehr peripher
1932;sehr peripher
1933;sehr peripher
1934;sehr peripher
1935;sehr peripher
1937;sehr peripher
1938;sehr peripher
1939;sehr peripher
1940;sehr peripher
1941;peripher
2009;sehr zentral
2014;sehr zentral
2024;sehr zentral
2025;sehr zentral
2035;sehr zentral
2045;sehr zentral
2053;sehr zentral
2102;sehr zentral
2103;sehr zentral
2107;sehr zentral
2110;sehr zentral
2112;peripher
2114;sehr zentral
2121;sehr zentral
2122;zentral
2124;zentral
2125;zentral
2126;zentral
2127;zentral
2133;zentral
2135;zentral
2136;sehr peripher
2137;zentral
2138;zentral
2139;zentral
2140;zentral
2142;zentral
2143;zentral
2144;zentral
2146;sehr zentral
2148;peripher
2149;zentral
2150;zentral
2151;zentral
2152;zentral
2161;zentral
2162;zentral
2163;peripher
2164;zentral
2168;peripher
2169;peripher
2170;peripher
2171;peripher
2172;peripher
2173;sehr peripher
2174;sehr peripher
2175;sehr peripher
2176;sehr peripher
2177;sehr peripher
