"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",1001000,"Flensburg, Stadt",84694,0.742066,5,9,3
"2",1002000,"Kiel, Landeshauptstadt",243148,0.63264,3,6,2
"3",1003000,"Lübeck, Hansestadt",214420,0.755262,5,9,3
"4",1004000,"Neumünster, Stadt",77588,0.817812,5,10,3
"5",1051001,"Albersdorf",3470,0.752633,5,9,3
"6",1051002,"Arkebek",219,0.752633,5,9,3
"7",1051003,"Averlak",586,0.737784,5,9,3
"8",1051004,"Bargenstedt",943,0.752633,5,9,3
"9",1051005,"Barkenholm",170,0.763876,5,9,3
"10",1051006,"Barlt",798,0.752633,5,9,3
"11",1051008,"Bergewöhrden",35,0.763876,5,9,3
"12",1051010,"Brickeln",206,0.737784,5,9,3
"13",1051011,"Brunsbüttel, Stadt",12642,0.725222,4,8,2
"14",1051012,"Buchholz",1003,0.737784,5,9,3
"15",1051013,"Büsum",4733,0.776698,5,9,3
"16",1051014,"Büsumer Deichhausen",355,0.776698,5,9,3
"17",1051015,"Bunsoh",796,0.752633,5,9,3
"18",1051016,"Burg (Dithmarschen)",4185,0.737784,5,9,3
"19",1051017,"Busenwurth",298,0.752633,5,9,3
"20",1051019,"Dellstedt",734,0.763876,5,9,3
"21",1051020,"Delve",676,0.763876,5,9,3
"22",1051021,"Diekhusen-Fahrstedt",727,0.739427,5,9,3
"23",1051022,"Dingen",630,0.737784,5,9,3
"24",1051023,"Dörpling",614,0.763876,5,9,3
"25",1051024,"Eddelak",1373,0.737784,5,9,3
"26",1051026,"Eggstedt",759,0.737784,5,9,3
"27",1051027,"Elpersbüttel",857,0.752633,5,9,3
"28",1051028,"Epenwöhrden",775,0.752633,5,9,3
"29",1051030,"Fedderingen",281,0.763876,5,9,3
"30",1051032,"Frestedt",374,0.737784,5,9,3
"31",1051033,"Friedrichsgabekoog",52,0.776698,5,9,3
"32",1051034,"Friedrichskoog",2502,0.739427,5,9,3
"33",1051035,"Gaushorn",194,0.763876,5,9,3
"34",1051036,"Glüsing",117,0.763876,5,9,3
"35",1051037,"Großenrade",489,0.737784,5,9,3
"36",1051038,"Groven",79,0.763876,5,9,3
"37",1051039,"Gudendorf",388,0.752633,5,9,3
"38",1051043,"Hedwigenkoog",236,0.776698,5,9,3
"39",1051044,"Heide, Stadt",21303,0.773571,5,9,3
"40",1051045,"Hellschen-Heringsand-Unterschaar",169,0.776698,5,9,3
"41",1051046,"Helse",853,0.739427,5,9,3
"42",1051047,"Hemme",497,0.763876,5,9,3
"43",1051048,"Hemmingstedt",2876,0.712809,4,8,2
"44",1051049,"Hennstedt",1957,0.763876,5,9,3
"45",1051050,"Hillgroven",75,0.776698,5,9,3
"46",1051051,"Hochdonn",1151,0.737784,5,9,3
"47",1051052,"Hövede",61,0.763876,5,9,3
"48",1051053,"Hollingstedt",314,0.763876,5,9,3
"49",1051054,"Immenstedt",107,0.752633,5,9,3
"50",1051057,"Kaiser-Wilhelm-Koog",341,0.739427,5,9,3
"51",1051058,"Karolinenkoog",141,0.763876,5,9,3
"52",1051060,"Kleve",430,0.763876,5,9,3
"53",1051061,"Krempel",596,0.763876,5,9,3
"54",1051062,"Kronprinzenkoog",816,0.739427,5,9,3
"55",1051063,"Krumstedt",502,0.752633,5,9,3
"56",1051064,"Kuden",618,0.737784,5,9,3
"57",1051065,"Lehe",1056,0.763876,5,9,3
"58",1051067,"Lieth",390,0.712809,4,8,2
"59",1051068,"Linden",860,0.763876,5,9,3
"60",1051069,"Lohe-Rickelshof",2098,0.712809,4,8,2
"61",1051071,"Lunden",1707,0.763876,5,9,3
"62",1051072,"Marne, Stadt",5635,0.739427,5,9,3
"63",1051073,"Marnerdeich",386,0.739427,5,9,3
"64",1051074,"Meldorf, Stadt",7216,0.752633,5,9,3
"65",1051075,"Neuenkirchen",1000,0.712809,4,8,2
"66",1051076,"Neufeld",605,0.739427,5,9,3
"67",1051077,"Neufelderkoog",122,0.739427,5,9,3
"68",1051078,"Nindorf",1163,0.752633,5,9,3
"69",1051079,"Norddeich",412,0.776698,5,9,3
"70",1051080,"Norderheistedt",149,0.763876,5,9,3
"71",1051081,"Norderwöhrden",287,0.712809,4,8,2
"72",1051082,"Nordhastedt",2784,0.712809,4,8,2
"73",1051083,"Odderade",326,0.752633,5,9,3
"74",1051084,"Oesterdeichstrich",275,0.776698,5,9,3
"75",1051085,"Offenbüttel",263,0.752633,5,9,3
"76",1051086,"Osterrade",412,0.752633,5,9,3
"77",1051087,"Ostrohe",934,0.712809,4,8,2
"78",1051088,"Pahlen",1199,0.763876,5,9,3
"79",1051089,"Quickborn",197,0.737784,5,9,3
"80",1051090,"Ramhusen",154,0.739427,5,9,3
"81",1051092,"Rehm-Flehde-Bargen",503,0.763876,5,9,3
"82",1051093,"Reinsbüttel",441,0.776698,5,9,3
"83",1051096,"Sankt Annen",314,0.763876,5,9,3
"84",1051097,"Sankt Michaelisdonn",3501,0.737784,5,9,3
"85",1051098,"Sarzbüttel",710,0.752633,5,9,3
"86",1051099,"Schafstedt",1279,0.752633,5,9,3
"87",1051100,"Schalkholz",590,0.763876,5,9,3
"88",1051102,"Schlichting",243,0.763876,5,9,3
"89",1051103,"Schmedeswurth",195,0.739427,5,9,3
"90",1051104,"Schrum",71,0.752633,5,9,3
"91",1051105,"Schülp",426,0.776698,5,9,3
"92",1051107,"Stelle-Wittenwurth",428,0.712809,4,8,2
"93",1051108,"Strübbel",82,0.776698,5,9,3
