"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",1001000,"Flensburg, Stadt",84694,0.816592,5,10,3
"2",1002000,"Kiel, Landeshauptstadt",243148,0.678678,4,8,2
"3",1003000,"Lübeck, Hansestadt",214420,0.785128,5,10,3
"4",1004000,"Neumünster, Stadt",77588,0.874109,5,10,3
"5",1051011,"Brunsbüttel, Stadt",12642,0.783711,5,10,3
"6",1051044,"Heide, Stadt",21303,0.826799,5,10,3
"7",1051963,"Burg-St. Michaelisdonn",15915,0.802822,5,10,3
"8",1051966,"Marne-Nordsee",12937,0.798129,5,10,3
"9",1051969,"Eider",18704,0.80826,5,10,3
"10",1051972,"Heider Umland",15755,0.758019,5,9,3
"11",1051975,"Mitteldithmarschen",23057,0.792578,5,10,3
"12",1051978,"Büsum-Wesselburen",12372,0.818112,5,10,3
"13",1053032,"Geesthacht, Stadt",29676,0.653937,4,7,2
"14",1053083,"Lauenburg/ Elbe, Stadt",11277,0.739718,5,9,3
"15",1053090,"Mölln, Stadt",18622,0.687956,4,8,2
"16",1053100,"Ratzeburg, Stadt",14104,0.691588,4,8,2
"17",1053116,"Schwarzenbek, Stadt",15523,0.661633,4,7,2
"18",1053129,"Wentorf bei Hamburg",12221,0.575618,3,5,2
"19",1053908,"Berkenthin",8432,0.608447,3,6,2
"20",1053913,"Breitenfelde",6356,0.632768,4,7,2
"21",1053918,"Büchen",13632,0.639905,4,7,2
"22",1053923,"Hohe Elbgeest",19522,0.584194,3,5,2
"23",1053943,"Lütau",3926,0.649597,4,7,2
"24",1053958,"Lauenburgische Seen",13126,0.629704,4,7,2
"25",1053973,"Schwarzenbek-Land",9112,0.594396,3,6,2
"26",1053991,"Sandesneben-Nusse",15174,0.626055,4,7,2
"27",1054033,"Friedrichstadt, Stadt",2491,0.790221,5,10,3
"28",1054056,"Husum, Stadt",22215,0.758477,5,9,3
"29",1054108,"Reußenköge",325,0.652622,4,7,2
"30",1054138,"Tönning, Stadt",4852,0.751436,5,9,3
"31",1054168,"Sylt",13409,0.589966,3,6,2
"32",1054917,"Eiderstedt",11237,0.724119,5,9,3
"33",1054939,"Landschaft Sylt",4304,0.626484,4,7,2
"34",1054953,"Viöl",9082,0.729696,5,9,3
