"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",1001,"Flensburg, Stadt",84694,0.869022,5,10,3
"2",1002,"Kiel, Landeshauptstadt",243148,0.710209,4,7,2
"3",1003,"Lübeck, Hansestadt",214420,0.821912,5,9,3
"4",1004,"Neumünster, Stadt",77588,0.881703,5,10,3
"5",1051,"Dithmarschen",132685,0.832342,5,9,3
"6",1053,"Herzogtum Lauenburg",190703,0.668891,3,6,2
"7",1054,"Nordfriesland",162203,0.769768,4,8,2
"8",1055,"Ostholstein",198355,0.766092,4,8,2
"9",1056,"Pinneberg",304087,0.542712,2,3,2
"10",1057,"Plön",126865,0.703919,4,7,2
"11",1058,"Rendsburg-Eckernförde",268628,0.686919,3,6,2
"12",1059,"Schleswig-Flensburg",195593,0.826814,5,9,3
"13",1060,"Segeberg",264972,0.5944,2,4,2
"14",1061,"Steinburg",130218,0.754548,4,8,2
"15",1062,"Stormarn",236705,0.466323,1,2,1
"16",2000,"Hamburg, Freie und Hansestadt",1762791,0.42575,1,1,1
"17",3101,"Braunschweig, Stadt",248502,0.456096,1,2,1
"18",3102,"Salzgitter, Stadt",98966,0.697637,4,7,2
"19",3103,"Wolfsburg, Stadt",123027,0.352184,1,1,1
"20",3151,"Gifhorn",172541,0.60805,3,5,2
"21",3152,"Göttingen",250220,0.581058,2,4,2
"22",3153,"Goslar",137256,0.757734,4,8,2
"23",3154,"Helmstedt",90908,0.698324,4,7,2
"24",3155,"Northeim",133905,0.754529,4,8,2
"25",3156,"Osterode am Harz",73793,0.787413,5,9,3
"26",3157,"Peine",130601,0.685115,3,6,2
"27",3158,"Wolfenbüttel",120035,0.629742,3,5,2
"28",3241,"Region Hannover",1128037,0.596125,2,4,2
"29",3251,"Diepholz",211093,0.672869,3,6,2
"30",3252,"Hameln-Pyrmont",147813,0.747327,4,8,2
"31",3254,"Hildesheim",274554,0.700048,4,7,2
"32",3255,"Holzminden",71438,0.749906,4,8,2
"33",3256,"Nienburg (Weser)",119631,0.749856,4,8,2
"34",3257,"Schaumburg",155847,0.714408,4,7,2
"35",3351,"Celle",176157,0.770542,4,8,2
"36",3352,"Cuxhaven",196787,0.784385,5,9,3
"37",3353,"Harburg",245199,0.549261,2,3,2
"38",3354,"Lüchow-Dannenberg",48728,0.901634,5,10,3
"39",3355,"Lüneburg",178122,0.656636,3,6,2
"40",3356,"Osterholz",111484,0.664045,3,6,2
"41",3357,"Rotenburg (Wümme)",161842,0.715918,4,7,2
"42",3358,"Heidekreis",136200,0.806613,5,9,3
"43",3359,"Stade",197448,0.620677,3,5,2
"44",3360,"Uelzen",92533,0.781754,5,9,3
"45",3361,"Verden",133215,0.604347,3,5,2
"46",3401,"Delmenhorst, Stadt",74804,0.893047,5,10,3
"47",3402,"Emden, Stadt",50016,0.810828,5,9,3
"48",3403,"Oldenburg (Oldenburg), Stadt",160907,0.641406,3,5,2
"49",3404,"Osnabrück, Stadt",156897,0.642061,3,5,2
"50",3405,"Wilhelmshaven, Stadt",75534,0.900754,5,10,3
"51",3451,"Ammerland",119917,0.687384,4,7,2
"52",3452,"Aurich",187998,0.89685,5,10,3
"53",3453,"Cloppenburg",162350,0.809409,5,9,3
"54",3454,"Emsland",315757,0.709617,4,7,2
"55",3455,"Friesland",96937,0.748409,4,8,2
"56",3456,"Grafschaft Bentheim",134329,0.824694,5,9,3
"57",3457,"Leer",165809,0.894289,5,10,3
"58",3458,"Oldenburg",126798,0.71352,4,7,2
"59",3459,"Osnabrück",351316,0.693208,4,7,2
"60",3460,"Vechta",136184,0.714966,4,7,2
"61",3461,"Wesermarsch",88765,0.702871,4,7,2
"62",3462,"Wittmund",56539,0.851212,5,9,3
"63",4011,"Bremen, Stadt",551767,0.604106,3,5,2
"64",4012,"Bremerhaven, Stadt",110121,0.940517,5,10,3
"65",5111,"Düsseldorf, Stadt",604527,0.402858,1,1,1
"66",5112,"Duisburg, Stadt",485465,0.851313,5,9,3
"67",5113,"Essen, Stadt",573784,0.648361,3,6,2
"68",5114,"Krefeld, Stadt",222500,0.702674,4,7,2
"69",5116,"Mönchengladbach, Stadt",256853,0.798246,5,9,3
"70",5117,"Mülheim an der Ruhr, Stadt",167108,0.525764,2,3,2
"71",5119,"Oberhausen, Stadt",209292,0.804778,5,9,3
"72",5120,"Remscheid, Stadt",109009,0.679064,3,6,2
"73",5122,"Solingen, Klingenstadt",156771,0.706355,4,7,2
"74",5124,"Wuppertal, Stadt",345425,0.784235,5,9,3
"75",5154,"Kleve",304963,0.750945,4,8,2
"76",5158,"Mettmann",477760,0.476031,1,2,1
