"","PLZ3","GISD_Score","Bevölkerung","GISD_5","GISD_10","GISD_k"
"1","101",0.713048,41938,4,7,2
"2","102",0.713048,40303,4,7,2
"3","103",0.713048,101877,4,7,2
"4","104",0.713048,40556,4,7,2
"5","105",0.713048,49221,4,7,2
"6","106",0.598775,32227,3,5,2
"7","107",0.713048,56660,4,7,2
"8","108",0.713048,18274,4,7,2
"9","109",0.587613,148153,3,5,2
"10","110",0.528508,66645,2,4,2
"11","112",0.528586,17256,2,4,2
"12","113",0.52975,13735,2,4,2
"13","115",0.529057,74388,2,4,2
"14","116",0.530088,7899,2,4,2
"15","118",0.529355,16882,2,4,2
"16","120",0.713048,66058,4,7,2
"17","121",0.681314,119431,4,7,2
"18","122",0.713042,118426,4,7,2
"19","123",0.697231,188159,4,7,2
"20","124",0.713048,133964,4,7,2
"21","125",0.702537,560509,4,7,2
"22","126",0.713068,238771,4,8,2
"23","127",0.528387,15940,2,4,2
"24","130",0.698765,177195,4,7,2
"25","131",0.71305,295544,4,7,2
"26","132",0.528699,99805,2,4,2
"27","133",0.713048,55086,4,7,2
"28","134",0.71294,188229,4,7,2
"29","135",0.713057,411546,4,8,2
"30","136",0.713048,42268,4,7,2
"31","140",0.713031,167535,4,7,2
"32","141",0.71291,383601,4,7,2
"33","144",0.566315,201096,3,5,2
"34","145",0.615555,173042,3,6,2
"35","146",0.762878,140028,5,9,3
"36","147",0.893143,160837,5,10,3
"37","148",0.666256,30436,4,7,2
"38","149",0.803534,97714,5,9,3
"39","152",0.849677,72712,5,10,3
"40","153",0.828991,153014,5,10,3
"41","155",0.82258,110014,5,10,3
"42","156",0.699681,28222,4,7,2
"43","157",0.700334,100588,4,7,2
"44","158",0.801288,147530,5,9,3
"45","159",0.756587,75607,5,9,3
"46","160",0.764239,11891,5,9,3
"47","161",0.704028,17539,4,7,2
"48","162",0.912239,115953,5,10,3
"49","163",0.825077,149775,5,10,3
"50","164",0.67984,20347,4,7,2
"51","165",0.736731,107294,4,8,2
"52","166",0.733731,43700,4,8,2
"53","167",0.777331,98775,5,9,3
"54","168",0.903256,108840,5,10,3
"55","169",0.975219,42346,5,10,3
"56","170",0.867279,144329,5,10,3
"57","171",0.938688,111273,5,10,3
