"";"PLZ3";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";10;0,567067;120818;2;4;2
"2";11;0,567539;196518;2;4;2
"3";12;0,567792;83185;2;4;2
"4";13;0,567324;113332;2;4;2
"5";14;0,674462;108915;3;6;2
"6";15;0,762149;70307;4;8;2
"7";16;0,736116;123461;4;7;2
"8";17;0,775999;159717;5;9;3
"9";18;0,793465;117345;5;9;3
"10";19;0,849018;145593;5;10;3
"11";26;0,800066;97031;5;9;3
"12";27;0,886496;123863;5;10;3
"13";28;0,900947;74352;5;10;3
"14";29;0,847761;132592;5;10;3
"15";30;0,785993;122553;5;9;3
"16";31;0,863662;96794;5;10;3
"17";32;0,933184;76217;5;10;3
"18";41;0,806023;177423;5;9;3
"19";42;0,80592;200724;5;9;3
"20";43;0,806015;161579;5;9;3
"21";44;0,769412;96958;4;8;2
"22";45;0,842634;107338;5;9;3
"23";46;0,823571;179190;5;9;3
"24";47;0,837509;102565;5;9;3
"25";48;0,864621;140132;5;10;3
"26";49;0,936176;55650;5;10;3
"27";61;0,894501;300260;5;10;3
"28";62;0,91161;142166;5;10;3
"29";63;0,974222;111133;5;10;3
"30";64;0,968922;147436;5;10;3
"31";65;0,965519;113631;5;10;3
"32";66;0,977606;135266;5;10;3
"33";67;0,944042;141290;5;10;3
"34";68;0,873237;167151;5;10;3
"35";69;0,845609;40006;5;10;3
"36";73;0,790834;85143;5;9;3
"37";74;0,830999;51674;5;9;3
"38";75;0,850978;137992;5;10;3
"39";76;0,744842;56343;4;8;2
"40";77;0,458711;135152;1;2;1
"41";78;0,792267;16123;5;9;3
"42";79;0,802392;93088;5;9;3
"43";80;0,790551;88648;5;9;3
"44";81;0,752745;62233;4;8;2
"45";82;0,800207;128803;5;9;3
"46";83;0,802234;123307;5;9;3
"47";84;0,810252;92061;5;9;3
"48";85;0,791862;80419;5;9;3
"49";86;0,76974;28056;4;8;2
"50";91;0,749961;193956;4;8;2
"51";92;0,757347;118252;4;8;2
"52";93;0,773259;138240;4;8;2
"53";94;0,802788;120762;5;9;3
"54";95;0,789908;112515;5;9;3
"55";96;0,761992;102769;4;8;2
"56";101;0,743156;42212;4;8;2
"57";102;0,743156;40467;4;8;2
"58";103;0,743156;101892;4;8;2
"59";104;0,743156;40460;4;8;2
"60";105;0,743156;49142;4;8;2
"61";106;0,743156;11946;4;8;2
"62";107;0,743156;56991;4;8;2
"63";108;0,743156;18250;4;8;2
"64";109;0,743156;47187;4;8;2
"65";120;0,743156;66003;4;8;2
"66";121;0,743156;99062;4;8;2
"67";122;0,743146;118158;4;8;2
"68";123;0,743154;172351;4;8;2
"69";124;0,743156;133548;4;8;2
"70";125;0,742311;530173;4;7;2
"71";126;0,743156;238857;4;8;2
"72";130;0,743154;163485;4;8;2
"73";131;0,743152;295578;4;8;2
"74";133;0,743156;55234;4;8;2
"75";134;0,743084;188306;4;8;2
"76";135;0,74317;411591;4;8;2
"77";136;0,743156;42436;4;8;2
"78";140;0,743127;167264;4;8;2
"79";141;0,743014;383375;4;8;2
"80";144;0,579464;167141;3;5;2
"81";145;0,638814;139759;3;6;2
"82";146;0,83277;110986;5;9;3
"83";147;0,884597;148233;5;10;3
"84";148;0,703841;30436;4;7;2
"85";149;0,812324;97735;5;9;3
"86";152;0,85733;72717;5;10;3
"87";153;0,834589;152872;5;9;3
"88";155;0,854069;104130;5;10;3
"89";157;0,721286;100676;4;7;2
"90";158;0,823352;135490;5;9;3
"91";159;0,776888;51665;5;9;3
"92";162;0,92223;110813;5;10;3
"93";163;0,830664;149758;5;9;3
"94";165;0,778313;107291;5;9;3
"95";167;0,817641;98748;5;9;3
"96";168;0,971174;84070;5;10;3
"97";169;0,97912;42299;5;10;3
"98";170;0,907705;105331;5;10;3
"99";171;0,945582;111274;5;10;3
"100";172;0,959478;132440;5;10;3
