"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",101,"Schleswig-Holstein Mitte",716229,0.692912,4,7,2
"2",102,"Schleswig-Holstein Nord",442490,0.766064,4,8,2
"3",103,"Schleswig-Holstein Ost",412775,0.828735,5,9,3
"4",104,"Schleswig-Holstein Süd",996467,0.485203,2,4,2
"5",105,"Schleswig-Holstein Süd-West",262903,0.794567,5,9,3
"6",201,"Hamburg",1762791,0.375452,1,2,1
"7",301,"Braunschweig",1121836,0.546877,3,5,2
"8",302,"Bremen-Umland",530596,0.658434,4,7,2
"9",303,"Bremerhaven",395673,0.86632,5,9,3
"10",304,"Emsland",450086,0.715215,4,7,2
"11",305,"Göttingen",529356,0.685136,4,7,2
"12",306,"Hamburg-Umland-Süd",604489,0.531609,3,5,2
"13",307,"Hannover",1403515,0.574815,3,6,2
"14",308,"Hildesheim",422367,0.673519,4,7,2
"15",309,"Lüneburg",319383,0.710725,4,7,2
"16",310,"Oldenburg",569972,0.675384,4,7,2
"17",311,"Osnabrück",644397,0.581825,3,6,2
"18",312,"Ost-Friesland",632833,0.899779,5,10,3
"19",313,"Südheide",312357,0.774437,4,8,2
"20",401,"Bremen",551767,0.597076,3,6,2
"21",501,"Aachen",1244202,0.582032,3,6,2
"22",502,"Arnsberg",558303,0.551789,3,5,2
"23",503,"Bielefeld",1587807,0.519319,2,4,2
"24",504,"Bochum/Hagen",1439936,0.592599,3,6,2
"25",505,"Bonn",899739,0.319398,1,1,1
"26",506,"Dortmund",1148865,0.698803,4,7,2
"27",507,"Duisburg/Essen",2197856,0.648763,3,6,2
"28",508,"Düsseldorf",2910434,0.467043,2,4,2
"29",509,"Emscher-Lippe",986760,0.755346,4,8,2
"30",510,"Köln",2217783,0.400649,2,3,2
"31",511,"Münster",1593904,0.448859,2,3,2
"32",512,"Paderborn",441841,0.546705,3,5,2
"33",513,"Siegen",410668,0.428063,2,3,2
"34",601,"Mittelhessen",1029020,0.520398,2,4,2
"35",602,"Nordhessen",864330,0.626676,3,6,2
"36",603,"Osthessen",336720,0.522357,3,5,2
"37",604,"Rhein-Main",2803276,0.322205,1,1,1
"38",605,"Starkenburg",1060542,0.347414,1,2,1
"39",701,"Mittelrhein-Westerwald",1240667,0.632564,3,6,2
"40",702,"Rheinhessen-Nahe",855048,0.471591,2,4,2
"41",703,"Rheinpfalz",876022,0.520754,2,4,2
"42",704,"Trier",521863,0.621213,3,6,2
"43",705,"Westpfalz",517982,0.761867,4,8,2
"44",801,"Bodensee-Oberschwaben",612441,0.338567,1,2,1
"45",802,"Donau-Iller (BW)",500281,0.276714,1,1,1
"46",803,"Franken",877180,0.371278,1,2,1
"47",804,"Hochrhein-Bodensee",664688,0.559318,3,5,2
"48",805,"Mittlerer Oberrhein",1009395,0.278145,1,1,1
"49",806,"Neckar-Alb",682746,0.317408,1,1,1
"50",807,"Nordschwarzwald",580932,0.417651,2,3,2
"51",808,"Ostwürttemberg",437099,0.348439,1,2,1
"52",809,"Schwarzwald-Baar-Heuberg",476635,0.437501,2,3,2
"53",810,"Stuttgart",2694009,0.181965,1,1,1
"54",811,"Südlicher Oberrhein",1050299,0.417828,2,3,2
"55",812,"Unterer Neckar",1130939,0.354607,1,2,1
"56",901,"Allgäu",473900,0.444535,2,3,2
"57",902,"Augsburg",876783,0.418452,2,3,2
"58",903,"Bayerischer Untermain",368884,0.450288,2,4,2
"59",904,"Donau-Iller (BY)",470588,0.391082,1,2,1
"60",905,"Donau-Wald",650121,0.568979,3,5,2
"61",906,"Industrieregion Mittelfranken",1305440,0.350686,1,2,1
"62",907,"Ingolstadt",473290,0.253895,1,1,1
"63",908,"Landshut",430942,0.413061,2,3,2
"64",909,"Main-Rhön",432086,0.544149,3,5,2
"65",910,"München",2804001,0,1,1,1
"66",911,"Oberfranken-Ost",463093,0.571429,3,5,2
"67",912,"Oberfranken-West",592862,0.47363,2,4,2
"68",913,"Oberland",437234,0.279877,1,1,1
"69",914,"Oberpfalz-Nord",498445,0.555961,3,5,2
"70",915,"Regensburg",700811,0.393176,1,2,1
"71",916,"Südostoberbayern",805454,0.411926,2,3,2
"72",917,"Westmittelfranken",409755,0.483673,2,4,2
"73",918,"Würzburg",497879,0.330087,1,2,1
"74",1001,"Saar",989035,0.717971,4,8,2
"75",1101,"Berlin",3469849,0.758401,4,8,2
"76",1201,"Havelland-Fläming",759468,0.657728,4,7,2
"77",1202,"Lausitz-Spreewald",597366,0.7642,4,8,2
"78",1203,"Oderland-Spree",423894,0.78921,4,8,2
"79",1204,"Prignitz-Oberhavel",381334,0.834552,5,9,3
"80",1205,"Uckermark-Barnim",295810,0.895516,5,10,3
"81",1301,"Mecklenburgische Seenplatte",261733,0.911344,5,10,3
"82",1302,"Mittleres Mecklenburg/Rostock",416045,0.831796,5,9,3
"83",1303,"Vorpommern",461167,0.933703,5,10,3
"84",1304,"Westmecklenburg",460193,0.867775,5,10,3
"85",1401,"Oberes Elbtal/Osterzgebirge",1026007,0.601202,3,6,2
"86",1402,"Oberlausitz-Niederschlesien",566758,0.850834,5,9,3
"87",1403,"Südsachsen",1463341,0.800241,5,9,3
"88",1404,"Westsachsen",999168,0.815923,5,9,3
"89",1501,"Altmark",200739,1,5,10,3
"90",1502,"Anhalt-Bitterfeld-Wittenberg",376858,0.934088,5,10,3
"91",1503,"Halle/S.",745089,0.967362,5,10,3
"92",1504,"Magdeburg",912862,0.952178,5,10,3
"93",1601,"Mittelthüringen",666154,0.836911,5,9,3
"94",1602,"Nordthüringen",366855,0.893464,5,10,3
"95",1603,"Ostthüringen",673285,0.768751,4,8,2
"96",1604,"Südthüringen",450465,0.783911,4,8,2
