"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",8111000,"Stuttgart, Landeshauptstadt",612441,0.265542,1,1,1
"2",8115001,"Aidlingen",8811,0.273238,1,1,1
"3",8115002,"Altdorf",4596,0.278788,1,1,1
"4",8115003,"Böblingen, Stadt",47385,0.289567,1,1,1
"5",8115004,"Bondorf",5834,0.315583,1,1,1
"6",8115010,"Deckenpfronn",3269,0.301969,1,1,1
"7",8115013,"Ehningen",8448,0.284042,1,1,1
"8",8115015,"Gärtringen",11754,0.284042,1,1,1
"9",8115016,"Gäufelden",9151,0.315583,1,1,1
"10",8115021,"Herrenberg, Stadt",30626,0.301969,1,1,1
"11",8115022,"Hildrizhausen",3599,0.278788,1,1,1
"12",8115024,"Holzgerlingen, Stadt",12457,0.278788,1,1,1
"13",8115028,"Leonberg, Stadt",46143,0.278011,1,1,1
"14",8115029,"Magstadt",9083,0.281575,1,1,1
"15",8115034,"Mötzingen",3623,0.315583,1,1,1
"16",8115037,"Nufringen",5443,0.301969,1,1,1
"17",8115041,"Renningen, Stadt",16878,0.283577,1,1,1
"18",8115042,"Rutesheim, Stadt",10493,0.289714,1,1,1
"19",8115044,"Schönaich",9901,0.270352,1,1,1
"20",8115045,"Sindelfingen, Stadt",62215,0.309466,1,1,1
"21",8115046,"Steinenbronn",6190,0.275142,1,1,1
"22",8115048,"Waldenbuch, Stadt",8521,0.275142,1,1,1
"23",8115050,"Weil der Stadt, Stadt",18500,0.296819,1,1,1
"24",8115051,"Weil im Schönbuch",9766,0.281232,1,1,1
"25",8115052,"Weissach",7463,0.261537,1,1,1
"26",8115053,"Jettingen",7575,0.315583,1,1,1
"27",8115054,"Grafenau",6555,0.273238,1,1,1
"28",8116004,"Altbach",5974,0.335696,1,1,1
"29",8116005,"Altdorf",1608,0.326785,1,1,1
"30",8116006,"Altenriet",1918,0.326785,1,1,1
"31",8116007,"Baltmannsweiler",5621,0.321718,1,1,1
"32",8116008,"Bempflingen",3403,0.326785,1,1,1
"33",8116011,"Beuren",3508,0.335488,1,1,1
"34",8116012,"Bissingen an der Teck",3395,0.32942,1,1,1
"35",8116014,"Deizisau",6720,0.335696,1,1,1
"36",8116015,"Denkendorf",10588,0.333337,1,1,1
"37",8116016,"Dettingen unter Teck",5888,0.35076,1,1,1
"38",8116018,"Erkenbrechtsweiler",2109,0.342061,1,1,1
"39",8116019,"Esslingen am Neckar, Stadt",90378,0.362316,1,2,1
"40",8116020,"Frickenhausen",8729,0.355816,1,1,1
"41",8116022,"Großbettlingen",4300,0.355816,1,1,1
"42",8116027,"Hochdorf",4620,0.321718,1,1,1
"43",8116029,"Holzmaden",2167,0.32942,1,1,1
"44",8116033,"Kirchheim unter Teck, Stadt",39396,0.35076,1,1,1
"45",8116035,"Köngen",9632,0.338172,1,1,1
"46",8116036,"Kohlberg",2287,0.335488,1,1,1
"47",8116037,"Lichtenwald",2513,0.321718,1,1,1
"48",8116041,"Neckartailfingen",3684,0.326785,1,1,1
"49",8116042,"Neckartenzlingen",6491,0.326785,1,1,1
"50",8116043,"Neidlingen",1811,0.32942,1,1,1
"51",8116046,"Neuffen, Stadt",6085,0.335488,1,1,1
"52",8116047,"Neuhausen auf den Fildern",11583,0.295263,1,1,1
"53",8116048,"Notzingen",3574,0.35076,1,1,1
"54",8116049,"Nürtingen, Stadt",39960,0.355816,1,1,1
"55",8116050,"Oberboihingen",5399,0.355816,1,1,1
"56",8116053,"Ohmden",1721,0.32942,1,1,1
"57",8116054,"Owen, Stadt",3404,0.342061,1,1,1
"58",8116056,"Plochingen, Stadt",13809,0.335696,1,1,1
"59",8116058,"Reichenbach an der Fils",8197,0.321718,1,1,1
"60",8116063,"Schlaitdorf",1853,0.326785,1,1,1
"61",8116068,"Unterensingen",4677,0.355816,1,1,1
"62",8116070,"Weilheim an der Teck, Stadt",9779,0.32942,1,1,1
"63",8116071,"Wendlingen am Neckar, Stadt",15670,0.338172,1,1,1
"64",8116072,"Wernau (Neckar), Stadt",12200,0.334868,1,1,1
"65",8116073,"Wolfschlugen",6289,0.355816,1,1,1
"66",8116076,"Aichwald",7460,0.300426,1,1,1
"67",8116077,"Filderstadt, Stadt",44721,0.309451,1,1,1
"68",8116078,"Leinfelden-Echterdingen, Stadt",38266,0.306293,1,1,1
"69",8116079,"Lenningen",7942,0.342061,1,1,1
"70",8116080,"Ostfildern, Stadt",37785,0.32172,1,1,1
"71",8116081,"Aichtal, Stadt",9665,0.316621,1,1,1
"72",8117001,"Adelberg",1948,0.475143,3,5,2
"73",8117002,"Aichelberg",1279,0.477303,3,5,2
"74",8117003,"Albershausen",4210,0.483067,3,5,2
"75",8117006,"Bad Ditzenbach",3645,0.499628,3,6,2
"76",8117007,"Bad Überkingen",3788,0.513853,4,7,2
"77",8117009,"Birenbach",1877,0.475143,3,5,2
"78",8117010,"Böhmenkirch",5484,0.477949,3,5,2
"79",8117011,"Börtlingen",1709,0.475143,3,5,2
"80",8117012,"Bad Boll",5067,0.477303,3,5,2
"81",8117014,"Deggingen",5222,0.499628,3,6,2
"82",8117015,"Donzdorf, Stadt",10737,0.493574,3,6,2
"83",8117016,"Drackenstein",406,0.488473,3,5,2
"84",8117017,"Dürnau",2083,0.477303,3,5,2
"85",8117018,"Ebersbach an der Fils, Stadt",15166,0.486474,3,5,2
"86",8117019,"Eislingen/Fils, Stadt",19948,0.508162,3,6,2
"87",8117020,"Eschenbach",2158,0.473238,3,5,2
"88",8117023,"Gammelshausen",1422,0.477303,3,5,2
"89",8117024,"Geislingen an der Steige, Stadt",26673,0.513853,4,7,2
"90",8117025,"Gingen an der Fils",4338,0.493574,3,6,2
"91",8117026,"Göppingen, Stadt",55846,0.525923,4,7,2
"92",8117028,"Gruibingen",2177,0.488473,3,5,2
"93",8117029,"Hattenhofen",2899,0.477303,3,5,2
"94",8117030,"Heiningen",5005,0.473238,3,5,2
"95",8117031,"Hohenstadt",831,0.488473,3,5,2
"96",8117033,"Kuchen",5495,0.513853,4,7,2
"97",8117035,"Mühlhausen im Täle",1013,0.488473,3,5,2
"98",8117037,"Ottenbach",2442,0.508162,3,6,2
"99",8117038,"Rechberghausen",5389,0.475143,3,5,2
"100",8117042,"Salach",7925,0.508162,3,6,2
"101",8117043,"Schlat",1664,0.525923,4,7,2
