"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",8111000,"Stuttgart, Landeshauptstadt",612441,0.268055,1,1,1
"2",8115003,"Böblingen, Stadt",47385,0.268479,1,1,1
"3",8115028,"Leonberg, Stadt",46143,0.257099,1,1,1
"4",8115029,"Magstadt",9083,0.253644,1,1,1
"5",8115041,"Renningen, Stadt",16878,0.257505,1,1,1
"6",8115042,"Rutesheim, Stadt",10493,0.255597,1,1,1
"7",8115044,"Schönaich",9901,0.255391,1,1,1
"8",8115045,"Sindelfingen, Stadt",62215,0.279005,1,1,1
"9",8115050,"Weil der Stadt, Stadt",18500,0.269744,1,1,1
"10",8115051,"Weil im Schönbuch",9766,0.258585,1,1,1
"11",8115052,"Weissach",7463,0.238486,1,1,1
"12",8115901,"GVV Aidlingen/Grafenau",15366,0.253911,1,1,1
"13",8115902,"GVV Gärtringen/Ehningen",20202,0.25481,1,1,1
"14",8115903,"VVG der Stadt Herrenberg",39338,0.282136,1,1,1
"15",8115904,"GVV Holzgerlingen",20652,0.255452,1,1,1
"16",8115905,"GVV Oberes Gäu",26183,0.282526,1,1,1
"17",8115906,"GVV Waldenbuch/Steinenbronn",14711,0.251516,1,1,1
"18",8116015,"Denkendorf",10588,0.29355,1,1,1
"19",8116019,"Esslingen am Neckar, Stadt",90378,0.326666,1,2,1
"20",8116047,"Neuhausen auf den Fildern",11583,0.271534,1,1,1
"21",8116072,"Wernau (Neckar), Stadt",12200,0.302235,1,1,1
"22",8116076,"Aichwald",7460,0.280554,1,1,1
"23",8116077,"Filderstadt, Stadt",44721,0.272428,1,1,1
"24",8116078,"Leinfelden-Echterdingen, Stadt",38266,0.278184,1,1,1
"25",8116080,"Ostfildern, Stadt",37785,0.286507,1,1,1
"26",8116081,"Aichtal, Stadt",9665,0.287156,1,1,1
"27",8116901,"VVG der Stadt Kirchheim unter Teck",48858,0.324153,1,2,1
"28",8116902,"GVV Lenningen",13455,0.304486,1,1,1
"29",8116903,"GVV Neckartenzlingen",18957,0.297244,1,1,1
"30",8116904,"VVG der Stadt Neuffen",11880,0.300519,1,1,1
"31",8116905,"VVG der Stadt Nürtingen",69354,0.321944,1,2,1
