"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",8111,"Stuttgart",612441,0.260433,1,1,1
"2",8115,"Böblingen",374279,0.291937,1,1,1
"3",8116,"Esslingen",516779,0.345953,1,2,1
"4",8117,"Göppingen",250117,0.530815,3,6,2
"5",8118,"Ludwigsburg",526377,0.357482,1,2,1
"6",8119,"Rems-Murr-Kreis",414016,0.435167,2,3,2
"7",8121,"Heilbronn",119841,0.41054,2,3,2
"8",8125,"Heilbronn",329250,0.460544,2,4,2
"9",8126,"Hohenlohekreis",108816,0.516682,3,6,2
"10",8127,"Schwäbisch Hall",188974,0.574183,5,9,3
"11",8128,"Main-Tauber-Kreis",130299,0.56774,4,8,2
"12",8135,"Heidenheim",128894,0.477922,3,5,2
"13",8136,"Ostalbkreis",308205,0.479735,3,5,2
"14",8211,"Baden-Baden",53342,0.427646,2,3,2
"15",8212,"Karlsruhe",300051,0.367442,1,2,1
"16",8215,"Karlsruhe",431315,0.446477,2,4,2
"17",8216,"Rastatt",224687,0.493129,3,6,2
"18",8221,"Heidelberg",154715,0.225846,1,1,1
"19",8222,"Mannheim",299844,0.540975,4,7,2
"20",8225,"Neckar-Odenwald-Kreis",141651,0.641,5,10,3
"21",8226,"Rhein-Neckar-Kreis",534729,0.431234,2,3,2
"22",8231,"Pforzheim",119291,0.71826,5,10,3
"23",8235,"Calw",152766,0.560327,4,8,2
"24",8236,"Enzkreis",193728,0.456181,2,4,2
"25",8237,"Freudenstadt",115147,0.553846,4,7,2
"26",8311,"Freiburg im Breisgau",222203,0.460602,2,4,2
"27",8315,"Breisgau-Hochschwarzwald",252749,0.537122,4,7,2
"28",8316,"Emmendingen",159708,0.56989,4,8,2
"29",8317,"Ortenaukreis",415639,0.578293,5,9,3
"30",8325,"Rottweil",135912,0.53624,4,7,2
"31",8326,"Schwarzwald-Baar-Kreis",206116,0.577694,5,9,3
"32",8327,"Tuttlingen",134607,0.552813,4,7,2
"33",8335,"Konstanz",275785,0.572244,5,9,3
"34",8336,"Lörrach",223692,0.619535,5,9,3
"35",8337,"Waldshut",165211,0.679471,5,10,3
"36",8415,"Reutlingen",278031,0.464847,2,4,2
"37",8416,"Tübingen",218355,0.388069,1,2,1
"38",8417,"Zollernalbkreis",186360,0.562653,4,8,2
"39",8421,"Ulm",120714,0.318705,1,1,1
"40",8425,"Alb-Donau-Kreis",189129,0.477669,3,5,2
"41",8426,"Biberach",190438,0.483674,3,5,2
"42",8435,"Bodenseekreis",209386,0.369099,1,2,1
"43",8436,"Ravensburg",275339,0.522679,3,6,2
"44",8437,"Sigmaringen",127716,0.670422,5,10,3
