"","Raumordnungsregion Nr","Raumordnungsregion","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",801,"Bodensee-Oberschwaben",612441,0.396713,3,6,2
"2",802,"Donau-Iller (BW)",500281,0.31825,2,3,2
"3",803,"Franken",877180,0.396844,4,7,2
"4",804,"Hochrhein-Bodensee",664688,0.547114,5,10,3
"5",805,"Mittlerer Oberrhein",1009395,0.30606,1,2,1
"6",806,"Neckar-Alb",682746,0.351798,2,4,2
"7",807,"Nordschwarzwald",580932,0.470389,4,8,2
"8",808,"Ostwürttemberg",437099,0.367933,3,5,2
"9",809,"Schwarzwald-Baar-Heuberg",476635,0.473169,5,9,3
"10",810,"Stuttgart",2694009,0.200041,1,1,1
"11",811,"Südlicher Oberrhein",1050299,0.451186,4,8,2
"12",812,"Unterer Neckar",1130939,0.34059,2,3,2
