"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",9161000,"Ingolstadt",131002,0.274506,1,1,1
"2",9162000,"München, Landeshauptstadt",1429584,0.173485,1,1,1
"3",9163000,"Rosenheim",60889,0.504527,3,5,2
"4",9171111,"Altötting, Stadt",12633,0.45539,2,4,2
"5",9171112,"Burghausen, Stadt",17824,0.393453,1,2,1
"6",9171113,"Burgkirchen a.d.Alz",10202,0.435671,2,3,2
"7",9171114,"Emmerting",4098,0.384286,1,2,1
"8",9171115,"Erlbach",1174,0.425232,1,2,1
"9",9171116,"Feichten a.d.Alz",1197,0.421614,1,2,1
"10",9171117,"Garching a.d.Alz",8494,0.445827,2,3,2
"11",9171118,"Haiming",2443,0.389345,1,2,1
"12",9171119,"Halsbach",961,0.421614,1,2,1
"13",9171121,"Kastl",2678,0.422742,1,2,1
"14",9171122,"Kirchweidach",2283,0.421614,1,2,1
"15",9171123,"Marktl, Markt",2665,0.394133,1,2,1
"16",9171124,"Mehring",2328,0.384286,1,2,1
"17",9171125,"Neuötting, Stadt",8471,0.457347,2,4,2
"18",9171126,"Perach",1255,0.425232,1,2,1
"19",9171127,"Pleiskirchen",2390,0.431785,1,2,1
"20",9171129,"Reischach",2544,0.425232,1,2,1
"21",9171130,"Stammham",991,0.394133,1,2,1
"22",9171131,"Teising",1902,0.447273,2,3,2
"23",9171132,"Töging a.Inn, Stadt",9124,0.439411,2,3,2
"24",9171133,"Tüßling, Markt",3241,0.432239,2,3,2
"25",9171134,"Tyrlaching",945,0.421614,1,2,1
"26",9171135,"Unterneukirchen",2957,0.422742,1,2,1
"27",9171137,"Winhöring",4665,0.414429,1,2,1
"28",9172111,"Ainring",9634,0.635211,5,10,3
"29",9172112,"Anger",4444,0.633075,5,10,3
"30",9172114,"Bad Reichenhall, GKSt",17327,0.647739,5,10,3
"31",9172115,"Bayerisch Gmain",3045,0.646849,5,10,3
"32",9172116,"Berchtesgaden, Markt",7781,0.623021,5,10,3
"33",9172117,"Bischofswiesen",7520,0.628552,5,10,3
"34",9172118,"Freilassing, Stadt",16194,0.657544,5,10,3
"35",9172122,"Laufen, Stadt",6852,0.670312,5,10,3
"36",9172124,"Marktschellenberg, Markt",1750,0.635825,5,10,3
"37",9172128,"Piding",5328,0.628815,5,10,3
"38",9172129,"Ramsau b.Berchtesgaden",1742,0.64012,5,10,3
"39",9172130,"Saaldorf-Surheim",5360,0.613814,5,9,3
"40",9172131,"Schneizlreuth",1327,0.609205,5,9,3
"41",9172132,"Schönau a.Königssee",5423,0.624809,5,10,3
"42",9172134,"Teisendorf, Markt",9249,0.618627,5,9,3
"43",9173111,"Bad Heilbrunn",3802,0.398987,1,2,1
"44",9173112,"Bad Tölz, Stadt",18185,0.40322,1,2,1
"45",9173113,"Benediktbeuern",3563,0.400533,1,2,1
"46",9173115,"Bichl",2107,0.400533,1,2,1
"47",9173118,"Dietramszell",5370,0.393431,1,2,1
"48",9173120,"Egling",5400,0.382364,1,2,1
"49",9173123,"Eurasburg",4277,0.370917,1,1,1
"50",9173124,"Gaißach",3061,0.403367,1,2,1
"51",9173126,"Geretsried, Stadt",24069,0.378008,1,1,1
"52",9173127,"Greiling",1438,0.376726,1,1,1
"53",9173130,"Icking",3714,0.383882,1,2,1
"54",9173131,"Jachenau",841,0.453244,2,3,2
"55",9173133,"Kochel a.See",3998,0.412708,1,2,1
"56",9173134,"Königsdorf",3006,0.361933,1,1,1
"57",9173135,"Lenggries",9835,0.425098,1,2,1
"58",9173137,"Münsing",4230,0.370019,1,1,1
"59",9173140,"Reichersbeuern",2309,0.376726,1,1,1
"60",9173141,"Sachsenkam",1297,0.376726,1,1,1
"61",9173142,"Schlehdorf",1223,0.412708,1,2,1
"62",9173145,"Wackersberg",3493,0.427633,1,2,1
"63",9173147,"Wolfratshausen, Stadt",18122,0.356096,1,1,1
"64",9174111,"Altomünster, Markt",7678,0.419553,1,2,1
"65",9174113,"Bergkirchen",7705,0.374678,1,1,1
"66",9174115,"Dachau, GKSt",45985,0.388981,1,2,1
"67",9174118,"Erdweg",5792,0.391438,1,2,1
"68",9174121,"Haimhausen",5237,0.375264,1,1,1
"69",9174122,"Hebertshausen",5424,0.376362,1,1,1
"70",9174126,"Karlsfeld",19321,0.36304,1,1,1
"71",9174131,"Markt Indersdorf, Markt",9793,0.378925,1,2,1
"72",9174135,"Odelzhausen",4724,0.386371,1,2,1
"73",9174136,"Petershausen",6286,0.379304,1,2,1
"74",9174137,"Pfaffenhofen a.d.Glonn",1998,0.386371,1,2,1
"75",9174141,"Röhrmoos",6267,0.399743,1,2,1
"76",9174143,"Schwabhausen",6318,0.371873,1,1,1
"77",9174146,"Sulzemoos",2682,0.386371,1,2,1
"78",9174147,"Hilgertshausen-Tandern",3266,0.402925,1,2,1
"79",9174150,"Vierkirchen",4485,0.388567,1,2,1
"80",9174151,"Weichs",3318,0.390868,1,2,1
"81",9175111,"Anzing",4020,0.247768,1,1,1
"82",9175112,"Aßling",4389,0.289335,1,1,1
"83",9175113,"Baiern",1409,0.266245,1,1,1
"84",9175114,"Bruck",1222,0.266245,1,1,1
"85",9175115,"Ebersberg, Stadt",11625,0.253939,1,1,1
"86",9175116,"Egmating",2283,0.266245,1,1,1
"87",9175118,"Forstinning",3649,0.242723,1,1,1
"88",9175119,"Frauenneuharting",1504,0.289335,1,1,1
"89",9175121,"Glonn, Markt",4964,0.266245,1,1,1
"90",9175122,"Grafing b.München, Stadt",13369,0.261846,1,1,1
"91",9175123,"Hohenlinden",3046,0.255229,1,1,1
"92",9175124,"Kirchseeon, Markt",10054,0.267635,1,1,1
"93",9175127,"Markt Schwaben, Markt",12884,0.245404,1,1,1
"94",9175128,"Moosach",1539,0.266245,1,1,1
"95",9175131,"Oberpframmern",2369,0.266245,1,1,1
"96",9175132,"Vaterstetten",22272,0.227611,1,1,1
"97",9175133,"Pliening",5293,0.203233,1,1,1
"98",9175135,"Poing",14449,0.195067,1,1,1
"99",9175136,"Emmering",1501,0.289335,1,1,1
"100",9175137,"Steinhöring",4003,0.276443,1,1,1
"101",9175139,"Zorneding",9029,0.210851,1,1,1
"102",9176111,"Adelschlag",2957,0.369534,1,1,1
"103",9176112,"Altmannstein, Markt",6848,0.372419,1,1,1
"104",9176114,"Beilngries, Stadt",8983,0.378214,1,2,1
"105",9176116,"Böhmfeld",1640,0.353412,1,1,1
"106",9176118,"Buxheim",3593,0.364575,1,1,1
"107",9176120,"Denkendorf",4621,0.384603,1,2,1
"108",9176121,"Dollnstein, Markt",2752,0.411017,1,2,1
"109",9176122,"Egweil",1155,0.369534,1,1,1
"110",9176123,"Eichstätt, GKSt",13300,0.41578,1,2,1
"111",9176124,"Eitensheim",2953,0.353412,1,1,1
"112",9176126,"Gaimersheim, Markt",11534,0.322067,1,1,1
"113",9176129,"Großmehring",6573,0.350145,1,1,1
"114",9176131,"Hepberg",2736,0.356192,1,1,1
"115",9176132,"Hitzhofen",2846,0.348687,1,1,1
"116",9176137,"Kinding, Markt",2558,0.380201,1,2,1
"117",9176138,"Kipfenberg, Markt",5638,0.374254,1,1,1
"118",9176139,"Kösching, Markt",9326,0.352345,1,1,1
"119",9176143,"Lenting",4813,0.363305,1,1,1
"120",9176147,"Mindelstetten",1652,0.35592,1,1,1
"121",9176148,"Mörnsheim, Markt",1537,0.408716,1,2,1
"122",9176149,"Nassenfels, Markt",2033,0.369534,1,1,1
"123",9176150,"Oberdolling",1267,0.35592,1,1,1
"124",9176153,"Pförring, Markt",3600,0.35592,1,1,1
"125",9176155,"Pollenfeld",2824,0.391899,1,2,1
"126",9176160,"Schernfeld",3122,0.391899,1,2,1
"127",9176161,"Stammham",3860,0.347144,1,1,1
"128",9176164,"Titting, Markt",2624,0.395215,1,2,1
"129",9176165,"Walting",2316,0.391899,1,2,1
"130",9176166,"Wellheim, Markt",2693,0.398283,1,2,1
"131",9176167,"Wettstetten",4835,0.313528,1,1,1
"132",9177112,"Berglern",2717,0.406335,1,2,1
"133",9177113,"Bockhorn",3680,0.417654,1,2,1
"134",9177114,"Buch a.Buchrain",1484,0.405868,1,2,1
"135",9177115,"Dorfen, Stadt",14171,0.449634,2,3,2
"136",9177116,"Eitting",2618,0.409306,1,2,1
"137",9177117,"Erding, GKSt",35756,0.410622,1,2,1
"138",9177118,"Finsing",4337,0.381358,1,2,1
"139",9177119,"Forstern",3491,0.400446,1,2,1
"140",9177120,"Fraunberg",3509,0.412932,1,2,1
"141",9177121,"Hohenpolding",1469,0.437989,2,3,2
"142",9177122,"Inning a.Holz",1480,0.437989,2,3,2
"143",9177123,"Isen, Markt",5629,0.437096,2,3,2
"144",9177124,"Kirchberg",969,0.437989,2,3,2
"145",9177126,"Langenpreising",2695,0.406335,1,2,1
"146",9177127,"Lengdorf",2705,0.437943,2,3,2
"147",9177130,"Moosinning",5555,0.392285,1,2,1
"148",9177131,"Neuching",2474,0.401265,1,2,1
"149",9177133,"Oberding",5975,0.409306,1,2,1
"150",9177134,"Ottenhofen",1931,0.401265,1,2,1
"151",9177135,"Pastetten",2571,0.405868,1,2,1
"152",9177137,"Sankt Wolfgang",4404,0.462372,2,4,2
"153",9177138,"Steinkirchen",1203,0.437989,2,3,2
"154",9177139,"Taufkirchen (Vils)",9566,0.440847,2,3,2
"155",9177142,"Walpertskirchen",2086,0.396111,1,2,1
"156",9177143,"Wartenberg, Markt",5009,0.406335,1,2,1
"157",9177144,"Wörth",4355,0.396111,1,2,1
"158",9178113,"Allershausen",5537,0.299077,1,1,1
"159",9178115,"Attenkirchen",2621,0.302567,1,1,1
"160",9178116,"Au i.d.Hallertau, Markt",5773,0.328,1,1,1
"161",9178120,"Eching",13403,0.25912,1,1,1
"162",9178122,"Rudelzhausen",3265,0.319517,1,1,1
"163",9178123,"Fahrenzhausen",4727,0.266071,1,1,1
"164",9178124,"Freising, GKSt",45857,0.305426,1,1,1
"165",9178125,"Gammelsdorf",1407,0.313595,1,1,1
"166",9178129,"Haag a.d.Amper",2886,0.302567,1,1,1
"167",9178130,"Hallbergmoos",10364,0.261112,1,1,1
"168",9178132,"Hörgertshausen",1881,0.313595,1,1,1
"169",9178133,"Hohenkammer",2382,0.276287,1,1,1
"170",9178136,"Kirchdorf a.d.Amper",3002,0.315585,1,1,1
"171",9178137,"Kranzberg",4074,0.29655,1,1,1
"172",9178138,"Langenbach",3886,0.266058,1,1,1
"173",9178140,"Marzling",3142,0.286933,1,1,1
"174",9178142,"Mauern",3013,0.313595,1,1,1
"175",9178143,"Moosburg a.d.Isar, Stadt",17654,0.312428,1,1,1
"176",9178144,"Nandlstadt, Markt",5097,0.326387,1,1,1
"177",9178145,"Neufahrn b.Freising",19216,0.282421,1,1,1
"178",9178150,"Paunzhausen",1543,0.299077,1,1,1
"179",9178155,"Wang",2472,0.313595,1,1,1
"180",9178156,"Wolfersdorf",2497,0.302567,1,1,1
"181",9178157,"Zolling",4658,0.302567,1,1,1
"182",9179111,"Adelshofen",1612,0.303719,1,1,1
"183",9179113,"Alling",3664,0.282241,1,1,1
"184",9179114,"Althegnenberg",1908,0.303719,1,1,1
"185",9179117,"Egenhofen",3316,0.312891,1,1,1
"186",9179118,"Eichenau",11744,0.283525,1,1,1
"187",9179119,"Emmering",6623,0.31245,1,1,1
"188",9179121,"Fürstenfeldbruck, GKSt",35163,0.311871,1,1,1
"189",9179123,"Germering, GKSt",38670,0.280597,1,1,1
"190",9179125,"Grafrath",3734,0.305954,1,1,1
"191",9179126,"Gröbenzell",19727,0.268257,1,1,1
"192",9179128,"Hattenhofen",1480,0.303719,1,1,1
"193",9179130,"Jesenwang",1503,0.303719,1,1,1
"194",9179131,"Kottgeisering",1585,0.305954,1,1,1
"195",9179132,"Landsberied",1464,0.303719,1,1,1
"196",9179134,"Maisach",13413,0.287641,1,1,1
"197",9179136,"Mammendorf",4738,0.303719,1,1,1
"198",9179137,"Mittelstetten",1672,0.303719,1,1,1
"199",9179138,"Moorenweis",3932,0.304453,1,1,1
"200",9179140,"Oberschweinbach",1682,0.303719,1,1,1
"201",9179142,"Olching, Stadt",26357,0.277034,1,1,1
"202",9179145,"Puchheim, Stadt",20680,0.301345,1,1,1
"203",9179147,"Schöngeising",1886,0.305954,1,1,1
"204",9179149,"Türkenfeld",3725,0.304321,1,1,1
"205",9180112,"Bad Kohlgrub",2599,0.554183,4,7,2
"206",9180113,"Bad Bayersoien",1127,0.506721,3,5,2
"207",9180114,"Eschenlohe",1563,0.477832,3,5,2
"208",9180115,"Ettal",789,0.533395,3,6,2
"209",9180116,"Farchant",3624,0.493471,3,5,2
"210",9180117,"Garmisch-Partenkirchen, Markt",26319,0.500316,3,5,2
"211",9180118,"Grainau",3462,0.517228,3,6,2
"212",9180119,"Großweil",1450,0.477832,3,5,2
"213",9180122,"Krün",1879,0.526618,3,6,2
"214",9180123,"Mittenwald, Markt",7325,0.546627,4,7,2
"215",9180124,"Murnau a.Staffelsee, Markt",11882,0.461032,2,4,2
"216",9180125,"Oberammergau",5122,0.532197,3,6,2
"217",9180126,"Oberau",3111,0.518042,3,6,2
"218",9180127,"Ohlstadt",3254,0.477832,3,5,2
"219",9180128,"Riegsee",1181,0.49951,3,5,2
"220",9180129,"Saulgrub",1609,0.506721,3,5,2
"221",9180131,"Schwaigen",586,0.477832,3,5,2
"222",9180132,"Seehausen a.Staffelsee",2385,0.49951,3,5,2
"223",9180133,"Spatzenhausen",734,0.49951,3,5,2
"224",9180134,"Uffing a.Staffelsee",2991,0.493214,3,5,2
"225",9180135,"Unterammergau",1505,0.533395,3,6,2
"226",9180136,"Wallgau",1434,0.558117,4,7,2
"227",9181111,"Apfeldorf",1093,0.403653,1,2,1
"228",9181113,"Denklingen",2553,0.372771,1,1,1
"229",9181114,"Dießen am Ammersee, Markt",10203,0.405769,1,2,1
"230",9181115,"Eching am Ammersee",1660,0.354209,1,1,1
"231",9181116,"Egling a.d.Paar",2244,0.382118,1,2,1
"232",9181118,"Eresing",1737,0.375709,1,1,1
"233",9181120,"Finning",1749,0.375709,1,1,1
"234",9181121,"Fuchstal",3661,0.393791,1,2,1
"235",9181122,"Geltendorf",5444,0.366456,1,1,1
"236",9181123,"Greifenberg",2194,0.354209,1,1,1
"237",9181124,"Hofstetten",1800,0.378906,1,2,1
"238",9181126,"Hurlach",1715,0.407062,1,2,1
"239",9181127,"Igling",2466,0.407062,1,2,1
"240",9181128,"Kaufering, Markt",10162,0.388356,1,2,1
"241",9181129,"Kinsau",1033,0.403653,1,2,1
"242",9181130,"Landsberg am Lech, GKSt",28432,0.402441,1,2,1
"243",9181131,"Obermeitingen",1582,0.407062,1,2,1
"244",9181132,"Penzing",3661,0.402322,1,2,1
"245",9181133,"Vilgertshofen",2567,0.403653,1,2,1
"246",9181134,"Prittriching",2475,0.392339,1,2,1
"247",9181135,"Reichling",1633,0.403653,1,2,1
"248",9181137,"Rott",1539,0.403653,1,2,1
"249",9181138,"Scheuring",1904,0.392339,1,2,1
"250",9181139,"Schondorf am Ammersee",3849,0.354209,1,1,1
"251",9181140,"Schwifting",959,0.378906,1,2,1
"252",9181141,"Pürgen",3450,0.378906,1,2,1
"253",9181142,"Thaining",952,0.403653,1,2,1
"254",9181143,"Unterdießen",1402,0.393791,1,2,1
"255",9181144,"Utting am Ammersee",4469,0.374815,1,1,1
"256",9181145,"Weil",3763,0.389975,1,2,1
"257",9181146,"Windach",3767,0.375709,1,1,1
"258",9182111,"Bad Wiessee",4777,0.412006,1,2,1
"259",9182112,"Bayrischzell",1566,0.455275,2,4,2
"260",9182114,"Fischbachau",5624,0.410767,1,2,1
"261",9182116,"Gmund a.Tegernsee",5912,0.385451,1,2,1
"262",9182119,"Hausham",8200,0.400739,1,2,1
"263",9182120,"Holzkirchen, Markt",16021,0.341758,1,1,1
"264",9182123,"Irschenberg",3197,0.407616,1,2,1
"265",9182124,"Kreuth",3522,0.419464,1,2,1
"266",9182125,"Miesbach, Stadt",11241,0.375382,1,1,1
"267",9182127,"Otterfing",4650,0.348091,1,1,1
"268",9182129,"Rottach-Egern",5625,0.370297,1,1,1
"269",9182131,"Schliersee, Markt",6826,0.414819,1,2,1
"270",9182132,"Tegernsee, Stadt",3647,0.379572,1,2,1
"271",9182133,"Valley",3122,0.370191,1,1,1
"272",9182134,"Waakirchen",5596,0.379635,1,2,1
"273",9182136,"Warngau",3810,0.386954,1,2,1
"274",9182137,"Weyarn",3437,0.379054,1,2,1
"275",9183112,"Ampfing",6248,0.531394,3,6,2
"276",9183113,"Aschau a.Inn",3168,0.542917,3,6,2
"277",9183114,"Buchbach, Markt",3084,0.543568,4,7,2
"278",9183115,"Egglkofen",1206,0.56529,4,7,2
"279",9183116,"Erharting",933,0.554305,4,7,2
"280",9183118,"Gars a.Inn, Markt",3802,0.554816,4,7,2
"281",9183119,"Haag i.OB, Markt",6321,0.500369,3,5,2
"282",9183120,"Heldenstein",2507,0.531148,3,6,2
"283",9183122,"Jettenbach",744,0.540731,3,6,2
"284",9183123,"Kirchdorf",1335,0.54693,4,7,2
"285",9183124,"Kraiburg a.Inn, Markt",4032,0.540731,3,6,2
"286",9183125,"Lohkirchen",700,0.564066,4,7,2
"287",9183126,"Maitenbeth",1959,0.517879,3,6,2
"288",9183127,"Mettenheim",3411,0.537323,3,6,2
"289",9183128,"Mühldorf a.Inn, Stadt",18305,0.543691,4,7,2
"290",9183129,"Neumarkt-Sankt Veit, Stadt",6074,0.56529,4,7,2
"291",9183130,"Niederbergkirchen",1195,0.554305,4,7,2
"292",9183131,"Niedertaufkirchen",1339,0.554305,4,7,2
"293",9183132,"Oberbergkirchen",1628,0.564066,4,7,2
"294",9183134,"Oberneukirchen",827,0.545628,4,7,2
"295",9183135,"Obertaufkirchen",2448,0.564975,4,7,2
"296",9183136,"Polling",3291,0.545628,4,7,2
"297",9183138,"Rattenkirchen",968,0.531148,3,6,2
"298",9183139,"Rechtmehring",1837,0.517879,3,6,2
"299",9183140,"Reichertsheim",1650,0.54693,4,7,2
"300",9183143,"Schönberg",992,0.564066,4,7,2
"301",9183144,"Schwindegg",3456,0.518131,3,6,2
"302",9183145,"Taufkirchen",1348,0.540731,3,6,2
"303",9183147,"Unterreit",1703,0.554816,4,7,2
"304",9183148,"Waldkraiburg, Stadt",22681,0.558837,4,7,2
"305",9183151,"Zangberg",1104,0.564066,4,7,2
"306",9184112,"Aschheim",8512,0.022603,1,1,1
"307",9184113,"Baierbrunn",3132,0.063306,1,1,1
"308",9184114,"Brunnthal",5167,0.021001,1,1,1
"309",9184118,"Feldkirchen",7073,0,1,1,1
"310",9184119,"Garching b.München, Stadt",16456,0.046462,1,1,1
"311",9184120,"Gräfelfing",13269,0.031829,1,1,1
"312",9184121,"Grasbrunn",6659,0.018299,1,1,1
"313",9184122,"Grünwald",11014,0.041887,1,1,1
"314",9184123,"Haar",19920,0.038691,1,1,1
"315",9184127,"Höhenkirchen-Siegertsbrunn",10478,0.044958,1,1,1
"316",9184129,"Hohenbrunn",8767,0.063466,1,1,1
"317",9184130,"Ismaning",16068,0.002963,1,1,1
"318",9184131,"Kirchheim b.München",12769,0.017922,1,1,1
"319",9184132,"Neuried",8503,0.01146,1,1,1
"320",9184134,"Oberhaching",12899,0.029785,1,1,1
"321",9184135,"Oberschleißheim",11456,0.046067,1,1,1
"322",9184136,"Ottobrunn",21040,0.001995,1,1,1
"323",9184137,"Aying",4957,0.038652,1,1,1
"324",9184138,"Planegg",10499,0.012237,1,1,1
"325",9184139,"Pullach i.Isartal",8887,0.030829,1,1,1
"326",9184140,"Putzbrunn",6506,0.040794,1,1,1
"327",9184141,"Sauerlach",7511,0.043539,1,1,1
"328",9184142,"Schäftlarn",5591,0.06957,1,1,1
"329",9184144,"Straßlach-Dingharting",3093,0.036351,1,1,1
"330",9184145,"Taufkirchen",17696,0.044664,1,1,1
"331",9184146,"Neubiberg",13621,0.049566,1,1,1
"332",9184147,"Unterföhring",10820,0.005426,1,1,1
"333",9184148,"Unterhaching",23693,0.007416,1,1,1
"334",9184149,"Unterschleißheim, Stadt",26744,0.008535,1,1,1
"335",9185113,"Aresing",2722,0.522529,3,6,2
"336",9185116,"Berg im Gau",1277,0.520809,3,6,2
"337",9185118,"Bergheim",1935,0.518645,3,6,2
"338",9185123,"Brunnen",1652,0.520809,3,6,2
"339",9185125,"Burgheim, Markt",4566,0.545315,4,7,2
"340",9185127,"Ehekirchen",3651,0.554533,4,7,2
"341",9185131,"Gachenbach",2342,0.520809,3,6,2
"342",9185139,"Karlshuld",5422,0.519511,3,6,2
"343",9185140,"Karlskron",4858,0.495178,3,5,2
"344",9185143,"Langenmosen",1565,0.520809,3,6,2
"345",9185149,"Neuburg a.d.Donau, GKSt",28910,0.551153,4,7,2
"346",9185150,"Oberhausen",2741,0.535015,3,6,2
"347",9185153,"Rennertshofen, Markt",4819,0.542751,3,6,2
"348",9185157,"Rohrenfels",1502,0.518645,3,6,2
"349",9185158,"Schrobenhausen, Stadt",16404,0.526828,3,6,2
"350",9185163,"Königsmoos",4542,0.531564,3,6,2
"351",9185166,"Waidhofen",2219,0.520809,3,6,2
"352",9185168,"Weichering",2378,0.503923,3,5,2
"353",9186113,"Baar-Ebenhausen",5104,0.369206,1,1,1
"354",9186116,"Ernsgaden",1571,0.388758,1,2,1
"355",9186122,"Geisenfeld, Stadt",10534,0.388758,1,2,1
"356",9186125,"Gerolsbach",3394,0.392575,1,2,1
"357",9186126,"Hettenshausen",2088,0.381513,1,2,1
"358",9186128,"Hohenwart, Markt",4538,0.408975,1,2,1
"359",9186130,"Ilmmünster",2075,0.381513,1,2,1
