"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",9161000,"Ingolstadt",131002,0.316564,1,1,1
"2",9162000,"München, Landeshauptstadt",1429584,0.17348,1,1,1
"3",9163000,"Rosenheim",60889,0.49769,3,5,2
"4",9171111,"Altötting, Stadt",12633,0.469378,2,4,2
"5",9171112,"Burghausen, Stadt",17824,0.422672,1,2,1
"6",9171113,"Burgkirchen a.d.Alz",10202,0.462389,2,4,2
"7",9171117,"Garching a.d.Alz",8494,0.456213,2,4,2
"8",9171118,"Haiming",2443,0.404103,1,2,1
"9",9171125,"Neuötting, Stadt",8471,0.480815,3,5,2
"10",9171127,"Pleiskirchen",2390,0.459066,2,4,2
"11",9171131,"Teising",1902,0.4461,2,3,2
"12",9171132,"Töging a.Inn, Stadt",9124,0.456243,2,4,2
"13",9171133,"Tüßling, Markt",3241,0.443799,2,3,2
"14",9171137,"Winhöring",4665,0.428045,2,3,2
"15",9171901,"Emmerting (VGem)",6426,0.397173,1,2,1
"16",9171902,"Kirchweidach (VGem)",5386,0.437925,2,3,2
"17",9171903,"Marktl (VGem)",3656,0.412232,1,2,1
"18",9171904,"Reischach (VGem)",4973,0.440366,2,3,2
"19",9171906,"Unterneukirchen (VGem)",5635,0.435746,2,3,2
"20",9172111,"Ainring",9634,0.596026,5,9,3
"21",9172112,"Anger",4444,0.58103,4,8,2
"22",9172114,"Bad Reichenhall, GKSt",17327,0.616723,5,9,3
"23",9172115,"Bayerisch Gmain",3045,0.61361,5,9,3
"24",9172116,"Berchtesgaden, Markt",7781,0.575095,4,8,2
"25",9172117,"Bischofswiesen",7520,0.604347,5,9,3
"26",9172118,"Freilassing, Stadt",16194,0.61008,5,9,3
"27",9172122,"Laufen, Stadt",6852,0.623321,5,10,3
"28",9172124,"Marktschellenberg, Markt",1750,0.614302,5,9,3
"29",9172128,"Piding",5328,0.593242,5,9,3
"30",9172129,"Ramsau b.Berchtesgaden",1742,0.618388,5,9,3
"31",9172130,"Saaldorf-Surheim",5360,0.58025,4,8,2
"32",9172131,"Schneizlreuth",1327,0.596891,5,9,3
"33",9172132,"Schönau a.Königssee",5423,0.584981,4,8,2
"34",9172134,"Teisendorf, Markt",9249,0.579767,4,8,2
"35",9173111,"Bad Heilbrunn",3802,0.40011,1,2,1
"36",9173112,"Bad Tölz, Stadt",18185,0.39826,1,2,1
"37",9173118,"Dietramszell",5370,0.389325,1,2,1
"38",9173120,"Egling",5400,0.372857,1,2,1
"39",9173123,"Eurasburg",4277,0.357925,1,1,1
"40",9173124,"Gaißach",3061,0.400183,1,2,1
"41",9173126,"Geretsried, Stadt",24069,0.361807,1,1,1
"42",9173130,"Icking",3714,0.382316,1,2,1
"43",9173131,"Jachenau",841,0.46817,2,4,2
"44",9173134,"Königsdorf",3006,0.372925,1,2,1
