"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",9161,"Ingolstadt",131002,0.278166,1,1,1
"2",9162,"München, Landeshauptstadt",1429584,0.172302,1,1,1
"3",9163,"Rosenheim",60889,0.519213,3,5,2
"4",9171,"Altötting",107465,0.436403,2,3,2
"5",9172,"Berchtesgadener Land",102976,0.659387,5,10,3
"6",9173,"Bad Tölz-Wolfratshausen",123340,0.397136,1,2,1
"7",9174,"Dachau",146279,0.393276,1,2,1
"8",9175,"Ebersberg",134873,0.244948,1,1,1
"9",9176,"Eichstätt",127189,0.376443,1,2,1
"10",9177,"Erding",131839,0.428697,2,3,2
"11",9178,"Freising",170357,0.300745,1,1,1
"12",9179,"Fürstenfeldbruck",210278,0.296412,1,1,1
"13",9180,"Garmisch-Partenkirchen",85931,0.5186,3,5,2
"14",9181,"Landsberg am Lech",116118,0.399965,1,2,1
"15",9182,"Miesbach",96773,0.391235,1,2,1
"16",9183,"Mühldorf a.Inn",110296,0.561542,4,7,2
"17",9184,"München",332800,0.018876,1,1,1
"18",9185,"Neuburg-Schrobenhausen",93505,0.550062,3,6,2
"19",9186,"Pfaffenhofen a.d.Ilm",121594,0.386006,1,2,1
"20",9187,"Rosenheim",251850,0.474362,2,4,2
"21",9188,"Starnberg",131873,0.05802,1,1,1
"22",9189,"Traunstein",171978,0.505426,3,5,2
"23",9190,"Weilheim-Schongau",131190,0.449375,2,3,2
"24",9261,"Landshut",67509,0.473222,2,4,2
"25",9262,"Passau",49952,0.552937,3,6,2
"26",9263,"Straubing",46027,0.631328,5,9,3
"27",9271,"Deggendorf",115699,0.599131,4,8,2
"28",9272,"Freyung-Grafenau",77927,0.705833,5,10,3
"29",9273,"Kelheim",116495,0.554016,4,7,2
"30",9274,"Landshut",151819,0.473794,2,4,2
"31",9275,"Passau",186284,0.648953,5,9,3
"32",9276,"Regen",76265,0.656072,5,10,3
"33",9277,"Rottal-Inn",118164,0.645523,5,9,3
"34",9278,"Straubing-Bogen",97967,0.589635,4,8,2
"35",9279,"Dingolfing-Landau",93450,0.459294,2,3,2
"36",9361,"Amberg",41535,0.570824,4,7,2
"37",9362,"Regensburg",142292,0.337819,1,2,1
"38",9363,"Weiden i.d.OPf.",41817,0.660862,5,10,3
"39",9371,"Amberg-Sulzbach",103045,0.561772,4,7,2
"40",9372,"Cham",125844,0.623121,5,9,3
"41",9373,"Neumarkt i.d.OPf.",128975,0.530527,3,6,2
"42",9374,"Neustadt a.d.Waldnaab",95184,0.651563,5,10,3
"43",9375,"Regensburg",187205,0.431642,2,3,2
"44",9376,"Schwandorf",143614,0.609197,5,9,3
"45",9377,"Tirschenreuth",73250,0.627975,5,9,3
"46",9461,"Bamberg",71952,0.489766,3,5,2
"47",9462,"Bayreuth",71601,0.530168,3,6,2
"48",9463,"Coburg",41062,0.474445,2,4,2
"49",9464,"Hof",44325,0.729172,5,10,3
"50",9471,"Bamberg",144695,0.551524,3,6,2
"51",9472,"Bayreuth",104615,0.584508,4,8,2
"52",9473,"Coburg",86715,0.607239,4,8,2
"53",9474,"Forchheim",113900,0.417836,1,2,1
"54",9475,"Hof",96608,0.622797,5,9,3
"55",9476,"Kronach",67998,0.583034,4,7,2
"56",9477,"Kulmbach",72541,0.626981,5,9,3
"57",9478,"Lichtenfels",66540,0.650072,5,10,3
"58",9479,"Wunsiedel i.Fichtelgebirge",73403,0.678873,5,10,3
"59",9561,"Ansbach",40010,0.545566,3,6,2
"60",9562,"Erlangen",106423,0,1,1,1
