"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",12051000,"Brandenburg an der Havel, Stadt",71032,0.916879,5,10,3
"2",12052000,"Cottbus, Stadt",99491,0.711419,2,4,2
"3",12053000,"Frankfurt (Oder), Stadt",57649,0.800774,4,7,2
"4",12054000,"Potsdam, Stadt",164042,0.502376,1,1,1
"5",12060005,"Ahrensfelde",12856,0.678401,2,3,2
"6",12060012,"Althüttendorf",675,0.828864,4,8,2
"7",12060020,"Bernau bei Berlin, Stadt",36547,0.763137,3,5,2
"8",12060024,"Biesenthal, Stadt",5632,0.778851,3,6,2
"9",12060034,"Breydin",799,0.778851,3,6,2
"10",12060036,"Britz",2132,0.84044,4,8,2
"11",12060045,"Chorin",2281,0.84044,4,8,2
"12",12060052,"Eberswalde, Stadt",38897,0.873324,5,9,3
"13",12060068,"Friedrichswalde",809,0.828864,4,8,2
"14",12060092,"Hohenfinow",512,0.84044,4,8,2
"15",12060100,"Joachimsthal, Stadt",3352,0.828864,4,8,2
"16",12060128,"Liepe",646,0.84044,4,8,2
"17",12060149,"Lunow-Stolzenhagen",1206,0.84044,4,8,2
"18",12060154,"Marienwerder",1739,0.778851,3,6,2
"19",12060161,"Melchow",939,0.778851,3,6,2
"20",12060172,"Niederfinow",610,0.84044,4,8,2
"21",12060176,"Oderberg, Stadt",2165,0.84044,4,8,2
"22",12060181,"Panketal",19721,0.687838,2,3,2
"23",12060185,"Parsteinsee",552,0.84044,4,8,2
"24",12060192,"Rüdnitz",1967,0.778851,3,6,2
"25",12060198,"Schorfheide",9759,0.786707,3,6,2
"26",12060250,"Sydower Fließ",886,0.778851,3,6,2
"27",12060269,"Wandlitz",21656,0.760598,3,5,2
"28",12060280,"Werneuchen, Stadt",8197,0.778856,3,6,2
"29",12060296,"Ziethen",446,0.828864,4,8,2
"30",12061005,"Alt Zauche-Wußwerk",506,0.700825,2,4,2
"31",12061017,"Bersteland",895,0.663138,1,2,1
"32",12061020,"Bestensee",7125,0.660071,1,2,1
"33",12061061,"Byhleguhre-Byhlen",775,0.700825,2,4,2
"34",12061097,"Drahnsdorf",584,0.663138,1,2,1
"35",12061112,"Eichwalde",6421,0.625702,1,2,1
"36",12061164,"Golßen, Stadt",2505,0.663138,1,2,1
"37",12061192,"Groß Köris",2243,0.659258,1,2,1
"38",12061216,"Halbe",2176,0.659258,1,2,1
"39",12061217,"Heidesee",6828,0.654421,1,2,1
"40",12061219,"Heideblick",3679,0.711287,2,4,2
"41",12061224,"Jamlitz",550,0.700825,2,4,2
"42",12061244,"Kasel-Golzig",673,0.663138,1,2,1
"43",12061260,"Königs Wusterhausen, Stadt",34795,0.654603,1,2,1
"44",12061265,"Krausnick-Groß Wasserburg",589,0.663138,1,2,1
"45",12061308,"Lieberose, Stadt",1391,0.700825,2,4,2
"46",12061316,"Lübben (Spreewald), Stadt",13672,0.705635,2,4,2
"47",12061320,"Luckau, Stadt",9558,0.691769,2,3,2
"48",12061328,"Märkisch Buchholz, Stadt",740,0.659258,1,2,1
"49",12061329,"Märkische Heide",3989,0.664456,1,2,1
"50",12061332,"Mittenwalde, Stadt",8774,0.626631,1,2,1
"51",12061344,"Münchehofe",481,0.659258,1,2,1
"52",12061352,"Neu Zauche",1126,0.700825,2,4,2
"53",12061405,"Rietzneuendorf-Staakow",609,0.663138,1,2,1
"54",12061428,"Schlepzig",614,0.663138,1,2,1
"55",12061433,"Schönefeld",13895,0.616914,1,1,1
"56",12061435,"Schönwald",1141,0.663138,1,2,1
"57",12061444,"Schulzendorf",7706,0.619492,1,1,1
"58",12061448,"Schwerin",815,0.659258,1,2,1
"59",12061450,"Schwielochsee",1523,0.700825,2,4,2
"60",12061470,"Spreewaldheide",472,0.700825,2,4,2
"61",12061471,"Steinreich",522,0.663138,1,2,1
"62",12061476,"Straupitz",1000,0.700825,2,4,2
