"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",12051000,"Brandenburg an der Havel, Stadt",71032,0.86411,5,9,3
"2",12052000,"Cottbus, Stadt",99491,0.745135,3,5,2
"3",12053000,"Frankfurt (Oder), Stadt",57649,0.807961,4,7,2
"4",12054000,"Potsdam, Stadt",164042,0.520567,1,1,1
"5",12060005,"Ahrensfelde",12856,0.600881,1,1,1
"6",12060020,"Bernau bei Berlin, Stadt",36547,0.706668,2,4,2
"7",12060052,"Eberswalde, Stadt",38897,0.81526,4,7,2
"8",12060181,"Panketal",19721,0.628664,1,2,1
"9",12060198,"Schorfheide",9759,0.731376,2,4,2
"10",12060269,"Wandlitz",21656,0.685166,2,3,2
"11",12060280,"Werneuchen, Stadt",8197,0.698122,2,3,2
"12",12060903,"Biesenthal-Barnim",11962,0.727072,2,4,2
"13",12060906,"Joachimsthal (Schorfheide)",5282,0.779464,3,5,2
"14",12060911,"Britz-Chorin-Oderberg",10104,0.780969,3,6,2
"15",12061020,"Bestensee",7125,0.6601,1,2,1
"16",12061112,"Eichwalde",6421,0.612959,1,1,1
"17",12061217,"Heidesee",6828,0.66596,2,3,2
"18",12061219,"Heideblick",3679,0.711726,2,4,2
"19",12061260,"Königs Wusterhausen, Stadt",34795,0.666322,2,3,2
"20",12061316,"Lübben (Spreewald), Stadt",13672,0.716587,2,4,2
"21",12061320,"Luckau, Stadt",9558,0.706189,2,3,2
"22",12061329,"Märkische Heide",3989,0.706529,2,3,2
"23",12061332,"Mittenwalde, Stadt",8774,0.625615,1,2,1
"24",12061433,"Schönefeld",13895,0.609246,1,1,1
"25",12061444,"Schulzendorf",7706,0.623095,1,2,1
"26",12061540,"Wildau, Stadt",9945,0.641723,1,2,1
"27",12061572,"Zeuthen",10993,0.61017,1,1,1
"28",12061908,"Schenkenländchen",8267,0.686427,2,3,2
"29",12061913,"Lieberose/Oberspreewald",7343,0.723682,2,4,2
"30",12061914,"Unterspreewald",8962,0.65303,1,2,1
"31",12062024,"Bad Liebenwerda, Stadt",9411,0.814269,4,7,2
"32",12062092,"Doberlug-Kirchhain, Stadt",8625,0.856538,4,8,2
"33",12062124,"Elsterwerda, Stadt",8161,0.842823,4,8,2
"34",12062128,"Falkenberg/Elster, Stadt",6529,0.839305,4,8,2
"35",12062140,"Finsterwalde, Stadt",16407,0.878879,5,9,3
"36",12062224,"Herzberg (Elster), Stadt",9127,0.838947,4,8,2
"37",12062341,"Mühlberg/Elbe, Stadt",3892,0.865837,5,9,3
"38",12062410,"Röderland",3990,0.791315,3,6,2
"39",12062461,"Schönewalde, Stadt",3136,0.80162,3,6,2
"40",12062469,"Sonnewalde, Stadt",3343,0.813619,4,7,2
"41",12062500,"Uebigau-Wahrenbrück, Stadt",5532,0.810313,4,7,2
"42",12062902,"Elsterland",4779,0.841064,4,8,2
"43",12062905,"Kleine Elster (Niederlausitz)",5651,0.806007,4,7,2
"44",12062907,"Plessa",6337,0.822126,4,7,2
"45",12062909,"Schlieben",5458,0.824999,4,7,2
"46",12062911,"Schradenland",4619,0.794547,3,6,2
"47",12063036,"Brieselang",11167,0.669468,2,3,2
"48",12063056,"Dallgow-Döberitz",9280,0.648066,1,2,1
"49",12063080,"Falkensee, Stadt",41777,0.691631,2,3,2
"50",12063148,"Ketzin/Havel, Stadt",6355,0.751347,3,5,2
"51",12063189,"Milower Land",4314,0.797783,3,6,2
"52",12063208,"Nauen, Stadt",16761,0.785359,3,6,2
"53",12063244,"Premnitz, Stadt",8430,0.858695,5,9,3
"54",12063252,"Rathenow, Stadt",24127,0.85789,5,9,3
"55",12063273,"Schönwalde-Glien",9202,0.68367,2,3,2
"56",12063357,"Wustermark",8308,0.691388,2,3,2
"57",12063902,"Friesack",6429,0.803605,3,6,2
"58",12063906,"Nennhausen",4604,0.799075,3,6,2
"59",12063909,"Rhinow",4654,0.82636,4,8,2
"60",12064029,"Altlandsberg, Stadt",8996,0.676933,2,3,2
"61",12064044,"Bad Freienwalde (Oder), Stadt",12382,0.830188,4,8,2
"62",12064136,"Fredersdorf-Vogelsdorf",12879,0.664693,2,3,2
"63",12064227,"Hoppegarten",17002,0.61492,1,1,1
"64",12064274,"Letschin",4100,0.865354,5,9,3
"65",12064317,"Müncheberg, Stadt",6785,0.792778,3,6,2
"66",12064336,"Neuenhagen bei Berlin",17435,0.655303,1,2,1
"67",12064380,"Petershagen/Eggersdorf",14364,0.663288,1,2,1
"68",12064428,"Rüdersdorf bei Berlin",15188,0.784608,3,6,2
"69",12064448,"Seelow, Stadt",5366,0.837931,4,8,2
"70",12064472,"Strausberg, Stadt",25946,0.76319,3,5,2
"71",12064512,"Wriezen, Stadt",7328,0.843475,4,8,2
"72",12064903,"Falkenberg-Höhe",4583,0.78841,3,6,2
"73",12064904,"Golzow",5340,0.864933,5,9,3
"74",12064906,"Lebus",6097,0.745955,3,5,2
"75",12064908,"Märkische Schweiz",9057,0.728187,2,4,2
"76",12064910,"Neuhardenberg",4358,0.83382,4,8,2
"77",12064912,"Seelow-Land",4731,0.785547,3,6,2
"78",12064914,"Barnim-Oderbruch",6485,0.817711,4,7,2
"79",12065036,"Birkenwerder",7881,0.644264,1,2,1
"80",12065084,"Fürstenberg/Havel, Stadt",5882,0.815916,4,7,2
"81",12065096,"Glienicke/Nordbahn",11942,0.585627,1,1,1
"82",12065136,"Hennigsdorf, Stadt",25928,0.729001,2,4,2
"83",12065144,"Hohen Neuendorf, Stadt",25239,0.628513,1,2,1
"84",12065165,"Kremmen, Stadt",7108,0.679916,2,3,2
"85",12065180,"Leegebruch",6567,0.658785,1,2,1
"86",12065193,"Liebenwalde, Stadt",4198,0.77959,3,6,2
"87",12065198,"Löwenberger Land",8041,0.729075,2,4,2
"88",12065225,"Mühlenbecker Land",14606,0.603666,1,1,1
"89",12065251,"Oberkrämer",10603,0.622529,1,1,1
"90",12065256,"Oranienburg, Stadt",42894,0.704455,2,3,2
"91",12065332,"Velten, Stadt",11718,0.727056,2,4,2
"92",12065356,"Zehdenick, Stadt",13325,0.788354,3,6,2
"93",12065902,"Gransee und Gemeinden",8966,0.789735,3,6,2
"94",12066052,"Calau, Stadt",7922,0.808707,4,7,2
"95",12066112,"Großräschen, Stadt",8785,0.884279,5,10,3
"96",12066176,"Lauchhammer, Stadt",15099,0.862579,5,9,3
"97",12066196,"Lübbenau/Spreewald, Stadt",16082,0.837309,4,8,2
"98",12066285,"Schipkau",6837,0.83144,4,8,2
"99",12066296,"Schwarzheide, Stadt",5772,0.79812,3,6,2
"100",12066304,"Senftenberg, Stadt",24743,0.8734,5,9,3
"101",12066320,"Vetschau/Spreewald, Stadt",8421,0.821237,4,7,2
"102",12066901,"Altdöbern",5834,0.829932,4,8,2
"103",12066906,"Ortrand",6189,0.786781,3,6,2
