"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",12051,"Brandenburg an der Havel, Stadt",71032,0.929255,4,8,2
"2",12052,"Cottbus, Stadt",99491,0.804197,1,2,1
"3",12053,"Frankfurt (Oder), Stadt",57649,0.878139,3,6,2
"4",12054,"Potsdam, Stadt",164042,0.589474,1,1,1
"5",12060,"Barnim",174981,0.8361,2,4,2
"6",12061,"Dahme-Spreewald",161952,0.745918,1,2,1
"7",12062,"Elbe-Elster",104997,0.9571,5,9,3
"8",12063,"Havelland",155408,0.878371,4,7,2
"9",12064,"Märkisch-Oderland",188422,0.862859,3,5,2
"10",12065,"Oberhavel",204898,0.808254,2,3,2
"11",12066,"Oberspreewald-Lausitz",112896,0.924771,4,7,2
"12",12067,"Oder-Spree",177823,0.866425,3,6,2
"13",12068,"Ostprignitz-Ruppin",98886,0.979247,5,9,3
"14",12069,"Potsdam-Mittelmark",207498,0.672756,1,1,1
"15",12070,"Prignitz",77550,0.999363,5,10,3
"16",12071,"Spree-Neiße",118030,0.852154,3,5,2
"17",12072,"Teltow-Fläming",161488,0.815886,2,4,2
"18",12073,"Uckermark",120829,0.994881,5,10,3
