"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",6411000,"Darmstadt, Wissenschaftsstadt",151879,0.293996,1,1,1
"2",6412000,"Frankfurt am Main, Stadt",717624,0.38865,1,1,1
"3",6413000,"Offenbach am Main, Stadt",120988,0.812256,5,10,3
"4",6414000,"Wiesbaden, Landeshauptstadt",275116,0.513724,3,5,2
"5",6431001,"Abtsteinach",2370,0.412484,1,1,1
"6",6431002,"Bensheim, Stadt",39551,0.467542,2,3,2
"7",6431003,"Biblis",8850,0.456877,2,3,2
"8",6431004,"Birkenau",9946,0.44578,1,2,1
"9",6431005,"Bürstadt, Stadt",15802,0.468826,2,3,2
"10",6431006,"Einhausen",6232,0.434554,1,2,1
"11",6431007,"Fürth",10401,0.471225,2,3,2
"12",6431008,"Gorxheimertal",4049,0.439364,1,2,1
"13",6431009,"Grasellenbach",3932,0.475706,2,3,2
"14",6431010,"Groß-Rohrheim",3773,0.454844,2,3,2
"15",6431011,"Heppenheim (Bergstraße), Kreisstadt",25001,0.45992,2,3,2
"16",6431012,"Hirschhorn (Neckar), Stadt",3452,0.472067,2,3,2
"17",6431013,"Lampertheim, Stadt",31851,0.477651,2,4,2
"18",6431014,"Lautertal (Odenwald)",7193,0.444786,1,2,1
"19",6431015,"Lindenfels, Stadt",5050,0.480162,2,4,2
"20",6431016,"Lorsch, Karolingerstadt",13413,0.451247,2,3,2
"21",6431017,"Mörlenbach",9885,0.466414,2,3,2
"22",6431018,"Neckarsteinach, Stadt",3870,0.466093,2,3,2
"23",6431019,"Rimbach",8478,0.47023,2,3,2
"24",6431020,"Viernheim, Stadt",33276,0.479747,2,4,2
"25",6431021,"Wald-Michelbach",10569,0.48383,2,4,2
"26",6431022,"Zwingenberg, Stadt",6878,0.43793,1,2,1
"27",6432001,"Alsbach-Hähnlein",9203,0.422632,1,2,1
"28",6432002,"Babenhausen, Stadt",15716,0.463982,2,3,2
"29",6432003,"Bickenbach",5650,0.425159,1,2,1
"30",6432004,"Dieburg, Stadt",15192,0.461051,2,3,2
"31",6432005,"Eppertshausen",6137,0.453567,2,3,2
"32",6432006,"Erzhausen",7735,0.408959,1,1,1
"33",6432007,"Fischbachtal",2590,0.447628,2,3,2
"34",6432008,"Griesheim, Stadt",26483,0.42426,1,2,1
"35",6432009,"Groß-Bieberau, Stadt",4665,0.430509,1,2,1
"36",6432010,"Groß-Umstadt, Stadt",20613,0.458912,2,3,2
"37",6432011,"Groß-Zimmern",13892,0.476359,2,4,2
"38",6432012,"Messel",3843,0.42535,1,2,1
"39",6432013,"Modautal",5034,0.44178,1,2,1
"40",6432014,"Mühltal",13433,0.427548,1,2,1
"41",6432015,"Münster",14069,0.461434,2,3,2
"42",6432016,"Ober-Ramstadt, Stadt",14848,0.450339,2,3,2
"43",6432017,"Otzberg",6342,0.435621,1,2,1
"44",6432018,"Pfungstadt, Stadt",24281,0.445024,1,2,1
"45",6432019,"Reinheim, Stadt",16246,0.447243,2,3,2
"46",6432020,"Roßdorf",12152,0.429364,1,2,1
"47",6432021,"Schaafheim",9119,0.463461,2,3,2
"48",6432022,"Seeheim-Jugenheim",15961,0.430988,1,2,1
"49",6432023,"Weiterstadt, Stadt",24762,0.419018,1,2,1
"50",6433001,"Biebesheim am Rhein",6339,0.447135,2,3,2
"51",6433002,"Bischofsheim",12883,0.430931,1,2,1
"52",6433003,"Büttelborn",14199,0.401781,1,1,1
"53",6433004,"Gernsheim, Schöfferstadt",9923,0.452758,2,3,2
"54",6433005,"Ginsheim-Gustavsburg, Stadt",16026,0.434135,1,2,1
"55",6433006,"Groß-Gerau, Stadt",24311,0.440855,1,2,1
"56",6433007,"Kelsterbach, Stadt",14981,0.430799,1,2,1
"57",6433008,"Mörfelden-Walldorf, Stadt",33159,0.439808,1,2,1
"58",6433009,"Nauheim",10282,0.412078,1,1,1
"59",6433010,"Raunheim, Stadt",15270,0.463609,2,3,2
"60",6433011,"Riedstadt, Stadt",22530,0.428335,1,2,1
"61",6433012,"Rüsselsheim, Stadt",61967,0.463076,2,3,2
"62",6433013,"Stockstadt am Rhein",5853,0.451082,2,3,2
"63",6433014,"Trebur",13070,0.39374,1,1,1
"64",6434001,"Bad Homburg v. d. Höhe, Stadt",52752,0.160571,1,1,1
"65",6434002,"Friedrichsdorf, Stadt",24808,0.154183,1,1,1
"66",6434003,"Glashütten",5380,0.145396,1,1,1
"67",6434004,"Grävenwiesbach",5228,0.189893,1,1,1
"68",6434005,"Königstein im Taunus, Stadt",16115,0.143066,1,1,1
"69",6434006,"Kronberg im Taunus, Stadt",18170,0.128957,1,1,1
"70",6434007,"Neu-Anspach, Stadt",14505,0.148064,1,1,1
"71",6434008,"Oberursel (Taunus), Stadt",45248,0.144891,1,1,1
"72",6434009,"Schmitten",8924,0.156831,1,1,1
"73",6434010,"Steinbach (Taunus), Stadt",10357,0.166327,1,1,1
"74",6434011,"Usingen, Stadt",13817,0.185163,1,1,1
"75",6434012,"Wehrheim",9256,0.151066,1,1,1
"76",6434013,"Weilrod",6238,0.175304,1,1,1
"77",6435001,"Bad Orb, Stadt",9531,0.590199,4,8,2
"78",6435002,"Bad Soden-Salmünster, Stadt",13407,0.577936,4,8,2
"79",6435003,"Biebergemünd",8283,0.517321,3,5,2
"80",6435004,"Birstein",6242,0.526135,3,6,2
"81",6435005,"Brachttal",5101,0.530979,3,6,2
"82",6435006,"Bruchköbel, Stadt",20231,0.492252,2,4,2
"83",6435007,"Erlensee, Stadt",13749,0.545328,3,6,2
"84",6435008,"Flörsbachtal",2360,0.549553,4,7,2
"85",6435009,"Freigericht",14219,0.505763,3,5,2
"86",6435010,"Gelnhausen, Barbarossast., Krst.",22265,0.523898,3,5,2
"87",6435011,"Großkrotzenburg",7505,0.504678,2,4,2
"88",6435012,"Gründau",14470,0.516645,3,5,2
"89",6435013,"Hammersbach",4745,0.502596,2,4,2
"90",6435014,"Hanau, Brüder-Grimm-Stadt",90934,0.584631,4,8,2
"91",6435015,"Hasselroth",7241,0.501873,2,4,2
"92",6435016,"Jossgrund",3486,0.54059,3,6,2
"93",6435017,"Langenselbold, Stadt",13643,0.511226,3,5,2
"94",6435018,"Linsengericht",9914,0.503324,2,4,2
"95",6435019,"Maintal, Stadt",37680,0.519238,3,5,2
"96",6435020,"Neuberg",5227,0.504286,2,4,2
"97",6435021,"Nidderau, Stadt",19924,0.489617,2,4,2
"98",6435022,"Niederdorfelden",3821,0.496002,2,4,2
"99",6435023,"Rodenbach",11138,0.510739,3,5,2
