"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",6411000,"Darmstadt, Wissenschaftsstadt",151879,0.248903,1,1,1
"2",6412000,"Frankfurt am Main, Stadt",717624,0.33382,1,1,1
"3",6413000,"Offenbach am Main, Stadt",120988,0.752843,5,10,3
"4",6414000,"Wiesbaden, Landeshauptstadt",275116,0.468498,2,4,2
"5",6431001,"Abtsteinach",2370,0.345747,1,1,1
"6",6431002,"Bensheim, Stadt",39551,0.419825,2,3,2
"7",6431003,"Biblis",8850,0.381647,1,2,1
"8",6431004,"Birkenau",9946,0.389513,1,2,1
"9",6431005,"Bürstadt, Stadt",15802,0.393147,1,2,1
"10",6431006,"Einhausen",6232,0.385723,1,2,1
"11",6431007,"Fürth",10401,0.437443,2,3,2
"12",6431008,"Gorxheimertal",4049,0.3777,1,1,1
"13",6431009,"Grasellenbach",3932,0.456983,2,4,2
"14",6431010,"Groß-Rohrheim",3773,0.393681,1,2,1
"15",6431011,"Heppenheim (Bergstraße), Kreisstadt",25001,0.411639,1,2,1
"16",6431012,"Hirschhorn (Neckar), Stadt",3452,0.434929,2,3,2
"17",6431013,"Lampertheim, Stadt",31851,0.39207,1,2,1
"18",6431014,"Lautertal (Odenwald)",7193,0.395952,1,2,1
"19",6431015,"Lindenfels, Stadt",5050,0.42865,2,3,2
"20",6431016,"Lorsch, Karolingerstadt",13413,0.406601,1,2,1
"21",6431017,"Mörlenbach",9885,0.418866,2,3,2
"22",6431018,"Neckarsteinach, Stadt",3870,0.412977,2,3,2
"23",6431019,"Rimbach",8478,0.424462,2,3,2
"24",6431020,"Viernheim, Stadt",33276,0.433326,2,3,2
"25",6431021,"Wald-Michelbach",10569,0.448142,2,3,2
"26",6431022,"Zwingenberg, Stadt",6878,0.38746,1,2,1
"27",6432001,"Alsbach-Hähnlein",9203,0.3908,1,2,1
"28",6432002,"Babenhausen, Stadt",15716,0.410101,1,2,1
"29",6432003,"Bickenbach",5650,0.398151,1,2,1
"30",6432004,"Dieburg, Stadt",15192,0.420079,2,3,2
"31",6432005,"Eppertshausen",6137,0.396352,1,2,1
"32",6432006,"Erzhausen",7735,0.381475,1,2,1
"33",6432007,"Fischbachtal",2590,0.427608,2,3,2
"34",6432008,"Griesheim, Stadt",26483,0.39713,1,2,1
"35",6432009,"Groß-Bieberau, Stadt",4665,0.418682,2,3,2
"36",6432010,"Groß-Umstadt, Stadt",20613,0.413125,2,3,2
"37",6432011,"Groß-Zimmern",13892,0.43566,2,3,2
"38",6432012,"Messel",3843,0.384398,1,2,1
"39",6432013,"Modautal",5034,0.402428,1,2,1
"40",6432014,"Mühltal",13433,0.397826,1,2,1
"41",6432015,"Münster",14069,0.41757,2,3,2
"42",6432016,"Ober-Ramstadt, Stadt",14848,0.42179,2,3,2
"43",6432017,"Otzberg",6342,0.411967,1,2,1
"44",6432018,"Pfungstadt, Stadt",24281,0.414962,2,3,2
"45",6432019,"Reinheim, Stadt",16246,0.409855,1,2,1
"46",6432020,"Roßdorf",12152,0.397611,1,2,1
"47",6432021,"Schaafheim",9119,0.425206,2,3,2
"48",6432022,"Seeheim-Jugenheim",15961,0.381749,1,2,1
"49",6432023,"Weiterstadt, Stadt",24762,0.38277,1,2,1
"50",6433001,"Biebesheim am Rhein",6339,0.456673,2,4,2
"51",6433002,"Bischofsheim",12883,0.430219,2,3,2
"52",6433003,"Büttelborn",14199,0.408319,1,2,1
"53",6433004,"Gernsheim, Schöfferstadt",9923,0.461374,2,4,2
"54",6433005,"Ginsheim-Gustavsburg, Stadt",16026,0.437279,2,3,2
"55",6433006,"Groß-Gerau, Stadt",24311,0.467234,2,4,2
"56",6433007,"Kelsterbach, Stadt",14981,0.436814,2,3,2
"57",6433008,"Mörfelden-Walldorf, Stadt",33159,0.439539,2,3,2
"58",6433009,"Nauheim",10282,0.398026,1,2,1
"59",6433010,"Raunheim, Stadt",15270,0.475636,3,5,2
"60",6433011,"Riedstadt, Stadt",22530,0.439419,2,3,2
"61",6433012,"Rüsselsheim, Stadt",61967,0.464536,2,4,2
"62",6433013,"Stockstadt am Rhein",5853,0.469735,2,4,2
"63",6433014,"Trebur",13070,0.400517,1,2,1
"64",6434001,"Bad Homburg v. d. Höhe, Stadt",52752,0.103303,1,1,1
"65",6434002,"Friedrichsdorf, Stadt",24808,0.106665,1,1,1
"66",6434003,"Glashütten",5380,0.088337,1,1,1
"67",6434004,"Grävenwiesbach",5228,0.139461,1,1,1
"68",6434005,"Königstein im Taunus, Stadt",16115,0.085987,1,1,1
"69",6434006,"Kronberg im Taunus, Stadt",18170,0.062104,1,1,1
"70",6434007,"Neu-Anspach, Stadt",14505,0.109426,1,1,1
"71",6434008,"Oberursel (Taunus), Stadt",45248,0.091423,1,1,1
"72",6434009,"Schmitten",8924,0.11141,1,1,1
"73",6434010,"Steinbach (Taunus), Stadt",10357,0.109189,1,1,1
"74",6434011,"Usingen, Stadt",13817,0.137325,1,1,1
"75",6434012,"Wehrheim",9256,0.105622,1,1,1
"76",6434013,"Weilrod",6238,0.139478,1,1,1
"77",6435001,"Bad Orb, Stadt",9531,0.574039,5,9,3
"78",6435002,"Bad Soden-Salmünster, Stadt",13407,0.550685,4,8,2
"79",6435003,"Biebergemünd",8283,0.508655,3,6,2
"80",6435004,"Birstein",6242,0.510276,3,6,2
"81",6435005,"Brachttal",5101,0.512388,3,6,2
"82",6435006,"Bruchköbel, Stadt",20231,0.450186,2,3,2
"83",6435007,"Erlensee, Stadt",13749,0.506518,3,6,2
"84",6435008,"Flörsbachtal",2360,0.533172,4,7,2
"85",6435009,"Freigericht",14219,0.487929,3,5,2
