"","Kreiskennziffer","Name des Kreises","Bevˆlkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",6411,"Darmstadt, Wissenschaftsstadt",151879,0.27693,1,2,1
"2",6412,"Frankfurt am Main, Stadt",717624,0.376384,1,2,1
"3",6413,"Offenbach am Main, Stadt",120988,0.821473,5,10,3
"4",6414,"Wiesbaden, Landeshauptstadt",275116,0.507801,3,5,2
"5",6431,"Bergstraﬂe",263822,0.45725,2,4,2
"6",6432,"Darmstadt-Dieburg",287966,0.432613,2,3,2
"7",6433,"Groﬂ-Gerau",260793,0.430321,2,3,2
"8",6434,"Hochtaunuskreis",230798,0.130072,1,1,1
"9",6435,"Main-Kinzig-Kreis",407619,0.532578,3,6,2
"10",6436,"Main-Taunus-Kreis",229976,0.175053,1,1,1
"11",6437,"Odenwaldkreis",96082,0.593753,4,8,2
"12",6438,"Offenbach",341669,0.411933,1,2,1
"13",6439,"Rheingau-Taunus-Kreis",182117,0.415709,2,3,2
"14",6440,"Wetteraukreis",297369,0.475257,2,4,2
"15",6531,"Gieﬂen",259834,0.552518,3,6,2
"16",6532,"Lahn-Dill-Kreis",251440,0.555539,4,7,2
"17",6533,"Limburg-Weilburg",170385,0.598595,4,8,2
"18",6534,"Marburg-Biedenkopf",241598,0.501587,3,5,2
"19",6535,"Vogelsbergkreis",105763,0.648519,5,9,3
"20",6611,"Kassel, documenta-Stadt",194747,0.739698,5,10,3
"21",6631,"Fulda",217326,0.54797,3,6,2
"22",6632,"Hersfeld-Rotenburg",119394,0.582596,4,7,2
"23",6633,"Kassel",233451,0.527769,3,5,2
"24",6634,"Schwalm-Eder-Kreis",179466,0.607788,4,8,2
"25",6635,"Waldeck-Frankenberg",156460,0.664067,5,9,3
"26",6636,"Werra-Meiﬂner-Kreis",100206,0.707355,5,10,3
