"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",13003000,"Rostock, Hansestadt",204167,0.759849,1,1,1
"2",13004000,"Schwerin, Landeshauptstadt",92138,0.875416,3,5,2
"3",13071027,"Dargun, Stadt",4433,0.911396,4,8,2
"4",13071029,"Demmin, Hansestadt",11342,0.971239,5,10,3
"5",13071033,"Feldberger Seenlandschaft",4399,0.908236,4,8,2
"6",13071107,"Neubrandenburg, Stadt",63311,0.885031,3,6,2
"7",13071110,"Neustrelitz, Stadt",20476,0.917106,4,8,2
"8",13071156,"Waren (Müritz), Stadt",21042,0.872275,3,5,2
"9",13071951,"Demmin-Land",7216,0.945128,5,10,3
"10",13071952,"Friedland",8921,0.961899,5,10,3
"11",13071953,"Malchin am Kummerower See",12685,0.923985,5,9,3
"12",13071954,"Malchow",10769,0.887835,3,6,2
"13",13071955,"Mecklenburgische Kleinseenplatte",8061,0.903902,4,8,2
"14",13071956,"Neustrelitz-Land",7453,0.891642,4,7,2
"15",13071957,"Neverin",8643,0.823538,1,2,1
"16",13071958,"Penzliner Land",6857,0.898982,4,7,2
"17",13071959,"Röbel-Müritz",14611,0.880876,3,6,2
"18",13071960,"Seenlandschaft Waren",9365,0.879797,3,6,2
"19",13071961,"Stargarder Land",9721,0.850873,2,3,2
"20",13071962,"Stavenhagen",11551,0.918842,5,9,3
"21",13071963,"Treptower Tollensewinkel",14099,0.915064,4,8,2
"22",13071964,"Woldegk",6778,0.940268,5,10,3
"23",13072006,"Bad Doberan, Stadt",11785,0.862846,2,4,2
"24",13072029,"Dummerstorf",7202,0.806749,1,1,1
"25",13072036,"Graal-Müritz",4152,0.814137,1,2,1
"26",13072043,"Güstrow, Stadt",28791,0.894621,4,7,2
"27",13072058,"Kröpelin, Stadt",4709,0.890152,4,7,2
"28",13072060,"Kühlungsborn, Stadt",7825,0.839966,1,2,1
"29",13072074,"Neubukow, Stadt",3876,0.924316,5,9,3
"30",13072091,"Sanitz",5715,0.814484,1,2,1
"31",13072093,"Satow",5506,0.816151,1,2,1
"32",13072106,"Teterow, Stadt",8642,0.876508,3,5,2
"33",13072951,"Bad Doberan-Land",11690,0.792293,1,1,1
"34",13072952,"Bützow-Land",16151,0.884073,3,6,2
"35",13072953,"Carbäk",8460,0.766929,1,1,1
"36",13072954,"Gnoien",5976,0.920826,5,9,3
"37",13072955,"Güstrow-Land",9514,0.833932,1,2,1
"38",13072956,"Krakow am See",8903,0.872908,3,5,2
"39",13072957,"Laage",8828,0.856946,2,3,2
"40",13072958,"Mecklenburgische Schweiz",8206,0.876046,3,5,2
"41",13072959,"Neubukow-Salzhaff",6576,0.881919,3,6,2
"42",13072960,"Rostocker Heide",8851,0.813247,1,1,1
"43",13072961,"Schwaan",7543,0.842192,2,3,2
"44",13072962,"Tessin",6573,0.864961,2,4,2
"45",13072963,"Warnow-West",16404,0.777707,1,1,1
"46",13073011,"Binz",5172,0.848298,2,3,2
"47",13073035,"Grimmen, Stadt",9960,0.938539,5,10,3
"48",13073055,"Marlow, Stadt",4633,0.857451,2,4,2
"49",13073070,"Putbus, Stadt",4330,0.870558,3,5,2
