"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",3101000,"Braunschweig, Stadt",248502,0.467803,1,1,1
"2",3102000,"Salzgitter, Stadt",98966,0.711224,4,7,2
"3",3103000,"Wolfsburg, Stadt",123027,0.321275,1,1,1
"4",3151009,"Gifhorn, Stadt",41617,0.642853,3,5,2
"5",3151025,"Sassenburg",11208,0.57981,1,2,1
"6",3151040,"Wittingen, Stadt",11501,0.592896,1,2,1
"7",3151901,"Boldecker Land",9817,0.536228,1,1,1
"8",3151902,"Brome",15598,0.557883,1,2,1
"9",3151903,"Hankensbüttel",9020,0.615941,2,3,2
"10",3151904,"Isenbüttel",15363,0.553616,1,1,1
"11",3151905,"Meinersen",20370,0.606488,2,3,2
"12",3151906,"Papenteich",23782,0.552277,1,1,1
"13",3151907,"Wesendorf",14265,0.626849,2,4,2
"14",3152001,"Adelebsen, Flecken",6499,0.543563,1,1,1
"15",3152004,"Bovenden, Flecken",13403,0.544928,1,1,1
"16",3152007,"Duderstadt, Stadt",20702,0.588648,1,2,1
"17",3152009,"Friedland",9198,0.605469,2,3,2
"18",3152011,"Gleichen",9029,0.539877,1,1,1
"19",3152012,"Göttingen, Stadt",117665,0.619803,2,4,2
"20",3152016,"Hann. Münden, Stadt",23711,0.598349,2,3,2
"21",3152021,"Rosdorf",11806,0.555427,1,2,1
"22",3152026,"Staufenberg",7861,0.539403,1,1,1
"23",3152901,"Dransfeld",9325,0.52561,1,1,1
"24",3152902,"Gieboldehausen",13844,0.564878,1,2,1
"25",3152903,"Radolfshausen",7177,0.542732,1,1,1
"26",3153002,"Bad Harzburg, Stadt",21619,0.768164,5,9,3
"27",3153007,"Langelsheim, Stadt",11786,0.722224,4,7,2
"28",3153008,"Liebenburg",8147,0.680031,3,6,2
"29",3153012,"Seesen, Stadt",19337,0.737,4,8,2
"30",3153016,"Braunlage, Stadt",5985,0.762905,5,9,3
"31",3153017,"Goslar, Stadt",50457,0.754726,4,8,2
"32",3153901,"Lutter am Barenberge",4068,0.69318,3,6,2
"33",3153902,"Oberharz",15857,0.759154,5,9,3
"34",3154003,"Büddenstedt",2486,0.703423,4,7,2
"35",3154010,"Helmstedt, Stadt",23129,0.738498,4,8,2
"36",3154013,"Königslutter am Elm, Stadt",15819,0.659425,3,5,2
"37",3154014,"Lehre",11655,0.619028,2,4,2
"38",3154019,"Schöningen, Stadt",11327,0.734702,4,8,2
"39",3154901,"Grasleben",4477,0.676379,3,6,2
"40",3154902,"Heeseberg",3933,0.707977,4,7,2
"41",3154903,"Nord-Elm",5616,0.67698,3,6,2
"42",3154904,"Velpke",12466,0.618398,2,3,2
"43",3155001,"Bad Gandersheim, Stadt",9785,0.727636,4,7,2
"44",3155002,"Bodenfelde, Flecken",3158,0.771129,5,9,3
"45",3155003,"Dassel, Stadt",9860,0.72899,4,7,2
"46",3155005,"Hardegsen, Stadt",7807,0.708465,4,7,2
"47",3155006,"Kalefeld",6586,0.705063,4,7,2
"48",3155007,"Katlenburg-Lindau",7169,0.688393,3,6,2
"49",3155009,"Moringen, Stadt",6979,0.729593,4,7,2
"50",3155010,"Nörten-Hardenberg, Flecken",8056,0.699109,4,7,2
"51",3155011,"Northeim, Stadt",28833,0.748095,4,8,2
"52",3155012,"Uslar, Stadt",14318,0.752275,4,8,2
"53",3155013,"Einbeck, Stadt",31354,0.75104,4,8,2
"54",3156002,"Bad Lauterberg im Harz, Stadt",10506,0.77735,5,9,3
"55",3156003,"Bad Sachsa, Stadt",7431,0.832806,5,10,3
"56",3156009,"Herzberg am Harz, Stadt",13079,0.782413,5,9,3
"57",3156011,"Osterode am Harz, Stadt",22130,0.766801,5,9,3
"58",3156017,"Bad Grund (Harz)",8666,0.767454,5,9,3
"59",3156902,"Hattorf am Harz",7402,0.736019,4,8,2
"60",3156903,"Walkenried",4579,0.810326,5,10,3
"61",3157001,"Edemissen",12320,0.63285,2,4,2
"62",3157002,"Hohenhameln",9047,0.636129,2,4,2
"63",3157003,"Ilsede",11400,0.637898,2,4,2
"64",3157004,"Lahstedt",9908,0.636635,2,4,2
"65",3157005,"Lengede",12749,0.613036,2,3,2
"66",3157006,"Peine, Stadt",48553,0.670653,3,5,2
"67",3157007,"Vechelde",16426,0.608139,2,3,2
"68",3157008,"Wendeburg",10198,0.607804,2,3,2
"69",3158006,"Cremlingen",13047,0.585511,1,2,1
"70",3158037,"Wolfenbüttel, Stadt",51670,0.641275,3,5,2
"71",3158039,"Schladen-Werla",8898,0.647848,3,5,2
"72",3158901,"Asse",9341,0.60656,2,3,2
