"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",3101,"Braunschweig, Stadt",248502,0.453365,1,1,1
"2",3102,"Salzgitter, Stadt",98966,0.676436,3,5,2
"3",3103,"Wolfsburg, Stadt",123027,0.31448,1,1,1
"4",3151,"Gifhorn",172541,0.572081,1,2,1
"5",3152,"Göttingen",250220,0.572828,1,2,1
"6",3153,"Goslar",137256,0.769835,4,7,2
"7",3154,"Helmstedt",90908,0.659722,2,4,2
"8",3155,"Northeim",133905,0.744863,3,6,2
"9",3156,"Osterode am Harz",73793,0.781779,4,8,2
"10",3157,"Peine",130601,0.677375,3,5,2
"11",3158,"Wolfenbüttel",120035,0.598139,1,2,1
"12",3241,"Region Hannover",1128037,0.571199,1,2,1
"13",3251,"Diepholz",211093,0.617434,2,3,2
"14",3252,"Hameln-Pyrmont",147813,0.758448,4,7,2
"15",3254,"Hildesheim",274554,0.670849,2,4,2
"16",3255,"Holzminden",71438,0.746953,3,6,2
"17",3256,"Nienburg (Weser)",119631,0.751934,4,7,2
"18",3257,"Schaumburg",155847,0.725515,3,6,2
"19",3351,"Celle",176157,0.77487,4,7,2
"20",3352,"Cuxhaven",196787,0.802771,4,8,2
"21",3353,"Harburg",245199,0.507286,1,1,1
"22",3354,"Lüchow-Dannenberg",48728,0.911631,5,10,3
"23",3355,"Lüneburg",178122,0.624283,2,3,2
"24",3356,"Osterholz",111484,0.601827,2,3,2
"25",3357,"Rotenburg (Wümme)",161842,0.74797,3,6,2
"26",3358,"Heidekreis",136200,0.780703,4,8,2
"27",3359,"Stade",197448,0.617258,2,3,2
"28",3360,"Uelzen",92533,0.827286,5,9,3
"29",3361,"Verden",133215,0.595897,1,2,1
"30",3401,"Delmenhorst, Stadt",74804,0.931001,5,10,3
"31",3402,"Emden, Stadt",50016,0.805052,5,9,3
"32",3403,"Oldenburg (Oldenburg), Stadt",160907,0.624255,2,3,2
"33",3404,"Osnabrück, Stadt",156897,0.551134,1,1,1
"34",3405,"Wilhelmshaven, Stadt",75534,0.899019,5,10,3
"35",3451,"Ammerland",119917,0.697106,3,5,2
"36",3452,"Aurich",187998,0.904332,5,10,3
"37",3453,"Cloppenburg",162350,0.813869,5,9,3
"38",3454,"Emsland",315757,0.695859,3,5,2
"39",3455,"Friesland",96937,0.803895,4,8,2
"40",3456,"Grafschaft Bentheim",134329,0.790351,4,8,2
"41",3457,"Leer",165809,0.880401,5,9,3
"42",3458,"Oldenburg",126798,0.661602,2,4,2
"43",3459,"Osnabrück",351316,0.638883,2,4,2
"44",3460,"Vechta",136184,0.676284,3,5,2
"45",3461,"Wesermarsch",88765,0.700417,3,6,2
"46",3462,"Wittmund",56539,0.899545,5,10,3
