"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",5111000,"Düsseldorf, Stadt",604527,0.360597,1,1,1
"2",5112000,"Duisburg, Stadt",485465,0.787103,5,10,3
"3",5113000,"Essen, Stadt",573784,0.614618,3,6,2
"4",5114000,"Krefeld, Stadt",222500,0.642178,4,8,2
"5",5116000,"Mönchengladbach, Stadt",256853,0.756921,5,10,3
"6",5117000,"Mülheim an der Ruhr, Stadt",167108,0.485947,1,1,1
"7",5119000,"Oberhausen, Stadt",209292,0.756,5,10,3
"8",5120000,"Remscheid, Stadt",109009,0.632902,4,8,2
"9",5122000,"Solingen, Klingenstadt",156771,0.642385,4,8,2
"10",5124000,"Wuppertal, Stadt",345425,0.717349,5,10,3
"11",5154004,"Bedburg-Hau",12792,0.688914,5,9,3
"12",5154008,"Emmerich am Rhein, Stadt",30279,0.765017,5,10,3
"13",5154012,"Geldern, Stadt",33191,0.702193,5,10,3
"14",5154016,"Goch, Stadt",33401,0.728397,5,10,3
"15",5154020,"Issum",11916,0.679784,5,9,3
"16",5154024,"Kalkar, Stadt",13685,0.71821,5,10,3
"17",5154028,"Kerken",12489,0.666149,5,9,3
"18",5154032,"Kevelaer, Stadt",27870,0.717742,5,10,3
"19",5154036,"Kleve, Stadt",48802,0.754044,5,10,3
"20",5154040,"Kranenburg",10340,0.76875,5,10,3
"21",5154044,"Rees, Stadt",21244,0.720642,5,10,3
"22",5154048,"Rheurdt",6667,0.675334,5,9,3
"23",5154052,"Straelen, Stadt",15741,0.691318,5,9,3
"24",5154056,"Uedem",8120,0.710658,5,10,3
"25",5154060,"Wachtendonk",8026,0.670441,5,9,3
"26",5154064,"Weeze",10400,0.764155,5,10,3
"27",5158004,"Erkrath, Fundort des Neanderthalers, Stadt",43700,0.458186,1,1,1
"28",5158008,"Haan, Stadt",30166,0.440854,1,1,1
"29",5158012,"Heiligenhaus, Stadt",25474,0.468127,1,1,1
"30",5158016,"Hilden, Stadt",54894,0.434558,1,1,1
"31",5158020,"Langenfeld (Rheinland), Stadt",57083,0.42349,1,1,1
"32",5158024,"Mettmann, Stadt",37836,0.450281,1,1,1
"33",5158026,"Monheim am Rhein, Stadt",40403,0.473308,1,1,1
"34",5158028,"Ratingen, Stadt",86636,0.422822,1,1,1
"35",5158032,"Velbert, Stadt",80572,0.476443,1,1,1
"36",5158036,"Wülfrath, Stadt",20996,0.455713,1,1,1
"37",5162004,"Dormagen, Stadt",62773,0.460178,1,1,1
"38",5162008,"Grevenbroich, Stadt",62124,0.473282,1,1,1
"39",5162012,"Jüchen",22855,0.472382,1,1,1
"40",5162016,"Kaarst, Stadt",42504,0.43959,1,1,1
"41",5162020,"Korschenbroich, Stadt",32306,0.416757,1,1,1
"42",5162022,"Meerbusch, Stadt",54599,0.421656,1,1,1
"43",5162024,"Neuss, Stadt",152644,0.486133,1,1,1
"44",5162028,"Rommerskirchen",12717,0.44346,1,1,1
"45",5166004,"Brüggen, Burggemeinde",15443,0.600336,3,6,2
"46",5166008,"Grefrath, Sport- und Freizeitgemeinde",14703,0.576694,2,4,2
"47",5166012,"Kempen, Stadt",34630,0.575234,2,4,2
"48",5166016,"Nettetal, Stadt",41605,0.621326,4,7,2
"49",5166020,"Niederkrüchten",14961,0.590739,3,5,2
"50",5166024,"Schwalmtal",18922,0.591686,3,5,2
"51",5166028,"Tönisvorst, Stadt",29093,0.561133,2,4,2
"52",5166032,"Viersen, Stadt",75058,0.635133,4,8,2
"53",5166036,"Willich, Stadt",50652,0.560629,2,4,2
"54",5170004,"Alpen",12622,0.576716,2,4,2
"55",5170008,"Dinslaken, Stadt",67065,0.618516,4,7,2
"56",5170012,"Hamminkeln, Stadt",26590,0.604404,3,6,2
"57",5170016,"Hünxe",13516,0.580762,3,5,2
"58",5170020,"Kamp-Lintfort, Stadt",37118,0.667597,5,9,3
"59",5170024,"Moers, Stadt",102923,0.635016,4,8,2
"60",5170028,"Neukirchen-Vluyn, Stadt",26881,0.614547,3,6,2
"61",5170032,"Rheinberg, Stadt",30728,0.582065,3,5,2
"62",5170036,"Schermbeck",13500,0.591462,3,5,2
"63",5170040,"Sonsbeck",8665,0.61844,4,7,2
"64",5170044,"Voerde (Niederrhein), Stadt",36267,0.627936,4,7,2
"65",5170048,"Wesel, Stadt",60088,0.649631,5,9,3
"66",5170052,"Xanten, Stadt",21281,0.61555,4,7,2
"67",5314000,"Bonn, Stadt",313958,0.290957,1,1,1
"68",5315000,"Köln, Stadt",1046680,0.464359,1,1,1
"69",5316000,"Leverkusen, Stadt",161540,0.528911,1,2,1
"70",5334002,"Aachen, Stadt",243336,0.563136,2,4,2
"71",5334004,"Alsdorf, Stadt",46337,0.586292,3,5,2
"72",5334008,"Baesweiler, Stadt",26597,0.559827,2,3,2
"73",5334012,"Eschweiler, Stadt",55171,0.560224,2,3,2
"74",5334016,"Herzogenrath, Stadt",46398,0.534193,1,2,1
"75",5334020,"Monschau, Stadt",11841,0.509996,1,2,1
"76",5334024,"Roetgen, Tor zur Eifel",8268,0.473292,1,1,1
"77",5334028,"Simmerath",15094,0.503417,1,2,1
"78",5334032,"Stolberg (Rhld.), Kupferstadt",56414,0.564731,2,4,2
"79",5334036,"Würselen, Stadt",38205,0.512624,1,2,1
"80",5358004,"Aldenhoven",13672,0.67506,5,9,3
"81",5358008,"Düren, Stadt",89024,0.71222,5,10,3
"82",5358012,"Heimbach, Stadt",4322,0.658951,5,9,3
"83",5358016,"Hürtgenwald",8608,0.607298,3,6,2
"84",5358020,"Inden",7151,0.61655,4,7,2
"85",5358024,"Jülich, Stadt",32247,0.640267,4,8,2
"86",5358028,"Kreuzau",17192,0.625235,4,7,2
"87",5358032,"Langerwehe",13544,0.6136,3,6,2
"88",5358036,"Linnich, Stadt",12364,0.638763,4,8,2
"89",5358040,"Merzenich",9846,0.625556,4,7,2
"90",5358044,"Nideggen, Stadt",9718,0.627062,4,7,2
"91",5358048,"Niederzier",13768,0.63057,4,8,2
"92",5358052,"Nörvenich",10366,0.622693,4,7,2
"93",5358056,"Titz",8231,0.61485,3,6,2
"94",5358060,"Vettweiß",9020,0.626604,4,7,2
"95",5362004,"Bedburg, Stadt",23037,0.552456,2,3,2
"96",5362008,"Bergheim, Stadt",59656,0.590616,3,5,2
"97",5362012,"Brühl, Stadt",43995,0.549322,2,3,2
"98",5362016,"Elsdorf, Stadt",21083,0.564976,2,4,2
"99",5362020,"Erftstadt, Stadt",49179,0.53449,1,2,1
"100",5362024,"Frechen, Stadt",51510,0.538289,2,3,2
"101",5362028,"Hürth, Stadt",57925,0.525143,1,2,1
"102",5362032,"Kerpen, Kolpingstadt",64171,0.563454,2,4,2
"103",5362036,"Pulheim, Stadt",53345,0.497944,1,2,1
"104",5362040,"Wesseling, Stadt",35547,0.572785,2,4,2
"105",5366004,"Bad Münstereifel, Stadt",17083,0.635673,4,8,2
"106",5366008,"Blankenheim",8336,0.681277,5,9,3
"107",5366012,"Dahlem",4198,0.661845,5,9,3
"108",5366016,"Euskirchen, Stadt",56077,0.672857,5,9,3
"109",5366020,"Hellenthal",7971,0.662644,5,9,3
"110",5366024,"Kall",11103,0.649104,5,9,3
"111",5366028,"Mechernich, Stadt",26882,0.652835,5,9,3
"112",5366032,"Nettersheim",7416,0.631054,4,8,2
"113",5366036,"Schleiden, Stadt",12869,0.65465,5,9,3
"114",5366040,"Weilerswist",16444,0.62262,4,7,2
"115",5366044,"Zülpich, Stadt",19779,0.642863,4,8,2
"116",5370004,"Erkelenz, Stadt",42917,0.690699,5,9,3
"117",5370008,"Gangelt",11741,0.73154,5,10,3
"118",5370012,"Geilenkirchen, Stadt",26765,0.727156,5,10,3
"119",5370016,"Heinsberg, Stadt",41138,0.743519,5,10,3
"120",5370020,"Hückelhoven, Stadt",38946,0.757666,5,10,3
"121",5370024,"Selfkant",9988,0.78857,5,10,3
"122",5370028,"Übach-Palenberg, Stadt",24025,0.771747,5,10,3
"123",5370032,"Waldfeucht",8747,0.730883,5,10,3
"124",5370036,"Wassenberg, Stadt",17375,0.730316,5,10,3
"125",5370040,"Wegberg, Stadt",27668,0.692454,5,10,3
"126",5374004,"Bergneustadt, Stadt",18865,0.629193,4,8,2
"127",5374008,"Engelskirchen",19242,0.566666,2,4,2
"128",5374012,"Gummersbach, Stadt",49734,0.60383,3,6,2
"129",5374016,"Hückeswagen, Schloss-Stadt",15029,0.569586,2,4,2
"130",5374020,"Lindlar",21222,0.557258,2,3,2
"131",5374024,"Marienheide",13502,0.573329,2,4,2
"132",5374028,"Morsbach",10262,0.59404,3,5,2
"133",5374032,"Nümbrecht",16748,0.579568,2,4,2
"134",5374036,"Radevormwald, Stadt auf der Höhe",22115,0.575843,2,4,2
"135",5374040,"Reichshof",18727,0.592047,3,5,2
"136",5374044,"Waldbröl, Stadt",18689,0.631027,4,8,2
"137",5374048,"Wiehl, Stadt",25149,0.54933,2,3,2
"138",5374052,"Wipperfürth, Hansestadt",21334,0.559379,2,3,2
"139",5378004,"Bergisch Gladbach, Stadt",109697,0.443437,1,1,1
"140",5378008,"Burscheid, Stadt",18166,0.422927,1,1,1
