"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",5111,"Düsseldorf, Stadt",604527,0.33706,1,1,1
"2",5112,"Duisburg, Stadt",485465,0.778318,5,10,3
"3",5113,"Essen, Stadt",573784,0.532528,2,4,2
"4",5114,"Krefeld, Stadt",222500,0.602963,4,8,2
"5",5116,"Mönchengladbach, Stadt",256853,0.66617,5,9,3
"6",5117,"Mülheim an der Ruhr, Stadt",167108,0.419154,1,2,1
"7",5119,"Oberhausen, Stadt",209292,0.716512,5,10,3
"8",5120,"Remscheid, Stadt",109009,0.593736,4,7,2
"9",5122,"Solingen, Klingenstadt",156771,0.603725,4,8,2
"10",5124,"Wuppertal, Stadt",345425,0.683763,5,9,3
"11",5154,"Kleve",304963,0.629169,4,8,2
"12",5158,"Mettmann",477760,0.351536,1,1,1
"13",5162,"Rhein-Kreis Neuss",442522,0.374136,1,2,1
"14",5166,"Viersen",295067,0.511788,2,4,2
"15",5170,"Wesel",457244,0.55357,3,6,2
"16",5314,"Bonn, Stadt",313958,0.235724,1,1,1
"17",5315,"Köln, Stadt",1046680,0.412297,1,2,1
"18",5316,"Leverkusen, Stadt",161540,0.38607,1,2,1
"19",5334,"Städteregion Aachen",547661,0.504285,2,4,2
"20",5358,"Düren",259073,0.580762,4,7,2
"21",5362,"Rhein-Erft-Kreis",459448,0.455419,2,3,2
"22",5366,"Euskirchen",188158,0.588671,4,7,2
"23",5370,"Heinsberg",249310,0.696459,5,9,3
"24",5374,"Oberbergischer Kreis",270618,0.547017,3,5,2
"25",5378,"Rheinisch-Bergischer Kreis",279497,0.331257,1,1,1
"26",5382,"Rhein-Sieg-Kreis",585781,0.450538,1,2,1
"27",5512,"Bottrop, Stadt",116017,0.621184,4,8,2
"28",5513,"Gelsenkirchen, Stadt",257651,0.870155,5,10,3
"29",5515,"Münster, Stadt",302178,0.278252,1,1,1
"30",5554,"Borken",365191,0.578426,3,6,2
"31",5558,"Coesfeld",215996,0.447327,1,2,1
"32",5562,"Recklinghausen",613092,0.648342,5,9,3
"33",5566,"Steinfurt",437127,0.551311,3,6,2
"34",5570,"Warendorf",273412,0.503434,2,4,2
"35",5711,"Bielefeld, Stadt",329782,0.541644,3,5,2
"36",5754,"Gütersloh",354463,0.459818,2,3,2
"37",5758,"Herford",249219,0.504135,2,4,2
"38",5762,"Höxter",142770,0.585661,4,7,2
"39",5766,"Lippe",345127,0.548966,3,5,2
"40",5770,"Minden-Lübbecke",309216,0.555547,3,6,2
"41",5774,"Paderborn",299071,0.532848,3,5,2
"42",5911,"Bochum, Stadt",361876,0.543137,3,5,2
"43",5913,"Dortmund, Stadt",580511,0.640685,5,9,3
"44",5914,"Hagen, Stadt der FernUniversität",186716,0.685295,5,9,3
"45",5915,"Hamm, Stadt",176580,0.725587,5,10,3
"46",5916,"Herne, Stadt",154608,0.77101,5,10,3
"47",5954,"Ennepe-Ruhr-Kreis",322916,0.462715,2,3,2
"48",5958,"Hochsauerlandkreis",261561,0.566842,3,6,2
"49",5962,"Märkischer Kreis",413820,0.592705,4,7,2
"50",5966,"Olpe",134759,0.499901,2,3,2
"51",5970,"Siegen-Wittgenstein",275909,0.472,2,3,2
"52",5974,"Soest",296742,0.550097,3,6,2
"53",5978,"Unna",391774,0.618109,4,8,2
