"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",7111000,"Koblenz, Stadt",111434,0.616709,2,4,2
"2",7131007,"Bad Neuenahr-Ahrweiler, Stadt",27135,0.593788,2,3,2
"3",7131070,"Remagen, Stadt",16103,0.598342,2,3,2
"4",7131077,"Sinzig, Stadt",17226,0.600268,2,3,2
"5",7131090,"Grafschaft",10857,0.557454,2,3,2
"6",7131901,"Adenau",13157,0.609408,2,4,2
"7",7131902,"Altenahr",10992,0.593465,2,3,2
"8",7131903,"Bad Breisig",12981,0.623375,2,4,2
"9",7131904,"Brohltal",18192,0.588832,2,3,2
"10",7132901,"Altenkirchen (Westerwald)",22454,0.732952,5,10,3
"11",7132902,"Betzdorf",15112,0.729449,5,10,3
"12",7132903,"Herdorf-Daaden",17715,0.683088,4,8,2
"13",7132904,"Flammersfeld",11912,0.717623,5,10,3
"14",7132905,"Gebhardshain",10810,0.696878,5,9,3
"15",7132906,"Hamm (Sieg)",12408,0.744118,5,10,3
"16",7132907,"Kirchen (Sieg)",23105,0.682031,4,8,2
"17",7132908,"Wissen",14712,0.724494,5,10,3
"18",7133006,"Bad Kreuznach, Stadt",48813,0.70122,5,9,3
"19",7133052,"Kirn, Stadt",8184,0.738999,5,10,3
"20",7133901,"Bad Kreuznach",9071,0.615548,2,4,2
"21",7133902,"Bad Münster am Stein-Ebernburg",7241,0.622024,2,4,2
"22",7133903,"Kirn-Land",9773,0.655373,3,6,2
"23",7133904,"Langenlonsheim",13485,0.623196,2,4,2
"24",7133905,"Meisenheim",7787,0.656576,3,6,2
"25",7133906,"Rüdesheim",24873,0.6185,2,4,2
"26",7133907,"Bad Sobernheim",17495,0.659263,3,6,2
"27",7133908,"Stromberg",9222,0.625494,2,4,2
"28",7134045,"Idar-Oberstein, Stadt",28148,0.742693,5,10,3
"29",7134901,"Baumholder",9417,0.719173,5,10,3
"30",7134902,"Birkenfeld",19917,0.733045,5,10,3
"31",7134903,"Herrstein",15898,0.693732,4,8,2
"32",7134904,"Rhaunen",7211,0.72346,5,10,3
"33",7135901,"Cochem",19845,0.697417,5,9,3
"34",7135902,"Kaisersesch",15534,0.674898,4,7,2
"35",7135903,"Ulmen",10923,0.686569,4,8,2
"36",7135905,"Zell (Mosel)",15739,0.679097,4,8,2
"37",7137003,"Andernach, Stadt",29202,0.670791,4,7,2
"38",7137068,"Mayen, Stadt",18626,0.698068,5,9,3
"39",7137203,"Bendorf, Stadt",16636,0.682769,4,8,2
"40",7137901,"Pellenz",16185,0.652664,3,6,2
"41",7137902,"Maifeld",24262,0.65602,3,6,2
"42",7137903,"Vordereifel",16360,0.665394,4,7,2
"43",7137904,"Mendig",13245,0.653069,3,6,2
"44",7137907,"Vallendar",15332,0.651641,3,6,2
"45",7137908,"Weißenthurm",33900,0.660448,3,6,2
"46",7137909,"Rhein-Mosel",26693,0.64288,3,5,2
"47",7138045,"Neuwied, Stadt",63769,0.701806,5,9,3
"48",7138901,"Asbach",21925,0.649,3,5,2
"49",7138902,"Bad Hönningen",11734,0.680178,4,8,2
"50",7138903,"Dierdorf",10743,0.683564,4,8,2
"51",7138904,"Linz am Rhein",18087,0.641776,3,5,2
"52",7138905,"Puderbach",14617,0.68537,4,8,2
"53",7138906,"Rengsdorf",16381,0.645056,3,5,2
"54",7138907,"Unkel",12998,0.645436,3,5,2
