"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",10041100,"Saarbrücken, Landeshauptstadt",176926,0.699207,4,8,2
"2",10041511,"Friedrichsthal, Stadt",10232,0.654171,3,6,2
"3",10041512,"Großrosseln",8095,0.647422,3,6,2
"4",10041513,"Heusweiler",18073,0.630728,2,4,2
"5",10041514,"Kleinblittersdorf",11098,0.638566,3,5,2
"6",10041515,"Püttlingen, Stadt",18707,0.623064,2,4,2
"7",10041516,"Quierschied",13117,0.631665,2,4,2
"8",10041517,"Riegelsberg",14514,0.607443,2,3,2
"9",10041518,"Sulzbach/ Saar, Stadt",16191,0.672074,4,7,2
"10",10041519,"Völklingen, Stadt",38651,0.697275,4,8,2
"11",10042111,"Beckingen",15076,0.687596,4,8,2
"12",10042112,"Losheim am See",15809,0.704794,4,8,2
"13",10042113,"Merzig, Kreisstadt",29615,0.728484,5,10,3
"14",10042114,"Mettlach",12125,0.75702,5,10,3
"15",10042115,"Perl",8222,0.831933,5,10,3
"16",10042116,"Wadern, Stadt",15768,0.696684,4,8,2
"17",10042117,"Weiskirchen",6372,0.725767,5,10,3
"18",10043111,"Eppelborn",17223,0.71541,5,9,3
"19",10043112,"Illingen",16491,0.712747,5,9,3
"20",10043113,"Merchweiler",9965,0.724412,5,9,3
"21",10043114,"Neunkirchen, Kreisstadt",45794,0.77079,5,10,3
"22",10043115,"Ottweiler, Stadt",14612,0.719433,5,9,3
"23",10043116,"Schiffweiler",15780,0.724364,5,9,3
"24",10043117,"Spiesen-Elversberg",13156,0.704313,4,8,2
"25",10044111,"Dillingen/ Saar, Stadt",20040,0.670604,4,7,2
"26",10044112,"Lebach, Stadt",19261,0.668021,4,7,2
"27",10044113,"Nalbach",9156,0.631921,2,4,2
"28",10044114,"Rehlingen-Siersburg",14387,0.62868,2,4,2
"29",10044115,"Saarlouis, Kreisstadt",34248,0.663059,3,6,2
"30",10044116,"Saarwellingen",13289,0.643676,3,5,2
"31",10044117,"Schmelz",16315,0.651219,3,6,2
"32",10044118,"Schwalbach",17147,0.650849,3,6,2
"33",10044119,"Überherrn",11467,0.646634,3,5,2
"34",10044120,"Wadgassen",17540,0.646858,3,5,2
"35",10044121,"Wallerfangen",9321,0.644094,3,5,2
"36",10044122,"Bous",7000,0.673505,4,7,2
"37",10044123,"Ensdorf",6461,0.674193,4,7,2
"38",10045111,"Bexbach, Stadt",17618,0.535173,1,1,1
"39",10045112,"Blieskastel, Stadt",20845,0.524243,1,1,1
"40",10045113,"Gersheim",6586,0.54357,1,2,1
"41",10045114,"Homburg, Kreisstadt",41504,0.554919,1,2,1
"42",10045115,"Kirkel",10042,0.508776,1,1,1
"43",10045116,"Mandelbachtal",10825,0.510325,1,1,1
"44",10045117,"St. Ingbert, Stadt",36112,0.535417,1,1,1
"45",10046111,"Freisen",8009,0.573263,2,3,2
"46",10046112,"Marpingen",10266,0.559063,1,2,1
"47",10046113,"Namborn",7193,0.563734,2,3,2
"48",10046114,"Nohfelden",9964,0.571466,2,3,2
"49",10046115,"Nonnweiler",8690,0.559289,1,2,1
"50",10046116,"Oberthal",6059,0.576598,2,3,2
"51",10046117,"St. Wendel, Kreisstadt",25887,0.564144,2,3,2
"52",10046118,"Tholey",12191,0.555785,1,2,1
