"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",15001000,"Dessau-Roßlau, Stadt",83061,0.790276,2,3,2
"2",15002000,"Halle (Saale), Stadt",232470,0.819628,2,4,2
"3",15003000,"Magdeburg, Landeshauptstadt",232306,0.75294,1,2,1
"4",15081030,"Arendsee (Altmark), Stadt",7023,0.870215,4,7,2
"5",15081135,"Gardelegen, Hansestadt",23144,0.822151,2,4,2
"6",15081240,"Kalbe (Milde), Stadt",7799,0.874263,4,7,2
"7",15081280,"Klötze, Stadt",10292,0.82204,2,4,2
"8",15081455,"Salzwedel, Hansestadt",24084,0.857367,4,7,2
"9",15081951,"Beetzendorf-Diesdorf",13729,0.822362,2,4,2
"10",15082005,"Aken (Elbe), Stadt",7774,0.876362,4,7,2
"11",15082015,"Bitterfeld-Wolfen, Stadt",40779,0.882646,4,8,2
"12",15082180,"Köthen (Anhalt), Stadt",26384,0.901673,4,8,2
"13",15082241,"Muldestausee",11828,0.797419,2,3,2
"14",15082256,"Osternienburger Land",8933,0.860455,4,7,2
"15",15082301,"Raguhn-Jeßnitz, Stadt",9540,0.811151,2,3,2
"16",15082340,"Sandersdorf",14521,0.81844,2,4,2
"17",15082377,"Südliches Anhalt, Stadt",13881,0.856495,3,6,2
"18",15082430,"Zerbst/Anhalt, Stadt",21975,0.857201,3,6,2
"19",15082440,"Zörbig, Stadt",9461,0.814916,2,4,2
"20",15083040,"Barleben",9133,0.699976,1,1,1
"21",15083270,"Haldensleben, Stadt",19345,0.765962,1,2,1
"22",15083298,"Hohe Börde",18076,0.743517,1,1,1
"23",15083390,"Niedere Börde",7097,0.728408,1,1,1
"24",15083411,"Oebisfelde-Weferlingen, Stadt",13748,0.745557,1,1,1
"25",15083415,"Oschersleben (Bode), Stadt",19726,0.824201,2,4,2
"26",15083490,"Sülzetal",9013,0.746054,1,2,1
"27",15083531,"Wanzleben-Börde, Stadt",14287,0.783205,2,3,2
"28",15083565,"Wolmirstedt, Stadt",11502,0.770684,1,2,1
"29",15083951,"Elbe-Heide",13439,0.746529,1,2,1
"30",15083952,"Flechtingen",13563,0.74676,1,2,1
"31",15083953,"Obere Aller",14985,0.779579,2,3,2
"32",15083954,"Westliche Börde",8915,0.821176,2,4,2
"33",15084130,"Elsteraue",8513,0.844548,3,6,2
"34",15084235,"Hohenmölsen, Stadt",9851,0.861823,4,7,2
"35",15084315,"Lützen, Stadt",8695,0.829416,3,5,2
"36",15084355,"Naumburg (Saale), Stadt",32756,0.880757,4,8,2
"37",15084490,"Teuchern, Stadt",8354,0.851311,3,6,2
"38",15084550,"Weißenfels, Stadt",39918,0.872773,4,7,2
"39",15084590,"Zeitz, Stadt",29284,0.926405,5,9,3
"40",15084951,"An der Finne",12036,0.851308,3,6,2
"41",15084952,"Droyßiger-Zeitzer Forst",9201,0.835236,3,5,2
"42",15084953,"Unstruttal",16103,0.865978,4,7,2
"43",15084954,"Wethautal",9344,0.82186,2,4,2
"44",15085040,"Ballenstedt, Stadt",9241,0.854553,3,6,2
"45",15085055,"Blankenburg (Harz), Stadt",20509,0.834782,3,5,2
"46",15085110,"Falkenstein/Harz, Stadt",5552,0.827591,3,5,2
"47",15085135,"Halberstadt, Stadt",40440,0.841137,3,5,2
"48",15085145,"Harzgerode, Stadt",8196,0.832674,3,5,2
"49",15085185,"Huy",7454,0.823627,2,4,2
"50",15085190,"Ilsenburg (Harz), Stadt",9432,0.735384,1,1,1
"51",15085227,"Nordharz",7914,0.758187,1,2,1
"52",15085228,"Oberharz am Brocken, Stadt",10975,0.820399,2,4,2
"53",15085230,"Osterwieck, Stadt",11376,0.783271,2,3,2
"54",15085235,"Quedlinburg, Stadt",24742,0.842671,3,5,2
"55",15085330,"Thale, Stadt",17832,0.834498,3,5,2
"56",15085370,"Wernigerode, Stadt",33319,0.785819,2,3,2
"57",15085951,"Vorharz",12636,0.813201,2,3,2
"58",15086005,"Biederitz",8513,0.755543,1,2,1
"59",15086015,"Burg, Stadt",22680,0.855263,3,6,2
"60",15086035,"Elbe-Parey",6793,0.839827,3,5,2
"61",15086040,"Genthin, Stadt",14466,0.85226,3,6,2
"62",15086055,"Gommern, Stadt",10568,0.809198,2,3,2
"63",15086080,"Jerichow, Stadt",7073,0.838314,3,5,2
"64",15086140,"Möckern, Stadt",13178,0.825983,3,5,2
"65",15086145,"Möser",8088,0.747038,1,2,1
"66",15087015,"Allstedt, Stadt",7996,0.938263,5,10,3
"67",15087031,"Arnstein, Stadt",6940,0.934907,5,9,3
"68",15087130,"Eisleben, Lutherstadt",24346,0.977631,5,10,3
"69",15087165,"Gerbstedt, Stadt",7527,0.947031,5,10,3
"70",15087220,"Hettstedt, Stadt",14495,1,5,10,3
"71",15087275,"Mansfeld, Stadt",9203,0.930811,5,9,3
"72",15087370,"Sangerhausen, Stadt",27546,0.979595,5,10,3
"73",15087386,"Seegebiet Mansfelder Land",9255,0.926064,5,9,3
"74",15087412,"Südharz",9759,0.94096,5,10,3
"75",15087951,"Goldene Aue",9789,0.941874,5,10,3
"76",15087952,"Mansfelder Grund-Helbra",15198,0.943136,5,10,3
"77",15088020,"Bad Dürrenberg, Stadt",11728,0.800998,2,3,2
"78",15088025,"Bad Lauchstädt, Goethestadt",8869,0.768047,1,2,1
"79",15088065,"Braunsbedra, Stadt",11285,0.802671,2,3,2
"80",15088150,"Kabelsketal",8828,0.698031,1,1,1
"81",15088195,"Landsberg, Stadt",15045,0.706549,1,1,1
"82",15088205,"Leuna, Stadt",13842,0.74014,1,1,1
"83",15088216,"Wettin-Löbejün, Stadt",10110,0.772518,1,2,1
"84",15088220,"Merseburg, Stadt",33317,0.80848,2,3,2
"85",15088235,"Mücheln (Geiseltal), Stadt",8967,0.813819,2,4,2
"86",15088295,"Petersberg",9742,0.729236,1,1,1
"87",15088305,"Querfurt, Stadt",11065,0.812472,2,3,2
"88",15088319,"Salzatal",11698,0.731817,1,1,1
"89",15088330,"Schkopau",10903,0.71491,1,1,1
"90",15088365,"Teutschenthal",13078,0.729038,1,1,1
"91",15088951,"Weida-Land",8033,0.775806,1,2,1
