"","Kennziffer Gemeindeverband","Name Gemeindeverband","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",14511000,"Chemnitz, Stadt",243521,0.656671,1,1,1
"2",14521010,"Amtsberg",3823,0.708034,3,5,2
"3",14521020,"Annaberg-Buchholz, Stadt",20394,0.735159,4,8,2
"4",14521030,"Aue, Stadt",16617,0.751867,4,8,2
"5",14521050,"Bad Schlema",4866,0.739964,4,8,2
"6",14521110,"Breitenbrunn/Erzgeb.",5560,0.70189,2,4,2
"7",14521130,"Crottendorf",4111,0.652252,1,1,1
"8",14521150,"Drebach",5392,0.715631,3,6,2
"9",14521160,"Ehrenfriedersdorf, Stadt",4888,0.724403,4,7,2
"10",14521170,"Eibenstock, Stadt",7678,0.748491,4,8,2
"11",14521200,"Gelenau/Erzgeb.",4278,0.729203,4,7,2
"12",14521240,"Großolbersdorf",2917,0.698297,2,4,2
"13",14521250,"Großrückerswalde",3505,0.706674,3,5,2
"14",14521260,"Grünhain-Beierfeld, Stadt",6015,0.71773,3,6,2
"15",14521290,"Hohndorf",3735,0.698587,2,4,2
"16",14521310,"Jahnsdorf/Erzgeb.",5535,0.656999,1,1,1
"17",14521320,"Johanngeorgenstadt, Stadt",4206,0.763696,5,9,3
"18",14521330,"Jöhstadt, Stadt",2853,0.711689,3,5,2
"19",14521355,"Lauter-Bernsbach, Stadt",8974,0.7001,2,4,2
"20",14521370,"Lößnitz, Stadt",8801,0.731789,4,7,2
"21",14521390,"Marienberg, Stadt",17361,0.727674,4,7,2
"22",14521400,"Mildenau",3406,0.7072,3,5,2
"23",14521410,"Neukirchen/Erzgeb.",6771,0.659245,1,1,1
"24",14521440,"Oberwiesenthal, Kurort, Stadt",2208,0.680751,1,2,1
"25",14521450,"Oelsnitz/Erzgeb., Stadt",11175,0.733537,4,7,2
"26",14521460,"Olbernhau, Stadt",9181,0.721887,3,6,2
"27",14521470,"Pfaffroda",2498,0.692044,2,3,2
"28",14521495,"Pockau-Lengefeld, Stadt",7953,0.731695,4,7,2
"29",14521500,"Raschau-Markersbach",5208,0.706938,3,5,2
"30",14521530,"Schneeberg, Stadt",15250,0.734772,4,8,2
"31",14521540,"Schönheide",4626,0.685388,2,3,2
"32",14521550,"Schwarzenberg/Erzgeb., Stadt",17360,0.734135,4,7,2
"33",14521560,"Sehmatal",6588,0.67056,1,2,1
"34",14521600,"Stützengrün",3391,0.654452,1,1,1
"35",14521620,"Thalheim/Erzgeb., Stadt",6540,0.730156,4,7,2
"36",14521630,"Thermalbad Wiesenbad",3401,0.705647,2,4,2
"37",14521640,"Thum, Stadt",5299,0.712833,3,5,2
"38",14521670,"Wolkenstein, Stadt",3918,0.685676,2,3,2
"39",14521901,"Bärenstein",4718,0.710228,3,5,2
"40",14521903,"Burkhardtsdorf",10785,0.694131,2,4,2
"41",14521905,"Wildenstein",4502,0.70476,2,4,2
"42",14521910,"Geyer",4762,0.721602,3,6,2
"43",14521915,"Lugau",10921,0.718944,3,6,2
"44",14521930,"Scheibenberg-Schlettau",4632,0.690448,2,3,2
"45",14521932,"Seiffen/Erzgeb.",4171,0.657041,1,1,1
"46",14521933,"Stollberg/Erzgeb.",12453,0.691304,2,3,2
"47",14521938,"Zschopau",13359,0.726779,4,7,2
"48",14521939,"Zschorlau",7715,0.697808,2,4,2
"49",14521940,"Zwönitz",15282,0.701139,2,4,2
"50",14522020,"Augustusburg, Stadt",4611,0.705877,2,4,2
"51",14522035,"Bobritzsch-Hilbersdorf",5866,0.693949,2,3,2
"52",14522050,"Brand-Erbisdorf, Stadt",9844,0.688344,2,3,2
"53",14522070,"Claußnitz",3163,0.678111,1,2,1
"54",14522080,"Döbeln, Stadt",21516,0.735753,4,8,2
"55",14522110,"Eppendorf",4258,0.717233,3,6,2
"56",14522120,"Erlau",3273,0.679672,1,2,1
"57",14522140,"Flöha, Stadt",11036,0.734562,4,7,2
"58",14522150,"Frankenberg/Sa., Stadt",14426,0.719637,3,6,2
"59",14522170,"Frauenstein, Stadt",2958,0.680437,1,2,1
"60",14522180,"Freiberg, Stadt",40829,0.722734,3,6,2
"61",14522190,"Geringswalde, Stadt",4374,0.722401,3,6,2
"62",14522200,"Großhartmannsdorf",2546,0.705929,3,5,2
"63",14522210,"Großschirma, Stadt",5709,0.705516,2,4,2
"64",14522220,"Großweitzschen",2868,0.707842,3,5,2
"65",14522230,"Hainichen, Stadt",8593,0.708891,3,5,2
"66",14522240,"Halsbrücke",5217,0.670241,1,2,1
"67",14522250,"Hartha, Stadt",7361,0.740035,4,8,2
"68",14522260,"Hartmannsdorf",4468,0.667151,1,1,1
"69",14522290,"Königshain-Wiederau",2666,0.671454,1,2,1
"70",14522300,"Kriebstein",2199,0.722171,3,6,2
"71",14522310,"Leisnig, Stadt",8463,0.737317,4,8,2
"72",14522320,"Leubsdorf",3456,0.718777,3,6,2
"73",14522330,"Lichtenau",7256,0.671765,1,2,1
"74",14522350,"Lunzenau, Stadt",4454,0.736099,4,8,2
"75",14522370,"Mochau",2311,0.722503,3,6,2
"76",14522390,"Mulda/Sa.",2581,0.731844,4,7,2
"77",14522400,"Neuhausen/Erzgeb.",2730,0.706771,3,5,2
"78",14522420,"Niederwiesa",4914,0.673251,1,2,1
"79",14522430,"Oberschöna",3357,0.669361,1,2,1
"80",14522440,"Oederan, Stadt",8180,0.724312,4,7,2
"81",14522460,"Penig, Stadt",9140,0.708079,3,5,2
"82",14522470,"Rechenberg-Bienenmühle",2008,0.679307,1,2,1
"83",14522480,"Reinsberg",2963,0.713521,3,5,2
"84",14522500,"Rossau",3557,0.705215,2,4,2
