"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",14511,"Chemnitz, Stadt",243521,0.733286,2,4,2
"2",14521,"Erzgebirgskreis",349582,0.791309,5,9,3
"3",14522,"Mittelsachsen",312711,0.785012,4,8,2
"4",14523,"Vogtlandkreis",232390,0.781603,4,7,2
"5",14524,"Zwickau",325137,0.766138,3,6,2
"6",14612,"Dresden, Stadt",536308,0.519399,1,1,1
"7",14625,"Bautzen",306570,0.740575,3,5,2
"8",14626,"Görlitz",260188,0.848627,5,10,3
"9",14627,"Meißen",243745,0.731919,2,3,2
"10",14628,"Sächsische Schweiz-Osterzgebirge",245954,0.726786,1,2,1
"11",14713,"Leipzig, Stadt",544479,0.714205,1,2,1
"12",14729,"Leipzig",257647,0.741864,3,6,2
"13",14730,"Nordsachsen",197042,0.84612,5,9,3
