"","Kreiskennziffer","Name des Kreises","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",16051,"Erfurt, Stadt",206219,0.728744,1,2,1
"2",16052,"Gera, Stadt",94492,0.873748,5,10,3
"3",16053,"Jena, Stadt",108207,0.383582,1,1,1
"4",16054,"Suhl, Stadt",36208,0.722573,1,2,1
"5",16055,"Weimar, Stadt",63477,0.705785,1,2,1
"6",16056,"Eisenach, Stadt",41884,0.801473,4,8,2
"7",16061,"Eichsfeld",100730,0.732077,2,3,2
"8",16062,"Nordhausen",85055,0.870118,5,9,3
"9",16063,"Wartburgkreis",125835,0.702283,1,1,1
"10",16064,"Unstrut-Hainich-Kreis",103922,0.905219,5,10,3
"11",16065,"Kyffhäuserkreis",77148,0.866327,5,9,3
"12",16066,"Schmalkalden-Meiningen",125056,0.757191,3,5,2
"13",16067,"Gotha",135381,0.770553,4,7,2
"14",16068,"Sömmerda",70537,0.824249,4,8,2
"15",16069,"Hildburghausen",64673,0.751453,2,4,2
"16",16070,"Ilm-Kreis",108899,0.765916,3,6,2
"17",16071,"Weimarer Land",81641,0.768392,3,6,2
"18",16072,"Sonneberg",56809,0.73547,2,3,2
"19",16073,"Saalfeld-Rudolstadt",109646,0.741566,2,4,2
"20",16074,"Saale-Holzland-Kreis",83966,0.784681,4,7,2
"21",16075,"Saale-Orla-Kreis",82887,0.767004,3,6,2
"22",16076,"Greiz",101382,0.753781,3,5,2
"23",16077,"Altenburger Land",92705,0.844184,5,9,3
