"","Kreiskennziffer","Name des Kreises","Jahr","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",1001,"Flensburg, Stadt",1998,85942,0.632281,5,9,3
"2",1001,"Flensburg, Stadt",1999,85942,0.638408,5,9,3
"3",1001,"Flensburg, Stadt",2000,85942,0.630422,5,9,3
"4",1001,"Flensburg, Stadt",2001,85942,0.660047,5,9,3
"5",1001,"Flensburg, Stadt",2002,85942,0.595229,4,8,2
"6",1001,"Flensburg, Stadt",2003,85942,0.652607,5,9,3
"7",1001,"Flensburg, Stadt",2004,85942,0.64947,5,9,3
"8",1001,"Flensburg, Stadt",2005,85942,0.694958,5,9,3
"9",1001,"Flensburg, Stadt",2006,85942,0.722242,5,9,3
"10",1001,"Flensburg, Stadt",2007,85942,0.682666,5,9,3
"11",1001,"Flensburg, Stadt",2008,85942,0.713602,5,9,3
"12",1001,"Flensburg, Stadt",2009,85942,0.704233,5,9,3
"13",1001,"Flensburg, Stadt",2010,85942,0.724799,5,10,3
"14",1001,"Flensburg, Stadt",2011,85942,0.68912,5,9,3
"15",1001,"Flensburg, Stadt",2012,85942,0.661783,5,9,3
"16",1001,"Flensburg, Stadt",2013,85942,0.700658,5,10,3
"17",1001,"Flensburg, Stadt",2014,85942,0.714735,5,10,3
"18",1001,"Flensburg, Stadt",2015,85942,0.699865,5,10,3
"19",1002,"Kiel, Stadt",1998,246306,0.511822,4,8,2
"20",1002,"Kiel, Stadt",1999,246306,0.552545,4,8,2
"21",1002,"Kiel, Stadt",2000,246306,0.528966,4,8,2
"22",1002,"Kiel, Stadt",2001,246306,0.557603,4,8,2
"23",1002,"Kiel, Stadt",2002,246306,0.547783,4,8,2
"24",1002,"Kiel, Stadt",2003,246306,0.590832,4,8,2
"25",1002,"Kiel, Stadt",2004,246306,0.599571,4,8,2
"26",1002,"Kiel, Stadt",2005,246306,0.636262,4,8,2
"27",1002,"Kiel, Stadt",2006,246306,0.650738,4,8,2
"28",1002,"Kiel, Stadt",2007,246306,0.621281,5,9,3
"29",1002,"Kiel, Stadt",2008,246306,0.67502,5,9,3
"30",1002,"Kiel, Stadt",2009,246306,0.665436,5,9,3
"31",1002,"Kiel, Stadt",2010,246306,0.696409,5,9,3
"32",1002,"Kiel, Stadt",2011,246306,0.692811,5,10,3
"33",1002,"Kiel, Stadt",2012,246306,0.668345,5,9,3
"34",1002,"Kiel, Stadt",2013,246306,0.679713,5,9,3
"35",1002,"Kiel, Stadt",2014,246306,0.675265,5,9,3
"36",1002,"Kiel, Stadt",2015,246306,0.718941,5,10,3
"37",1003,"Lübeck, Stadt",1998,216253,0.511862,4,8,2
"38",1003,"Lübeck, Stadt",1999,216253,0.55612,4,8,2
"39",1003,"Lübeck, Stadt",2000,216253,0.534105,4,8,2
"40",1003,"Lübeck, Stadt",2001,216253,0.564559,4,8,2
"41",1003,"Lübeck, Stadt",2002,216253,0.538791,4,8,2
"42",1003,"Lübeck, Stadt",2003,216253,0.577722,4,8,2
"43",1003,"Lübeck, Stadt",2004,216253,0.552227,4,8,2
"44",1003,"Lübeck, Stadt",2005,216253,0.588558,4,8,2
"45",1003,"Lübeck, Stadt",2006,216253,0.608016,4,8,2
"46",1003,"Lübeck, Stadt",2007,216253,0.597612,4,8,2
"47",1003,"Lübeck, Stadt",2008,216253,0.607435,4,8,2
"48",1003,"Lübeck, Stadt",2009,216253,0.615237,4,8,2
"49",1003,"Lübeck, Stadt",2010,216253,0.603038,4,8,2
"50",1003,"Lübeck, Stadt",2011,216253,0.638416,5,9,3
"51",1003,"Lübeck, Stadt",2012,216253,0.606692,4,8,2
"52",1003,"Lübeck, Stadt",2013,216253,0.627048,5,9,3
"53",1003,"Lübeck, Stadt",2014,216253,0.60284,4,8,2
"54",1003,"Lübeck, Stadt",2015,216253,0.639648,5,9,3
"55",1004,"Neumünster, Stadt",1998,79197,0.490564,4,8,2
"56",1004,"Neumünster, Stadt",1999,79197,0.563915,4,8,2
"57",1004,"Neumünster, Stadt",2000,79197,0.529542,4,8,2
"58",1004,"Neumünster, Stadt",2001,79197,0.555337,4,8,2
"59",1004,"Neumünster, Stadt",2002,79197,0.536536,4,8,2
"60",1004,"Neumünster, Stadt",2003,79197,0.55334,4,8,2
"61",1004,"Neumünster, Stadt",2004,79197,0.538829,4,8,2
"62",1004,"Neumünster, Stadt",2005,79197,0.584111,4,8,2
"63",1004,"Neumünster, Stadt",2006,79197,0.6215,4,8,2
"64",1004,"Neumünster, Stadt",2007,79197,0.585478,4,8,2
"65",1004,"Neumünster, Stadt",2008,79197,0.597429,4,8,2
"66",1004,"Neumünster, Stadt",2009,79197,0.609082,4,8,2
"67",1004,"Neumünster, Stadt",2010,79197,0.645346,5,9,3
"68",1004,"Neumünster, Stadt",2011,79197,0.634503,5,9,3
"69",1004,"Neumünster, Stadt",2012,79197,0.650462,5,9,3
"70",1004,"Neumünster, Stadt",2013,79197,0.61878,4,8,2
"71",1004,"Neumünster, Stadt",2014,79197,0.641509,5,9,3
"72",1004,"Neumünster, Stadt",2015,79197,0.644947,5,9,3
"73",1051,"Dithmarschen",1998,132917,0.446605,4,7,2
"74",1051,"Dithmarschen",1999,132917,0.456251,4,7,2
"75",1051,"Dithmarschen",2000,132917,0.448219,4,7,2
"76",1051,"Dithmarschen",2001,132917,0.465559,4,7,2
"77",1051,"Dithmarschen",2002,132917,0.443234,4,7,2
"78",1051,"Dithmarschen",2003,132917,0.500138,4,7,2
"79",1051,"Dithmarschen",2004,132917,0.50084,4,7,2
"80",1051,"Dithmarschen",2005,132917,0.50708,4,7,2
"81",1051,"Dithmarschen",2006,132917,0.529996,4,7,2
"82",1051,"Dithmarschen",2007,132917,0.496343,4,7,2
"83",1051,"Dithmarschen",2008,132917,0.516614,4,7,2
"84",1051,"Dithmarschen",2009,132917,0.503073,4,7,2
"85",1051,"Dithmarschen",2010,132917,0.514512,4,7,2
"86",1051,"Dithmarschen",2011,132917,0.499351,4,7,2
"87",1051,"Dithmarschen",2012,132917,0.471482,4,7,2
