"","NUTS2","NUTS2 Name","Jahr","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1","DE11","Stuttgart",1998,4069533,0,1,1,1
"2","DE11","Stuttgart",1999,4069533,0,1,1,1
"3","DE11","Stuttgart",2000,4069533,0,1,1,1
"4","DE11","Stuttgart",2001,4069533,0,1,1,1
"5","DE11","Stuttgart",2002,4069533,0,1,1,1
"6","DE11","Stuttgart",2003,4069533,0,1,1,1
"7","DE11","Stuttgart",2004,4069533,0,1,1,1
"8","DE11","Stuttgart",2005,4069533,0,1,1,1
"9","DE11","Stuttgart",2006,4069533,0,1,1,1
"10","DE11","Stuttgart",2007,4069533,0.006699,1,1,1
"11","DE11","Stuttgart",2008,4069533,0.004707,1,1,1
"12","DE11","Stuttgart",2009,4069533,0.074602,1,2,1
"13","DE11","Stuttgart",2010,4069533,0.068706,1,2,1
"14","DE11","Stuttgart",2011,4069533,0.037771,1,1,1
"15","DE11","Stuttgart",2012,4069533,0.054601,1,2,1
"16","DE11","Stuttgart",2013,4069533,0.065148,1,1,1
"17","DE11","Stuttgart",2014,4069533,0.075354,1,2,1
"18","DE11","Stuttgart",2015,4069533,0.076618,1,2,1
"19","DE12","Karlsruhe",1998,2761977,0.137099,1,2,1
"20","DE12","Karlsruhe",1999,2761977,0.139224,2,3,2
"21","DE12","Karlsruhe",2000,2761977,0.121003,2,3,2
"22","DE12","Karlsruhe",2001,2761977,0.138222,2,3,2
"23","DE12","Karlsruhe",2002,2761977,0.132223,2,3,2
"24","DE12","Karlsruhe",2003,2761977,0.131047,2,3,2
"25","DE12","Karlsruhe",2004,2761977,0.12916,2,3,2
"26","DE12","Karlsruhe",2005,2761977,0.126218,2,3,2
"27","DE12","Karlsruhe",2006,2761977,0.146501,2,3,2
"28","DE12","Karlsruhe",2007,2761977,0.142886,2,3,2
"29","DE12","Karlsruhe",2008,2761977,0.14052,2,3,2
"30","DE12","Karlsruhe",2009,2761977,0.207008,2,4,2
"31","DE12","Karlsruhe",2010,2761977,0.204834,2,4,2
"32","DE12","Karlsruhe",2011,2761977,0.156462,2,3,2
"33","DE12","Karlsruhe",2012,2761977,0.18086,2,3,2
"34","DE12","Karlsruhe",2013,2761977,0.199251,2,3,2
"35","DE12","Karlsruhe",2014,2761977,0.202762,2,3,2
"36","DE12","Karlsruhe",2015,2761977,0.222611,2,4,2
"37","DE13","Freiburg",1998,2224535,0.141275,2,3,2
"38","DE13","Freiburg",1999,2224535,0.127534,1,2,1
"39","DE13","Freiburg",2000,2224535,0.118159,2,3,2
"40","DE13","Freiburg",2001,2224535,0.122803,2,3,2
"41","DE13","Freiburg",2002,2224535,0.117119,2,3,2
"42","DE13","Freiburg",2003,2224535,0.109634,1,2,1
"43","DE13","Freiburg",2004,2224535,0.104397,1,2,1
"44","DE13","Freiburg",2005,2224535,0.090741,1,2,1
"45","DE13","Freiburg",2006,2224535,0.098474,2,3,2
"46","DE13","Freiburg",2007,2224535,0.094119,2,3,2
"47","DE13","Freiburg",2008,2224535,0.096417,2,3,2
"48","DE13","Freiburg",2009,2224535,0.148812,2,3,2
"49","DE13","Freiburg",2010,2224535,0.138073,2,3,2
"50","DE13","Freiburg",2011,2224535,0.086988,2,3,2
"51","DE13","Freiburg",2012,2224535,0.094621,2,3,2
"52","DE13","Freiburg",2013,2224535,0.106108,2,3,2
"53","DE13","Freiburg",2014,2224535,0.111834,2,3,2
"54","DE13","Freiburg",2015,2224535,0.117732,2,3,2
"55","DE14","Tübingen",1998,1823573,0.082717,1,2,1
"56","DE14","Tübingen",1999,1823573,0.090171,1,2,1
"57","DE14","Tübingen",2000,1823573,0.087785,1,2,1
"58","DE14","Tübingen",2001,1823573,0.105888,1,2,1
"59","DE14","Tübingen",2002,1823573,0.098229,1,2,1
"60","DE14","Tübingen",2003,1823573,0.091966,1,2,1
"61","DE14","Tübingen",2004,1823573,0.09093,1,2,1
"62","DE14","Tübingen",2005,1823573,0.079944,1,2,1
"63","DE14","Tübingen",2006,1823573,0.070662,1,2,1
"64","DE14","Tübingen",2007,1823573,0.061855,1,2,1
"65","DE14","Tübingen",2008,1823573,0.064148,1,2,1
"66","DE14","Tübingen",2009,1823573,0.124235,2,3,2
"67","DE14","Tübingen",2010,1823573,0.117278,2,3,2
"68","DE14","Tübingen",2011,1823573,0.063416,1,2,1
"69","DE14","Tübingen",2012,1823573,0.073499,1,2,1
"70","DE14","Tübingen",2013,1823573,0.067049,1,2,1
"71","DE14","Tübingen",2014,1823573,0.08513,1,2,1
"72","DE14","Tübingen",2015,1823573,0.063972,1,2,1
"73","DE21","Oberbayern",1998,4588944,0.018984,1,1,1
"74","DE21","Oberbayern",1999,4588944,0.032512,1,1,1
"75","DE21","Oberbayern",2000,4588944,0.03221,1,1,1
"76","DE21","Oberbayern",2001,4588944,0.018772,1,1,1
"77","DE21","Oberbayern",2002,4588944,0.039456,1,1,1
"78","DE21","Oberbayern",2003,4588944,0.050396,1,1,1
"79","DE21","Oberbayern",2004,4588944,0.053963,1,1,1
"80","DE21","Oberbayern",2005,4588944,0.053112,1,1,1
"81","DE21","Oberbayern",2006,4588944,0.070224,1,2,1
"82","DE21","Oberbayern",2007,4588944,0.056944,1,2,1
"83","DE21","Oberbayern",2008,4588944,0.031068,1,1,1
"84","DE21","Oberbayern",2009,4588944,0.059744,1,1,1
"85","DE21","Oberbayern",2010,4588944,0.083763,1,2,1
"86","DE21","Oberbayern",2011,4588944,0.085493,1,2,1
"87","DE21","Oberbayern",2012,4588944,0.057911,1,2,1
"88","DE21","Oberbayern",2013,4588944,0.087542,1,2,1
"89","DE21","Oberbayern",2014,4588944,0.085538,1,2,1
"90","DE21","Oberbayern",2015,4588944,0.097431,2,3,2
"91","DE22","Niederbayern",1998,1212119,0.123161,1,2,1
"92","DE22","Niederbayern",1999,1212119,0.111418,1,2,1
"93","DE22","Niederbayern",2000,1212119,0.099421,1,2,1
"94","DE22","Niederbayern",2001,1212119,0.108252,1,2,1
"95","DE22","Niederbayern",2002,1212119,0.0865,1,2,1
"96","DE22","Niederbayern",2003,1212119,0.077174,1,2,1
"97","DE22","Niederbayern",2004,1212119,0.053897,1,1,1
"98","DE22","Niederbayern",2005,1212119,0.047882,1,1,1
"99","DE22","Niederbayern",2006,1212119,0.04267,1,1,1
"100","DE22","Niederbayern",2007,1212119,0.019243,1,1,1
"101","DE22","Niederbayern",2008,1212119,0.02605,1,1,1
"102","DE22","Niederbayern",2009,1212119,0.036522,1,1,1
"103","DE22","Niederbayern",2010,1212119,0.025299,1,1,1
"104","DE22","Niederbayern",2011,1212119,0.010468,1,1,1
"105","DE22","Niederbayern",2012,1212119,0.006804,1,1,1
"106","DE22","Niederbayern",2013,1212119,0.005364,1,1,1
"107","DE22","Niederbayern",2014,1212119,0,1,1,1
"108","DE22","Niederbayern",2015,1212119,0,1,1,1
"109","DE23","Oberpfalz",1998,1092339,0.143268,2,3,2
"110","DE23","Oberpfalz",1999,1092339,0.134837,2,3,2
"111","DE23","Oberpfalz",2000,1092339,0.141191,2,4,2
"112","DE23","Oberpfalz",2001,1092339,0.124522,2,3,2
"113","DE23","Oberpfalz",2002,1092339,0.123966,2,3,2
"114","DE23","Oberpfalz",2003,1092339,0.114789,2,3,2
"115","DE23","Oberpfalz",2004,1092339,0.106242,2,3,2
"116","DE23","Oberpfalz",2005,1092339,0.090745,2,3,2
"117","DE23","Oberpfalz",2006,1092339,0.074992,1,2,1
"118","DE23","Oberpfalz",2007,1092339,0.052906,1,2,1
"119","DE23","Oberpfalz",2008,1092339,0.065124,1,2,1
"120","DE23","Oberpfalz",2009,1092339,0.076564,1,2,1
"121","DE23","Oberpfalz",2010,1092339,0.066107,1,1,1
"122","DE23","Oberpfalz",2011,1092339,0.04694,1,1,1
"123","DE23","Oberpfalz",2012,1092339,0.049423,1,2,1
"124","DE23","Oberpfalz",2013,1092339,0.060656,1,1,1
"125","DE23","Oberpfalz",2014,1092339,0.057199,1,1,1
"126","DE23","Oberpfalz",2015,1092339,0.03704,1,1,1
"127","DE24","Oberfranken",1998,1059358,0.162002,2,3,2
"128","DE24","Oberfranken",1999,1059358,0.151763,2,4,2
"129","DE24","Oberfranken",2000,1059358,0.135272,2,3,2
"130","DE24","Oberfranken",2001,1059358,0.145506,2,4,2
"131","DE24","Oberfranken",2002,1059358,0.142394,2,4,2
"132","DE24","Oberfranken",2003,1059358,0.157187,2,4,2
"133","DE24","Oberfranken",2004,1059358,0.145378,2,3,2
"134","DE24","Oberfranken",2005,1059358,0.13295,2,3,2
"135","DE24","Oberfranken",2006,1059358,0.128452,2,3,2
"136","DE24","Oberfranken",2007,1059358,0.09441,2,3,2
"137","DE24","Oberfranken",2008,1059358,0.109137,2,3,2
"138","DE24","Oberfranken",2009,1059358,0.115909,1,2,1
"139","DE24","Oberfranken",2010,1059358,0.107749,1,2,1
"140","DE24","Oberfranken",2011,1059358,0.091353,2,3,2
"141","DE24","Oberfranken",2012,1059358,0.078523,2,3,2
"142","DE24","Oberfranken",2013,1059358,0.092198,2,3,2
"143","DE24","Oberfranken",2014,1059358,0.093948,2,3,2
"144","DE24","Oberfranken",2015,1059358,0.076371,1,2,1
"145","DE25","Mittelfranken",1998,1738686,0.064803,1,1,1
"146","DE25","Mittelfranken",1999,1738686,0.065878,1,1,1
"147","DE25","Mittelfranken",2000,1738686,0.031131,1,1,1
"148","DE25","Mittelfranken",2001,1738686,0.032065,1,1,1
"149","DE25","Mittelfranken",2002,1738686,0.044572,1,1,1
"150","DE25","Mittelfranken",2003,1738686,0.050481,1,1,1
"151","DE25","Mittelfranken",2004,1738686,0.058761,1,2,1
"152","DE25","Mittelfranken",2005,1738686,0.066187,1,2,1
"153","DE25","Mittelfranken",2006,1738686,0.066557,1,1,1
"154","DE25","Mittelfranken",2007,1738686,0.039176,1,1,1
"155","DE25","Mittelfranken",2008,1738686,0.032777,1,2,1
