"";"JAHR";"PLZ3";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;10;0,799939;122511;5;10;3
"2";1998;11;0,799684;199264;5;10;3
"3";1998;12;0,7997;84357;5;10;3
"4";1998;13;0,79989;114919;5;10;3
"5";1998;14;0,698943;109553;5;9;3
"6";1998;15;0,819748;70172;5;10;3
"7";1998;16;0,733155;124905;5;9;3
"8";1998;17;0,727874;160650;5;9;3
"9";1998;18;0,754191;117941;5;9;3
"10";1998;19;0,817988;145133;5;10;3
"11";1998;26;0,763425;97022;5;9;3
"12";1998;27;0,866157;122709;5;10;3
"13";1998;28;0,880306;75371;5;10;3
"14";1998;29;0,841028;132169;5;10;3
"15";1998;30;0,858437;122620;5;10;3
"16";1998;31;0,848835;96517;5;10;3
"17";1998;32;0,916265;76443;5;10;3
"18";1998;41;0,851473;182575;5;10;3
"19";1998;42;0,851239;206623;5;10;3
"20";1998;43;0,851321;166317;5;10;3
"21";1998;44;0,674561;98103;5;9;3
"22";1998;45;0,763307;107915;5;9;3
"23";1998;46;0,782056;178721;5;10;3
"24";1998;47;0,819642;102310;5;10;3
"25";1998;48;0,781204;140075;5;10;3
"26";1998;49;0,879046;55139;5;10;3
"27";1998;61;1;304136;5;10;3
"28";1998;62;0,822543;142562;5;10;3
"29";1998;63;0,910774;110761;5;10;3
"30";1998;64;0,941461;147030;5;10;3
"31";1998;65;0,89827;113411;5;10;3
"32";1998;66;0,894556;135697;5;10;3
"33";1998;67;0,919552;140875;5;10;3
"34";1998;68;0,914792;166700;5;10;3
"35";1998;69;0,867103;39691;5;10;3
"36";1998;73;0,700524;84831;5;9;3
"37";1998;74;0,727754;51757;5;9;3
"38";1998;75;0,810255;139568;5;10;3
"39";1998;76;0,67568;58680;5;9;3
"40";1998;77;0,81984;136345;5;10;3
"41";1998;78;0,715767;16167;5;9;3
"42";1998;79;0,748218;92685;5;9;3
"43";1998;80;0,778349;88635;5;9;3
"44";1998;81;0,723447;62078;5;9;3
"45";1998;82;0,793511;127154;5;10;3
"46";1998;83;0,783564;122857;5;10;3
"47";1998;84;0,820247;91802;5;10;3
"48";1998;85;0,791248;81465;5;10;3
"49";1998;86;0,752639;27912;5;9;3
"50";1998;91;0,848028;198030;5;10;3
"51";1998;92;0,790698;119119;5;10;3
"52";1998;93;0,773768;137586;5;9;3
"53";1998;94;0,780842;120222;5;10;3
"54";1998;95;0,776164;113032;5;9;3
"55";1998;96;0,76262;102586;5;9;3
"56";1998;101;0,670897;42824;5;9;3
"57";1998;102;0,670897;41054;5;9;3
"58";1998;103;0,670897;103369;5;9;3
"59";1998;104;0,670897;41047;5;9;3
"60";1998;105;0,670897;49855;5;9;3
"61";1998;106;0,670897;12120;5;9;3
"62";1998;107;0,670897;57816;5;9;3
"63";1998;108;0,670897;18513;5;9;3
"64";1998;109;0,670897;47869;5;9;3
"65";1998;120;0,670897;66959;5;9;3
"66";1998;121;0,670897;100496;5;9;3
"67";1998;122;0,670892;119870;5;9;3
"68";1998;123;0,670894;174847;5;9;3
"69";1998;124;0,670897;135482;5;9;3
"70";1998;125;0,669887;537969;5;9;3
"71";1998;126;0,670871;242319;5;9;3
"72";1998;130;0,670896;165855;5;9;3
"73";1998;131;0,670893;299862;5;9;3
"74";1998;133;0,670897;56036;5;9;3
"75";1998;134;0,670981;191033;5;9;3
"76";1998;135;0,670903;417557;5;9;3
"77";1998;136;0,670897;43051;5;9;3
"78";1998;140;0,670914;169684;5;9;3
"79";1998;141;0,670927;388940;5;9;3
"80";1998;144;0,766305;170860;5;9;3
"81";1998;145;0,628205;142666;4;8;2
"82";1998;146;0,672823;113597;5;9;3
"83";1998;147;0,849525;148951;5;10;3
"84";1998;148;0,667712;31060;5;9;3
"85";1998;149;0,75786;99079;5;9;3
"86";1998;152;0,906529;73216;5;10;3
"87";1998;153;0,717706;154882;5;9;3
"88";1998;155;0,734475;105555;5;9;3
"89";1998;157;0,651601;102851;4;8;2
"90";1998;158;0,704454;139381;5;9;3
"91";1998;159;0,722592;51753;5;9;3
"92";1998;162;0,81135;111814;5;10;3
"93";1998;163;0,741168;151478;5;9;3
"94";1998;165;0,732799;108711;5;9;3
"95";1998;167;0,767769;99872;5;9;3
"96";1998;168;0,84246;84358;5;10;3
"97";1998;169;0,861884;42183;5;10;3
"98";1998;170;0,859442;105841;5;10;3
"99";1998;171;0,935209;111345;5;10;3
"100";1998;172;0,894776;132821;5;10;3
"101";1998;173;0,947654;106194;5;10;3
"102";1998;174;0,850342;119049;5;10;3
"103";1998;175;0,845825;12584;5;10;3
"104";1998;180;0,889771;55991;5;10;3
"105";1998;181;0,884876;193996;5;10;3
"106";1998;182;0,897017;132830;5;10;3
"107";1998;183;0,915186;51591;5;10;3
"108";1998;184;0,9035;82642;5;10;3
"109";1998;185;0,877014;85553;5;10;3
"110";1998;186;0,809154;4721;5;10;3
"111";1998;190;0,831888;145911;5;10;3
"112";1998;192;0,710562;116913;5;9;3
"113";1998;193;0,845664;125247;5;10;3
"114";1998;194;0,880893;17376;5;10;3
"115";1998;200;0,273491;10286;2;4;2
"116";1998;201;0,273491;10364;2;4;2
"117";1998;202;0,273491;14602;2;4;2
"118";1998;203;0,273491;11948;2;4;2
"119";1998;204;0,273491;36599;2;4;2
"120";1998;205;0,273491;40074;2;4;2
"121";1998;210;0,273446;493858;2;4;2
"122";1998;211;0,273498;291519;2;4;2
"123";1998;212;0,33503;149335;3;5;2
"124";1998;213;0,479553;164526;4;7;2
"125";1998;214;0,32185;159171;3;5;2
"126";1998;215;0,283729;77363;2;4;2
"127";1998;216;0,323175;157726;3;5;2
"128";1998;217;0,388589;108624;3;6;2
"129";1998;220;0,273477;65496;2;4;2
"130";1998;221;0,26222;209658;2;4;2
"131";1998;222;0,273491;14006;2;4;2
"132";1998;223;0,273299;243589;2;4;2
"133";1998;224;0,272894;99305;2;4;2
"134";1998;225;0,273284;157717;2;4;2
"135";1998;226;0,273491;31848;2;4;2
"136";1998;227;0,273491;29261;2;4;2
"137";1998;228;0,155953;141758;1;2;1
"138";1998;229;0,140968;110804;1;2;1
"139";1998;235;0,521562;213696;4;8;2
"140";1998;236;0,399619;95349;3;6;2
"141";1998;237;0,419765;145843;4;7;2
"142";1998;238;0,271508;137424;2;4;2
"143";1998;239;0,762763;142397;5;9;3
"144";1998;241;0,494885;268733;4;8;2
