"","Raumordnungsregion Nr","Raumordnungsregion","Jahr","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1",101,"Schleswig-Holstein Mitte",1998,724185,0.413334,3,6,2
"2",101,"Schleswig-Holstein Mitte",1999,724185,0.464584,4,7,2
"3",101,"Schleswig-Holstein Mitte",2000,724185,0.4431,4,7,2
"4",101,"Schleswig-Holstein Mitte",2001,724185,0.471312,4,7,2
"5",101,"Schleswig-Holstein Mitte",2002,724185,0.449342,4,7,2
"6",101,"Schleswig-Holstein Mitte",2003,724185,0.448318,4,7,2
"7",101,"Schleswig-Holstein Mitte",2004,724185,0.449928,4,7,2
"8",101,"Schleswig-Holstein Mitte",2005,724185,0.501775,4,7,2
"9",101,"Schleswig-Holstein Mitte",2006,724185,0.495117,4,7,2
"10",101,"Schleswig-Holstein Mitte",2007,724185,0.51548,4,7,2
"11",101,"Schleswig-Holstein Mitte",2008,724185,0.550975,4,7,2
"12",101,"Schleswig-Holstein Mitte",2009,724185,0.536835,4,7,2
"13",101,"Schleswig-Holstein Mitte",2010,724185,0.560945,4,7,2
"14",101,"Schleswig-Holstein Mitte",2011,724185,0.559843,4,7,2
"15",101,"Schleswig-Holstein Mitte",2012,724185,0.579073,4,7,2
"16",101,"Schleswig-Holstein Mitte",2013,724185,0.555078,4,7,2
"17",101,"Schleswig-Holstein Mitte",2014,724185,0.569488,4,7,2
"18",101,"Schleswig-Holstein Mitte",2015,724185,0.563882,4,7,2
"19",102,"Schleswig-Holstein Nord",1998,446741,0.452408,4,7,2
"20",102,"Schleswig-Holstein Nord",1999,446741,0.457482,4,7,2
"21",102,"Schleswig-Holstein Nord",2000,446741,0.449599,4,7,2
"22",102,"Schleswig-Holstein Nord",2001,446741,0.471335,4,7,2
"23",102,"Schleswig-Holstein Nord",2002,446741,0.447532,4,7,2
"24",102,"Schleswig-Holstein Nord",2003,446741,0.460589,4,7,2
"25",102,"Schleswig-Holstein Nord",2004,446741,0.447948,4,7,2
"26",102,"Schleswig-Holstein Nord",2005,446741,0.470299,4,7,2
"27",102,"Schleswig-Holstein Nord",2006,446741,0.494227,4,7,2
"28",102,"Schleswig-Holstein Nord",2007,446741,0.479467,3,6,2
"29",102,"Schleswig-Holstein Nord",2008,446741,0.504698,4,7,2
"30",102,"Schleswig-Holstein Nord",2009,446741,0.505667,4,7,2
"31",102,"Schleswig-Holstein Nord",2010,446741,0.501386,4,7,2
"32",102,"Schleswig-Holstein Nord",2011,446741,0.505143,3,6,2
"33",102,"Schleswig-Holstein Nord",2012,446741,0.503836,4,7,2
"34",102,"Schleswig-Holstein Nord",2013,446741,0.497146,3,6,2
"35",102,"Schleswig-Holstein Nord",2014,446741,0.502209,3,6,2
"36",102,"Schleswig-Holstein Nord",2015,446741,0.469072,3,6,2
"37",103,"Schleswig-Holstein Ost",1998,415827,0.472291,4,7,2
"38",103,"Schleswig-Holstein Ost",1999,415827,0.509085,4,8,2
"39",103,"Schleswig-Holstein Ost",2000,415827,0.493127,4,7,2
"40",103,"Schleswig-Holstein Ost",2001,415827,0.516462,4,8,2
"41",103,"Schleswig-Holstein Ost",2002,415827,0.479553,4,7,2
"42",103,"Schleswig-Holstein Ost",2003,415827,0.491961,4,8,2
"43",103,"Schleswig-Holstein Ost",2004,415827,0.471869,4,8,2
"44",103,"Schleswig-Holstein Ost",2005,415827,0.535067,4,8,2
"45",103,"Schleswig-Holstein Ost",2006,415827,0.529055,4,7,2
"46",103,"Schleswig-Holstein Ost",2007,415827,0.555017,4,7,2
"47",103,"Schleswig-Holstein Ost",2008,415827,0.567336,4,7,2
"48",103,"Schleswig-Holstein Ost",2009,415827,0.578799,4,7,2
"49",103,"Schleswig-Holstein Ost",2010,415827,0.563957,4,7,2
"50",103,"Schleswig-Holstein Ost",2011,415827,0.575918,4,7,2
"51",103,"Schleswig-Holstein Ost",2012,415827,0.560208,4,7,2
"52",103,"Schleswig-Holstein Ost",2013,415827,0.560295,4,7,2
"53",103,"Schleswig-Holstein Ost",2014,415827,0.54616,4,7,2
"54",103,"Schleswig-Holstein Ost",2015,415827,0.558381,4,7,2
"55",104,"Schleswig-Holstein Süd",1998,1007587,0.175704,2,3,2
"56",104,"Schleswig-Holstein Süd",1999,1007587,0.211966,2,4,2
"57",104,"Schleswig-Holstein Süd",2000,1007587,0.191063,2,3,2
"58",104,"Schleswig-Holstein Süd",2001,1007587,0.206893,2,3,2
"59",104,"Schleswig-Holstein Süd",2002,1007587,0.205629,2,4,2
"60",104,"Schleswig-Holstein Süd",2003,1007587,0.204446,2,4,2
"61",104,"Schleswig-Holstein Süd",2004,1007587,0.218098,2,4,2
