"","Gemeindekennziffer","Jahr","Bevölkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",2e+06,1998,1787408,0.520264699960984,0.629828835599769,0.215967824310569,0.476119832457593,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"2",2e+06,1999,1787408,0.497287339513422,0.60557883835299,0.232734386499507,0.455294956203282,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"3",2e+06,2000,1787408,0.470726231023029,0.581115217700678,0.248080649389806,0.430902958807215,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"4",2e+06,2001,1787408,0.435321154842068,0.57348135570404,0.269190717832615,0.415911032593636,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"5",2e+06,2002,1787408,0.439153213387921,0.579049663320383,0.302038159133649,0.444794236326173,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"6",2e+06,2003,1787408,0.453565543639987,0.570579462380446,0.327326265281033,0.466145149132177,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"7",2e+06,2004,1787408,0.452426247826661,0.551015227181703,0.352575994346303,0.46925321017637,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"8",2e+06,2005,1787408,0.468994966973563,0.582516749402689,0.373606960950837,0.516495052720955,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"9",2e+06,2006,1787408,0.456982144854597,0.551663882846331,0.396341098700102,0.502731884363511,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"10",2e+06,2007,1787408,0.424835127821768,0.545889435083099,0.432319858776465,0.501403731742572,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"11",2e+06,2008,1787408,0.392793116384346,0.504114044256962,0.473288789561963,0.478946493107669,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"12",2e+06,2009,1787408,0.391183376602104,0.487082286068284,0.500943458401425,0.48510845194302,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"13",2e+06,2010,1787408,0.377402496332621,0.503007926860441,0.541453639630959,0.514269997755799,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"14",2e+06,2011,1787408,0.337113185869178,0.451306875822194,0.554117263944393,0.46003735352592,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"15",2e+06,2012,1787408,0.313943236423708,0.433401679558445,0.571732324335806,0.443998594013804,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"16",2e+06,2013,1787408,0.292498903852021,0.413682060395773,0.624798626832956,0.452135774204209,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"17",2e+06,2014,1787408,0.276505043165435,0.40505776754022,0.64939057066159,0.452117855629485,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"18",2e+06,2015,1787408,0.256228714145103,0.383029752356805,0.665939741262869,0.43451003238388,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
