"","Gemeindekennziffer","Jahr","Bevölkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",13003000,1998,206011,0.743762650798145,0.884692021753602,0.284967390378444,0.850329327598698,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"2",13003000,1999,206011,0.713650726140832,0.876074060078509,0.310818563179522,0.841524645673794,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"3",13003000,2000,206011,0.685368871409152,0.857597803310485,0.318047477897654,0.814500051675173,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"4",13003000,2001,206011,0.638750743010291,0.851895193483605,0.304275256215407,0.76931483282162,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"5",13003000,2002,206011,0.657602547171644,0.850987676025137,0.353388710500013,0.815159635453594,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"6",13003000,2003,206011,0.68281894567886,0.849109926337037,0.384096205345112,0.852108908614577,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"7",13003000,2004,206011,0.695048592102197,0.841278241770852,0.420304155056402,0.879869611169317,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"8",13003000,2005,206011,0.701350653189058,0.853014218061865,0.423315362890405,0.894260171872377,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"9",13003000,2006,206011,0.673047670388775,0.861902159246613,0.439309934743447,0.891921728034858,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"10",13003000,2007,206011,0.638724555504083,0.843341226067028,0.476385309240098,0.881113944937657,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"11",13003000,2008,206011,0.597668829285032,0.786260812845435,0.507728422694834,0.835450117787746,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"12",13003000,2009,206011,0.581144982701753,0.762902768565811,0.510392919663693,0.81000601465479,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"13",13003000,2010,206011,0.56631002476613,0.760189840937714,0.537571614573635,0.816590229201266,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"14",13003000,2011,206011,0.543591645044554,0.72559548558513,0.54880583508204,0.785088118114112,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"15",13003000,2012,206011,0.513380231970035,0.72686322384315,0.59889886537338,0.799547120359929,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"16",13003000,2013,206011,0.493672194264516,0.715757240306277,0.594680409436355,0.775596760888395,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"17",13003000,2014,206011,0.470870313541171,0.701031950580559,0.648681413980748,0.786859288697571,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"18",13003000,2015,206011,0.442793636271359,0.685500991599025,0.62306761381039,0.739535250578741,"Rostock, Hansestadt",13003000,13003,"Rostock, Stadt",1302,"Mittleres Mecklenburg/Rostock","DE80","Mecklenburg-Vorpommern","Rostock, Hansestadt",13003000
"19",13004000,1998,96800,0.715545481091799,0.90103892254926,0.292395568598377,0.847292440760697,"Schwerin, Landeshauptstadt",13004000,13004,"Schwerin, Stadt",1304,"Westmecklenburg","DE80","Mecklenburg-Vorpommern","Schwerin, Landeshauptstadt",13004000
"20",13004000,1999,96800,0.692268112199348,0.889740832837344,0.285938982956998,0.819240407657114,"Schwerin, Landeshauptstadt",13004000,13004,"Schwerin, Stadt",1304,"Westmecklenburg","DE80","Mecklenburg-Vorpommern","Schwerin, Landeshauptstadt",13004000
"21",13004000,2000,96800,0.682060687896139,0.872716910145186,0.308960307134134,0.816362176712622,"Schwerin, Landeshauptstadt",13004000,13004,"Schwerin, Stadt",1304,"Westmecklenburg","DE80","Mecklenburg-Vorpommern","Schwerin, Landeshauptstadt",13004000
"22",13004000,2001,96800,0.631680599263742,0.867578911267034,0.289730921677999,0.765260199596577,"Schwerin, Landeshauptstadt",13004000,13004,"Schwerin, Stadt",1304,"Westmecklenburg","DE80","Mecklenburg-Vorpommern","Schwerin, Landeshauptstadt",13004000
"23",13004000,2002,96800,0.62497708023797,0.865759912537292,0.357740578284119,0.805929272243322,"Schwerin, Landeshauptstadt",13004000,13004,"Schwerin, Stadt",1304,"Westmecklenburg","DE80","Mecklenburg-Vorpommern","Schwerin, Landeshauptstadt",13004000
